AF_ARMS_POK_CASS01_00_EXPR	カシウス
AF_ARMS_POK_B_TYRH_01_FLAVOR	決して錆びず、鉄をも容易く斬り裂くと<br>言われる剣。三度望みを叶える代わりに<br>持ち主を破滅に導く呪いの剣が、大罪の<br>業をまとうことで、強欲の業を背負う存<br>在に、更なる力をもたらす剣となった。
AF_ARMS_POK_B_TYRH_01_FILTER_KEYWORD	ファントムオブキル,ファンキル,ブラックキラーズ,黒ティルフィング
AF_ACCS_SNOWMAN_GLOVE_EXPR	能力:魔法回避率アップ、マスターアビリティ『メリークリスマス！』使用可能(対象に対象の現HP10%分の無区分攻撃（最大ダメージ制限1225）[射程:4,高低差:2])
AF_ACCS_SNOWMAN_GLOVE_FLAVOR	本当のクリスマスの祝い方を指南すべく<br>人里に現れたマールダ族のミトン。雪だ<br>るまらしき存在の手袋の為、温かいかど<br>うかは定かではない。ただ、聖夜祭を祝<br>う想いだけは伝わってくる一品。
AF_ACCS_SNOWMAN_GLOVE_FILTER_KEYWORD	クリスマス
AF_ARMS_WIZ_02_EXPR	能力:物攻・魔攻・最大ジュエルアップ、確率で1ターンジュエル自動回復効果(★5進化時)、★5進化時にジョブ『商人』が装備するとマスターアビリティ『ジュエルリカバリー』使用可能(敵のジュエルを吸収[射程:4,高低差:2])
AF_ARMS_WIZ_02_FLAVOR	数年で各地に拠点を設けるまでに商売を<br>発展させた、辣腕家が携えていた杖。家<br>産を肥え太らせるかのような豊かな風を<br>起こす杖は、いかなる時も活力を与えて<br>くれたと当人の回顧録に記されている。
AF_ARMS_ARM_SYOU_00_EXPR	能力:物攻・器用さ・運アップ、マスターアビリティ『敗者への墨塗り』使用可能(1ターン範囲内の対象に強力な暗闇効果[射程:4,範囲:十字1マス,高低差:2])
AF_ARMS_ARM_SYOU_00_FLAVOR	ワダツミに伝わる羽子板を武器と勘違い<br>した鍛冶師が作り出した片手剣。武器と<br>して使えるのはもちろんだが、随所に新<br>年を祝う装飾が施されている為、使用者<br>の運気を向上させる効果もあるとか。
AF_ARMS_ARM_SYOU_00_FILTER_KEYWORD	正月
AF_ARMS_ANK_SYOU_00_EXPR	能力:物攻・器用さ・運アップ、マスターアビリティ『敗者への墨塗り』使用可能(1ターン範囲内の対象に強力な暗闇効果[射程:4,範囲:十字1マス,高低差:2])
AF_ARMS_ANK_SYOU_00_FLAVOR	ワダツミに伝わる羽子板を武器と勘違い<br>した鍛冶師が作り出した大剣。武器とし<br>て使えるのはもちろんだが、随所に新年<br>を祝う装飾が施されている為、使用者の<br>運気を向上させる効果もあるとか。
AF_ARMS_ANK_SYOU_00_FILTER_KEYWORD	正月
AF_ARMS_SOL_SYOU_00_EXPR	能力:物攻・器用さ・運アップ、マスターアビリティ『敗者への墨塗り』使用可能(1ターン範囲内の対象に強力な暗闇効果[射程:4,範囲:十字1マス,高低差:2])
AF_ARMS_SOL_SYOU_00_FLAVOR	ワダツミに伝わる羽子板を武器と勘違い<br>した鍛冶師が作り出した双剣。武器とし<br>て使えるのはもちろんだが、随所に新年<br>を祝う装飾が施されている為、使用者の<br>運気を向上させる効果もあるとか。
AF_ARMS_SOL_SYOU_00_FILTER_KEYWORD	正月
AF_ACCS_FF15_IRIS_01_EXPR	能力:物防・魔防アップ、回避率アップ(★5進化時)、イリスがジョブ『王の幼馴染』のときに装備するとマスターアビリティ『エクリプス』使用可能(敵に対象の最大HP25%分の打撃攻撃（最大ダメージ制限5000）[射程:1,高低差:2])
AF_ACCS_FF15_IRIS_01_FLAVOR	イリスが愛用する皮製のリストバンド。<br>黒が好きな彼女らしいデザインはシンプ<br>ルながら、高級感を感じさせる。ファッ<br>ション性の高い見た目だが、イリスの手<br>腕を守る大切な防具のひとつ。
AF_ACCS_FF15_IRIS_01_FILTER_KEYWORD	ファイナルファンタジー15,FF15,イリス
AF_ARMS_FF15_REGI_01_EXPR	能力:魔攻・魔防・器用さアップ、確率で魔攻アップ(★5進化時)、レギスがジョブ『ルシスの国王』のときに装備するとマスターアビリティ『魔法障壁』使用可能(自身を中心とした範囲内の味方に一定の魔法ダメージを軽減するシールドを張る[範囲:菱形2マス,高低差:2])
AF_ARMS_FF15_REGI_01_FLAVOR	ルシス国王であるレギスの持つ精緻な装<br>飾が施された杖。服装と合う黒と金の色<br>合いが格式高さを醸し出す。魔法障壁の<br>影響で老化が進むレギスを支える為、頑<br>丈ながら軽い素材で作られている。
AF_ARMS_FF15_REGI_01_FILTER_KEYWORD	ファイナルファンタジー15,FF15,レギス
AF_ACCS_FF15_CHARM_EXPR	能力:素早さ・最大ジュエルアップ、魔法攻撃力アップ(★5進化時)
AF_ACCS_FF15_CHARM_FLAVOR	モーグリのぬいぐるみを改造した特製の<br>お守り。愛好家も多く、その人気はモン<br>スターにも影響するらしい。ストラップ<br>用の紐は特殊な素材で作られている為、<br>戦闘中も決して外れる事はない。
AF_ACCS_FF15_CHARM_FILTER_KEYWORD	ファイナルファンタジー15,FF15
AF_ARMS_FF15_COR_01_EXPR	能力:物攻アップ、最大ジュエルアップ&確率で自身の物攻アップ(★5進化時)、コルがジョブ『王都警護隊隊長』のときに装備するとマスターアビリティ『獅子吼』使用可能(範囲内の対象に防御無視の斬撃攻撃[射程:4,範囲:幅1マスの直線,高低差:2])
AF_ARMS_FF15_COR_01_FLAVOR	不死将軍の異名を持つ、コルが愛用する<br>刀。凄まじい斬れ味の名刀として知られ<br>るが、レギスの魔力を宿している為、さ<br>らに威力が増している。シンプルなデザ<br>インゆえに彼の趣味に合ったのだとか。
AF_ARMS_FF15_COR_01_FILTER_KEYWORD	ファイナルファンタジー15,FF15,コル
AF_ARMS_FF15_ULTE_00_EXPR	能力:物攻・魔攻・最大ジュエルアップ、移動高低差+1&確率で対象の物防ダウン(★5進化時)、★5進化時にマスターアビリティ『アルテマウェポン』使用可能(敵に自身のHPが最大に近いほど強力な無区分攻撃[射程:1,高低差:2])
AF_ARMS_FF15_ULTE_00_FLAVOR	エンジンの機構を取り付けた片手剣。ア<br>レイコーンという巨大モンスターの頭角<br>を組み込み、威力向上に成功した。エン<br>ジン部分が発する振動波が相手の防御を<br>打ち砕く、強力な一撃を叩き込む。
AF_ARMS_FF15_ULTE_00_FILTER_KEYWORD	ファイナルファンタジー15,FF15
AF_ARMS_WIZ_SYOU_00_EXPR	能力:魔攻・運・最大ジュエルアップ、ジュエル獲得量アップ(★5進化時)、★5進化時にマスターアビリティ『招福万来』使用可能(3ターン自身を中心とした範囲内の味方の獲得ジュエル大幅アップ[範囲:正方形2マス,高低差:2])
AF_ARMS_WIZ_SYOU_00_FLAVOR	ワダツミに伝わる熊手をモチーフに作ら<br>れた杖。縁起物としての役割も発揮し、<br>持ち主に莫大な幸運を運ぶ。さらに、持<br>ち主を害する存在を排除する為、攻撃魔<br>法に杖の魔力を上乗せし強化する。
AF_ARMS_WIZ_SYOU_00_FILTER_KEYWORD	正月
AF_ARMS_BERS_02_EXPR	能力:物攻・素早さ・会心アップ、確率で物攻アップ、★5進化時にマスターアビリティ『ギロチンフォール』使用可能(範囲内の対象にジャンプして斬撃攻撃[射程:4,範囲:正方形1マス,高低差:3])
AF_ARMS_BERS_02_FLAVOR	かつて退治された牛の怪物の角を削りだ<br>して作り出された、牛頭の装飾を施され<br>た超重量の斧。角に残る怪物の思念によ<br>り、使用者は驚異的な筋力を身につけ、<br>斧を軽々と振り回すことが可能となる。
AF_ARMS_ANK_02_EXPR	能力:物攻・命中率アップ、★5進化時にマスターアビリティ『轟炎の一太刀』使用可能(敵に火属性の斬撃攻撃&風属性特効[射程:1,高低差:2])
AF_ARMS_ANK_02_FLAVOR	紅蓮の炎を内包し、その力を宿す大剣。<br>一振りにて向かい来る暴風をも断つと言<br>われ、風を鎮める力を備えている。長大<br>な剣で扱いには技量を用するが、風の力<br>を宿す者には脅威となる武具。
AF_ARMO_ARMOR_08_EXPR	能力:HP上限・範囲攻撃耐性・沈黙耐性アップ
AF_ARMO_ARMOR_08_FLAVOR	重装備の部隊を率いる将の鎧。味方の盾<br>となることを役目としていたため、高い<br>防御性能を備える。敵からの攻撃を受け<br>止め、反撃へと繋げるとの思いが、彼ら<br>の足を止めさせない原動力となる。
AF_ARMS_POK_B_LAEV_01_EXPR	能力:物攻・命中率アップ、斬撃攻撃力アップ(★5進化時)、ブラックキラーズ『レーヴァテイン』がジョブ『黒刃姫』のときに装備するとマスターアビリティ『黒式・獄雷鎖』使用可能(敵に雷属性の斬撃攻撃&ストップ効果[射程:4,高低差:2])、ユグドラシルがジョブ『誓約樹神』で装備すると『「魔昇」レゾナンスキラーズ』『新たな始まり』の魔法攻撃力アップを斬撃攻撃力アップに変更&『キル姫との繋がり』の魔法耐性アップを斬撃耐性アップに変更
AF_ARMS_POK_B_LAEV_01_FLAVOR	世界を九度滅ぼしたその赤黒い刃は、キ<br>リの良さから十度目の滅びを願望として<br>持つ。その破滅を求める刃が、大罪の業<br>をまとうことで、怠惰の業を背負う存在<br>に更なる力をもたらす刃となった。
AF_ARMS_POK_B_LAEV_01_FILTER_KEYWORD	ファントムオブキル,ファンキル,ブラックキラーズ,黒レーヴァテイン
AF_ARMS_S_TSUK_01_EXPR	能力:魔攻・運・最大ジュエルアップ、ツクヨミがジョブ『天候師』のときに装備するとマスターアビリティ『クレイジードールズ』使用可能(敵に闇属性の魔法攻撃&光属性特効&発動前に3ターン対象の魔攻・運を吸収[射程:5,高低差:2])
AF_ARMS_S_TSUK_01_FLAVOR	とある女性が自分の姉弟を模して作った<br>人形。製作者の手で長い間大切にされて<br>いた為、その魔力が取り込まれ、魔攻を<br>増幅する効果を得た。大切に扱ってあげ<br>ると、製作者からの加護が与えられる。
AF_ARMS_S_TSUK_01_FILTER_KEYWORD	シノビナ,シノビナイトメア,ツクヨミ
AF_ARMS_POK_PARA_00_EXPR	能力:物攻・会心アップ、刺突耐性アップ(★5進化時)、パラシュがジョブ『ベルセルク』・『黒斧姫』のときに装備するとマスターアビリティ『紅薔薇の残酷な棘』使用可能(敵に風属性の斬撃攻撃&雷属性特効&確率でクリティカル発生&発動前に3ターン対象の物防ダウン[射程:3,高低差:2])、ユグドラシルがジョブ『誓約樹神』で装備すると『「魔昇」レゾナンスキラーズ』『新たな始まり』の魔法攻撃力アップを斬撃攻撃力アップに変更&『キル姫との繋がり』の魔法耐性アップを斬撃耐性アップに変更
AF_ARMS_POK_PARA_00_FLAVOR	神と崇められていた者が持っていたとさ<br>れる斧。パラシュのキラーズと同じ物で<br>出来ている。パラシュの名を持つ者が装<br>備するとキラーズとアルケミィが反応し<br>特別な力を発揮すると言われている。
AF_ARMS_POK_PARA_00_FILTER_KEYWORD	ファントムオブキル,ファンキル,黒パラシュ,ブラックキラーズ
AF_ACCS_POK_FREI_00_EXPR	能力:魔攻・魔防・射撃攻撃力アップ、フライクーゲルがジョブ『マギアシューター』・『ラー・マギアシューター』『黒銃姫』のときに装備するとマスターアビリティ『ヘァピィスパァク』使用可能(敵に雷属性の射撃攻撃&水属性特効[射程:4,高低差:2])
AF_ACCS_POK_FREI_00_FLAVOR	異世界から来たとある女性の持つ銃から<br>着想を得た彫金師が作った腕輪。内部に<br>魔力を溜め、それを圧縮し魔弾として発<br>射する機構が内蔵されている。その魔弾<br>は雷のように轟きを放つほど強力。
AF_ACCS_POK_FREI_00_FILTER_KEYWORD	ファントムオブキル,ファンキル,黒フライクーゲル,ブラックキラーズ
AF_ACCS_L_UROB_TRUTH_EXPR	能力:魔攻・魔防・魔法攻撃力アップ、リル=ウロボロスがジョブ『深淵を覗く者』のときに装備するとマスターアビリティ『奈落の遊戯』使用可能(3ターン味方の光属性攻撃に闇属性特効を付与[射程:3,高低差:3])
AF_ACCS_L_UROB_TRUTH_FLAVOR	真理の扉の番人から力を貸し与えてもら<br>うためのペンダント。リル・ウロボロス<br>のみがその恩恵を享受でき、本体から分<br>離した際に持ち得た能力とは別の力を、<br>ペンダントを通じて得ることが可能。
AF_ACCS_L_UROB_TRUTH_FILTER_KEYWORD	カルマ,リル=ウロボロス
AF_ACCS_KEYCHAIN_01_EXPR	能力:物防・魔防・運アップ、★5進化時にマスターアビリティ『友チョコプレゼント』使用可能(自身のHPを大量に消費して自身を中心とした範囲内の対象のジュエルを回復[範囲:十字1マス,高低差:2])
AF_ACCS_KEYCHAIN_01_FLAVOR	エマとノアが付けているお揃いのチャー<br>ムを模して作られた魔法具。溢れる若さ<br>と真心を、魔力に変換して人に授けるこ<br>とができる。その様は、友チョコ渡す青<br>春の1ページを連想させる。
AF_ACCS_KEYCHAIN_01_FILTER_KEYWORD	バレンタイン
AF_ACCS_THOL_01_EXPR	能力:物攻・魔攻アップ、デバフ耐性アップ(★5進化時)、★5進化時にソルがジョブ『真理術師』『真理戒師』『真理戒師【真解】』で装備するとマスターアビリティ『「超理」オメガパルス』使用可能
AF_ACCS_THOL_01_FLAVOR	もとはただの愛読書だったものが、ソル<br>が真理を感得した瞬間に置き換えられた<br>本。世界を変革に導く、その原典。いず<br>れ新たな真理へ至る為の、十戒衆の礎に<br>なるのだろうとソルは確信している。
AF_ACCS_THOL_01_FILTER_KEYWORD	ソル
AF_ARMS_SAHA_00_EXPR	能力:物攻・器用さ・素早さアップ、確率で物攻アップ(★5進化時)、★5進化時にザハルが装備するとジュエル自動回復効果&マスターアビリティ使用可能(※Fateコラボverは使用不可)
AF_ARMS_SAHA_00_FLAVOR	ザハルが愛用している出処不明の大剣。<br>剣が纏う空気は月のない夜の如く。また<br>その刃によって斬りつければ、どんな眩<br>き光も無という名の闇の中へ帰するとす<br>ら言われている。
AF_ARMS_SAHA_00_FILTER_KEYWORD	ザハル
AF_ACCS_BRACELET_03_EXPR	能力:魔攻・初期ジュエル・闇属性耐性・光属性耐性アップ、★5進化時に武具アビリティ開放、武具アビリティは聖教騎士団長のみ使用可能(※ダークファントムverは使用不可)、アビリティ効果は各ユニットにより異なる
AF_ACCS_BRACELET_03_FLAVOR	聖教騎士団の中でも、団長格にのみ授け<br>られる腕輪。持ち主の戦闘スタイルに即<br>した教えが得られるとされているが、な<br>ぜそのような力があるのかは解明されて<br>おらず、聖教会の神秘とされている。
AF_ACCS_BRACELET_03_FILTER_KEYWORD	ザイン,セーダ,モンゼイン,カダノバ,クダンシュタイン,オーティマ,ヤウラス,カグラ,カグラ,カヤ,ラキナ,決戦礼装,舞台版
AF_ARMS_BALT_00_EXPR	能力:物攻・器用さ・素早さ・最大ジュエルアップ、★5進化時にバルトが装備すると単体攻撃力アップ&マスターアビリティ『ファルコンダウン』使用可能(敵に3連続の風属性斬撃攻撃&雷属性特効&確率でクリティカル発生&自身が風属性の場合発動前に2ターン全攻撃アップ[射程:3,高低差:2])
AF_ARMS_BALT_00_FLAVOR	砂漠生まれの傭兵・バルトの双剣。巨大<br>な刀身は、左右で構えた際に翼を広げた<br>鷹のようなシルエットとなり敵を萎縮さ<br>せる。片側のみでも超重量となる為、自<br>在に扱える者はバルト以外存在しない。
AF_ARMS_BALT_00_FILTER_KEYWORD	バルト
AF_ARMS_ORION_01_EXPR	能力:物攻・素早さ・初期ジュエル・斬撃攻撃力アップ、確率で雷属性ユニットの全攻撃アップ(3回まで重複可、★5進化時)、★5進化時にオライオンが装備するとマスターアビリティ使用可能
AF_ARMS_ORION_01_FLAVOR	グリードダイクの皇帝・オライオンの愛<br>剣。獅子王と名高いオライオンの野望と<br>勇名に恥じない破壊力を持ち、彼の覇道<br>を支えた。オライオンが本気を出しても<br>壊れないのは、この剣のみである。
AF_ARMS_ORION_01_FILTER_KEYWORD	オライオン
AF_ARMS_POK_B_ARTE_01_EXPR	能力:物攻・器用さ・命中率アップ、確率で1ターン射撃攻撃力アップ(★5進化時)、ブラックキラーズ『アルテミス』がジョブ『黒弓姫』のときに装備するとマスターアビリティ『黒式・蒼月嵐』使用可能(範囲内の対象に風属性の射撃攻撃&ストップ効果&雷属性特効&確率でクリティカル発生[射程:4(延長可),範囲:幅1マスの直線,高低差:2])、ユグドラシルがジョブ『誓約樹神』で装備すると『「魔昇」レゾナンスキラーズ』『新たな始まり』の魔法攻撃力アップを射撃攻撃力アップに変更&『キル姫との繋がり』の魔法耐性アップを射撃耐性アップに変更
AF_ARMS_POK_B_ARTE_01_FLAVOR	人間を外傷なしで即死させる力を持つと<br>言われる弓。仇なす者を次々と射抜いた<br>とされる殺生の弓が、大罪の業をまとう<br>ことで、色欲の業を背負う存在に、更な<br>る力をもたらす弓となった。
AF_ARMS_POK_B_ARTE_01_FILTER_KEYWORD	ファントムオブキル,ファンキル,ブラックキラーズ,黒アルテミス
AF_ARMS_CRY_MERL_01_EXPR	能力:魔攻・魔防・素早さアップ、確率で魔攻アップ、メルリヌスがジョブ『虚実の英雄』のときに装備するとマスターアビリティ『ファントムミスト』使用可能(範囲内の敵に水属性の魔法攻撃&魅了効果&火属性特効[射程:5,範囲:十字1マス,高低差:2])
AF_ARMS_CRY_MERL_01_FLAVOR	ミッドガルドの英雄メルリヌスが愛用す<br>る杖。二体の竜の装飾が先端の紅い結晶<br>を取り巻く。その妖しげな輝きは持つ者<br>の魔力を限界まで高め、繰り出される術<br>は敵を幻惑し破滅へと導くという。
AF_ARMS_CRY_MERL_01_FILTER_KEYWORD	クリユニ,クリスタルオブリユニオン,メルリヌス
AF_ACCS_KAYA_01_EXPR	能力:魔防・魔法攻撃力・素早さアップ、カヤ固有ジョブ『紅竜姫』『紅蓮竜姫』で装備するとマスターアビリティ『騎士道バカの朴念仁！』使用可能(範囲内の対象に火属性の魔法攻撃&麻痺効果&毒効果[射程:5,範囲:十字1マス,高低差:2])
AF_ACCS_KAYA_01_FLAVOR	聖教騎士団団長職を辞した女性に贈られ<br>たカンテラ。異なる道を選びはしたが、<br>いつかその光が互いを照らすものとなる<br>よう、彼女の道が明るいものであるよう<br>にとの同僚の願いが込められている。
AF_ACCS_KAYA_01_FILTER_KEYWORD	カヤ
AF_ARMS_SUMERAGI_00_EXPR	能力:物攻アップ、確率で沈黙効果(★4進化時)、確率でジュエル自動回復効果(★5進化時)、★5進化時にバドがジョブ『蒼煌の騎士』で装備するとマスターアビリティ『影刀・鬼斬り』使用可能(敵に光属性の斬撃攻撃&3ターン自身の全パラメータ大幅アップ[射程:5,高低差:3])、ロギがジョブ『ホーリーナイト＋』『蒼義剣士』で装備するとマスターアビリティ『蒼の皇壁』使用可能(3ターン自身を中心とした範囲内の味方への物理ダメージをかばう（かばう範囲:菱形3マス,かばう高低差:3）&1ターン自身の闇属性耐性大幅アップ[範囲:菱形3マス,高低差:3])、ロギ(※ver．決戦礼装は使用不可)・バドが装備するとマスターアビリティ『蒼皇の導き』使用可能(マップ出現時に自身の最大HP・物攻・全攻撃・闇属性特効アップ&HP上昇分回復)
AF_ARMS_SUMERAGI_00_FLAVOR	ワダツミより古くから伝わる宝刀。伝承<br>の中では鬼と人間との争いの末、鬼から<br>人間に与えられた、角を素材とした鬼殺<br>しの刃。その秘められた力を引き出すに<br>は、黒斗一門の協力が必要不可欠。
AF_ARMS_SUMERAGI_00_FILTER_KEYWORD	バド,ロギ
AF_ACCS_AOT_EREN_01_EXPR	能力:物攻・風属性耐性アップ、巨体特効補正アップ(★5進化時)、★3進化時にエレンがジョブ『調査兵団員』のときに装備するとマスターアビリティ『巨人化』使用可能(5ターン巨人化&全パラメータアップ&HP全回復&アビリティが変化)
AF_ACCS_AOT_EREN_01_FLAVOR	エレンが、父親のグリシャから「地下室<br>に行けば真実がわかる」という言葉とと<br>もに託された謎に満ちた鍵。巨人に破壊<br>された家の地下に眠る真実を知るべく、<br>エレンはこれを見て己を奮い立たせる。
AF_ACCS_AOT_EREN_01_FILTER_KEYWORD	進撃の巨人,エレン
AF_ACCS_AOT_REINER_01_EXPR	能力:物攻・巨体特効補正・雷属性特効補正・打撃耐性アップ、ライナーがジョブ『調査兵団員』のときに装備するとマスターアビリティ『巨人化』使用可能(5ターン巨人化&全パラメータアップ&HP全回復&アビリティが変化)
AF_ACCS_AOT_REINER_01_FLAVOR	調査兵団で用いられている、伝達用の道<br>具。信煙弾と呼ばれる小型拳銃で、色つ<br>きの信号弾を打ち上げる。主に壁外調査<br>において、騎馬で広く展開した陣形での<br>作戦伝達に使われる。
AF_ACCS_AOT_REINER_01_FILTER_KEYWORD	進撃の巨人,ライナー
AF_ACCS_AOT_LEVI_01_EXPR	能力:斬撃攻撃力・巨体特効補正・素早さアップ(★5進化時)、リヴァイが装備すると『立体機動』の効果が変化。★3進化時、リヴァイがジョブ『調査兵団員』のときに装備するとマスターアビリティ『神速回転斬り・報復』使用可能(敵に味方の死亡数が多いほど強力な5連続の闇属性斬撃攻撃&強力な暗闇効果&強力な巨体特効[射程:5,高低差:3])
AF_ACCS_AOT_LEVI_01_FLAVOR	綺麗好きで知られているリヴァイ愛用の<br>白いハンカチと、上質なティーカップ。<br>リヴァイが、他の嗜好品よりも優先して<br>紅茶を手に入れようとするほどの紅茶好<br>きであることは、調査兵団でも有名。
AF_ACCS_AOT_LEVI_01_FILTER_KEYWORD	進撃の巨人,リヴァイ
AF_ACCS_AOT_HANJI_01_EXPR	能力:治癒力・巨体特効補正・沈黙耐性アップ、ハンジがジョブ『調査兵団員』のときに装備するとマスターアビリティ『特定目標拘束兵器』使用可能(範囲内の敵に攻撃禁止・移動禁止効果&5ターン物防・魔防・回避率・背面攻撃耐性大幅ダウン[射程:5,範囲:菱形2マス,高低差:5])
AF_ACCS_AOT_HANJI_01_FLAVOR	ハンジが着用しているゴーグル。平時に<br>はメガネを使用しているハンジだが、激<br>しい動きを邪魔しないゴーグルは、壁外<br>で巨人と戦う調査兵団分隊長としての任<br>務を遂行する際に欠かせない。
AF_ACCS_AOT_HANJI_01_FILTER_KEYWORD	進撃の巨人,ハンジ
AF_ACCS_AOT_MIKASA_01_EXPR	能力:物攻・クリティカル率・ジュエル獲得量アップ、巨体特効補正アップ(★5進化時)、★3進化時にミカサがジョブ『調査兵団員』のときに装備するとマスターアビリティ『神速回転斬り・激情』使用可能(移動後敵に5連続の水属性斬撃攻撃&1ターン移動力-2&背面時威力アップ&強力な巨体特効&確率でクリティカル[射程:5,高低差:3])
AF_ACCS_AOT_MIKASA_01_FLAVOR	幼い頃、野盗の襲撃で両親を失い、ひと<br>りぼっちになってしまったミカサの為に<br>エレンが巻いてあげたマフラー。エレン<br>との絆の象徴であるマフラーを、ミカサ<br>は肌身離さず身につけている。
AF_ACCS_AOT_MIKASA_01_FILTER_KEYWORD	進撃の巨人,ミカサ
AF_ARMS_SYARO_00_EXPR	能力:物攻・回避率アップ、ジュエル獲得量アップ(★5進化時)、ジョブ『轟雷の瞬剣』が装備するとマスターアビリティ『破魔の雷刃』使用可能(敵に雷属性の斬撃攻撃&水属性特効&バフ効果を解除[射程:4,高低差:2])、シャロンが装備するとマスターアビリティ『勝利の音色』使用可能(マップ出現時に自身の斬撃攻撃力・回避率アップ)
AF_ARMS_SYARO_00_FLAVOR	騎士が扱う重量のある剣とは一線を画す<br>が、非力な者でも扱いやすい利点を持つ<br>剣。訓練兵がエンヴィリアの演習後に特<br>性を見極めた教官から渡された、彼女を<br>剣の重さから解放してくれた記念の剣。
AF_ARMS_SYARO_00_FILTER_KEYWORD	シャロン
AF_ACCS_BRACELET_04_EXPR	能力:最大ジュエル・素早さ・器用さアップ、★5進化時にジョブ『銃槍師』・『マシーナリー』・『機甲技師』・『仕掛砲師』・『魔導機技師』・『機工操師』・『魔導戦鎚師』・『機甲練技師』・『聖教の業銃師』で装備するとマスターアビリティ『ウィークライブラリ』使用可能(マップ出現時に自身の巨体特効補正アップ)
AF_ACCS_BRACELET_04_FLAVOR	身につけた者に自分より遥かに大きな敵<br>の弱点を教える魔導回路を組み込んだブ<br>レスレット。武器の魔導回路と連動する<br>為、その回路を通した砲撃や回路と直結<br>した槍具での攻撃で真価を発揮する。
AF_ARMS_TEON_00_EXPR	能力:物攻・物防アップ、刺突攻撃力アップ(★5進化時)、確率で3ターン刺突攻撃力アップ(★5進化時)、ジョブ『ヴァルキリー』で装備するとマスターアビリティ使用可能
AF_ARMS_TEON_00_FLAVOR	コロッセオのチャンピオンが手にしてい<br>たとされるランスをベースに高名な鍛冶<br>師が鍛え上げた逸品。いかなる局面でも<br>攻防に力を発揮すると言われ、戦に向か<br>う者に勇気と力を与えるとされる。
AF_ARMS_TEON_00_FILTER_KEYWORD	運動会,テオナ
AF_ACCS_CLOE_01_EXPR	能力:ジュエル獲得量・素早さ・魔防・デバフ耐性アップ、★5進化時に緋炎騎士団が装備するとマスターアビリティ『緋炎の援護』使用可能(マップ出現時に物防・素早さ・光属性アップ)
AF_ACCS_CLOE_01_FLAVOR	ナガオウサギ族の毛を素材に作られたぬ<br>いぐるみ。近衛部隊創設の際に、お祝い<br>の品として隊長に贈られた記念の品。そ<br>の心遣いは嬉しく感じたらしく、その出<br>来には目を瞑り、大切に保管している。
AF_ACCS_CLOE_01_FILTER_KEYWORD	クロエ,ヴェテル,ヴィクター,ジェラルド,ナタリー,ダルタニアン,ニーナ,レン,ジュウベエ,セリス
AF_ACCS_NINA_01_EXPR	能力:HP上限・闇属性特効補正・スタン耐性アップ、★5進化時に緋炎騎士団が装備するとマスターアビリティ『鋼の意志』使用可能(マップ出現時に物攻・物防・魔攻・魔防アップ)
AF_ACCS_NINA_01_FLAVOR	ナガオウサギ族の毛を素材に作られたぬ<br>いぐるみ。作った本人はかわいいと絶賛<br>しているが、周囲の同意は得られていな<br>い。本人曰く、見た目も手触りも最高と<br>のことだが、その出来上がりは不細工。
AF_ACCS_NINA_01_FILTER_KEYWORD	クロエ,ヴェテル,ヴィクター,ジェラルド,ナタリー,ダルタニアン,ニーナ,レン,ジュウベエ,セリス
AF_ARMS_POK_B_LONG_01_EXPR	能力:物攻・物防アップ、斬撃回避率アップ(★5進化時)、ブラックキラーズ『ロンギヌス』がジョブ『黒槍姫』のとき装備するとマスターアビリティ『黒式・誅戮ノ穿』使用可能(範囲内の対象に自身の物攻・物防が高いほど威力の高い水属性の刺突攻撃&火属性特効&確率でクリティカル発生&攻撃禁止・移動禁止効果[射程:4,範囲:正方形1マス,高低差:3])、ユグドラシルがジョブ『誓約樹神』で装備すると『「魔昇」レゾナンスキラーズ』『新たな始まり』の魔法攻撃力アップを刺突攻撃力アップに変更&『キル姫との繋がり』の魔法耐性アップを刺突耐性アップに変更
AF_ARMS_POK_B_LONG_01_FLAVOR	磔の刑に処された聖者の生死を確認する<br>為に用いられたと言われる槍。聖者の血<br>を浴びて赤黒く染まった槍は、大罪の業<br>をまとうことで、嫉妬の業を背負う存在<br>に、更なる力をもたらす槍となった。
AF_ARMS_POK_B_LONG_01_FILTER_KEYWORD	ファントムオブキル,ファンキル,ブラックキラーズ,黒ロンギヌス
AF_ARMO_POK_SHIELD_01_EXPR	能力:HP上限・物防・魔防・反撃耐性アップ、回避率ダウン、ファンキルコラボユニットが装備するとマスターアビリティ『金獅子の守護』使用可能
AF_ARMO_POK_SHIELD_01_FLAVOR	“幻の鉱物”を鍛造し、作り上げられた<br>盾。金獅子のごとく黄金に輝いている。<br>キラープリンセスが装備することで秘め<br>た力が発動し、自身の周りに強力なバリ<br>アを張る力を得ることができる。
AF_ARMO_POK_SHIELD_01_FILTER_KEYWORD	ファントムオブキル,ファンキル,レイド
