IT_US_FATE_TAIYAKI_EXPR	3ターンの間、クロックアップ状態にする
IT_EQ_DIAGRAMPIECE_POLL_CAPE_EXPR	80個集めると「ベルベットケープ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_POLL_BOOT_EXPR	80個集めると「ムートンリボンブーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_POLL_CORSAGE_EXPR	80個集めると「フラアリーコサージュ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_POLL_FLOWER_EXPR	80個集めると「ロゼットネックレス図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RAHU_POT_EXPR	80個集めると「ポットシニヨン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RAHU_SCARF_EXPR	80個集めると「デザートスカーフ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RAHU_CLOTHES_EXPR	80個集めると「マジカルスカート図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RAHU_BOOT_EXPR	80個集めると「シムーンヒール図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RAHU_CARPET_EXPR	80個集めると「マジカルカーペット図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RAHU_LAMP_EXPR	80個集めると「ランプさん図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LUCA_TWIN_SWORD_EXPR	80個集めると「アルケミィククリ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LUCA_HOOD_EXPR	80個集めると「ソルジャーシュマグ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LUCA_SCARF_EXPR	80個集めると「アイソレートマフラー図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LUCA_CLOTH_EXPR	80個集めると「ライオットギア図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LUCA_PANTS_EXPR	80個集めると「クレストチャーム図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LUCA_SWORDS_EXPR	80個集めると「エルフィンダガーズ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_KUDH_LAN2_01_EXPR	80個集めると「魔鋭槍・獄闇図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_KUDH_LAN2_02_EXPR	80個集めると「獄闇の甲騎服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_KUDH_LAN2_03_EXPR	80個集めると「獄闇の具足図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_KUDH_LAN2_04_EXPR	80個集めると「獄闇の斬手図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_KUDH_LAN2_05_EXPR	80個集めると「獄闇の外套図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_KUDH_LAN2_06_EXPR	80個集めると「獄闇の襟巻図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FREE_LANCE_EXPR	80個集めると「銀龍骨の鋭槍図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FREE_JACKET_EXPR	80個集めると「礼装用ジャケット図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FREE_FEILEADH_EXPR	80個集めると「礼装用フェーリア図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FREE_BARRETTA_EXPR	80個集めると「骨棘のバレッタ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FREE_BOOT_EXPR	80個集めると「礼装用軍長靴図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FREE_MEDAL_EXPR	80個集めると「銀翼龍勲章図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIEC_DIS_KILL_EXPR	80個集めると「氷魔の一張羅図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIEC_DIS_SERA_EXPR	80個集めると「絢爛魔装図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIEC_DIS_REDM_EXPR	80個集めると「超轟筋用衣裳図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIEC_DIS_ARCH_EXPR	80個集めると「魔界アーチャードレス図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIEC_DIS_CAT_EXPR	80個集めると「猫娘族衣裳図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIEC_DIS_USAL_1_EXPR	80個集めると「ちびっ子バニースーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LAHA_CLOTHES_EXPR	80個集めると「魔王を継ぐ装束図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ETON_CLOTHES_EXPR	80個集めると「エトナの小悪魔衣装図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_PRIN1_BONE_EXPR	80個集めると「プリニガーボーン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DIS_THI_CLOTHES_EXPR	80個集めると「魔界盗賊セット図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DIS_SAM_CLOTHES_EXPR	80個集めると「魔界侍之装束図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DIS_DEMON_SUIT_EXPR	80個集めると「夜魔族スーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DIS_WIZ_DRESS_EXPR	80個集めると「魔界魔法使いドレス図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LIES_2CC_BROOM_EXPR	80個集めると「ノスタルジアブルーム図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LIES_2CC_UNIFORM_EXPR	80個集めると「ルストの制服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LIES_2CC_BOOTS_EXPR	80個集めると「ルージュロングブーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LIES_2CC_BOUQUET_EXPR	80個集めると「スタブルールブーケ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LIES_2CC_BARRETTE_EXPR	80個集めると「プリティバレッタ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_LIES_2CC_BADGE_EXPR	80個集めると「スチューデントバッジ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_YUAN_ARROW_EXPR	80個集めると「サバイヴアロー図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_YUAN_BELT_EXPR	80個集めると「サバイヴベルト図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_YUAN_GEAR_EXPR	80個集めると「レイダーズギア図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_YUAN_BUNDLE_EXPR	80個集めると「サバイヴバンドル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_YUAN_BOOTS_EXPR	80個集めると「レイダーズブーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_YUAN_BLADE_EXPR	80個集めると「サバイヴブレード図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ARKI_HOOKAH_EXPR	80個集めると「サーブルシーシャ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ARKI_TURBAN_EXPR	80個集めると「サーブルターバン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ARKI_JACKET_EXPR	80個集めると「サーブルヴェストン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ARKI_GAUNTLET_EXPR	80個集めると「サーブルブラスレ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ARKI_BOOTS_EXPR	80個集めると「サーブルレボット図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ARKI_REVOLVER_EXPR	80個集めると「サーブルリボルバー図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SUTO_SAVER_EXPR	80個集めると「ギルティシミター図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SUTO_HAT_EXPR	80個集めると「カーマインハット図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SUTO_CLOTHES_EXPR	80個集めると「リスキークロース図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SUTO_COAT_EXPR	80個集めると「カーマインコート図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SUTO_TRUMP_EXPR	80個集めると「リスキーカード図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SUTO_ACCE_EXPR	80個集めると「ギルティジュエル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FF15_NOCT_EXPR	80個集めると「ノクティスの戦闘服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FF15_INGI_EXPR	80個集めると「イグニスの戦闘服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FF15_GLAD_EXPR	80個集めると「グラディオの戦闘服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FF15_PROM01_EXPR	80個集めると「プロンプトの戦闘服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FF15_ARAN_EXPR	80個集めると「アラネアの兜図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DIOS_SWORD_EXPR	80個集めると「デザイアブレード図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DIOS_JACKET_EXPR	80個集めると「聖教騎士の黒鎧図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DIOS_BOOTS_EXPR	80個集めると「聖教騎士の黒靴図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DIOS_GAUNTLET_EXPR	80個集めると「聖教騎士の黒籠手図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DIOS_SHIELD_EXPR	80個集めると「ブラックウォール図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DIOS_EMBLEM_EXPR	80個集めると「ジェットエンブレム図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_VANE_KNIFE_EXPR	80個集めると「ミストレスエッジ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_VANE_CLOTHES_EXPR	80個集めると「ミストレスドレス図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_VANE_GLOVE_EXPR	80個集めると「ミストレスグローヴ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_VANE_FUR_EXPR	80個集めると「ミストレスラケット図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_VANE_BOOT_EXPR	80個集めると「ミストレスヒール図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_VANE_ROUGE_EXPR	80個集めると「ミストレスルージュ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ACHA_SGUARD_EXPR	80個集めると「アームズストレージ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_VIER_PIPE_EXPR	80個集めると「魔香キセル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MONZ_WOR2_01_EXPR	80個集めると「ゴールドレオレリーフ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MONZ_WOR2_02_EXPR	80個集めると「ゴールドレオガード図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MONZ_WOR2_03_EXPR	80個集めると「ゴールドレオグリーブ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MONZ_WOR2_04_EXPR	80個集めると「ゴールドレオマント図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MONZ_WOR2_05_EXPR	80個集めると「第二騎士団の団章図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MONZ_WOR2_06_EXPR	80個集めると「剛斧猛将の駒図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_YAUL_SOL2_01_EXPR	80個集めると「ブレスローズレリーフ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_YAUL_SOL2_02_EXPR	80個集めると「ブレスローズバンド図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_YAUL_SOL2_03_EXPR	80個集めると「ブレスローズブーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_YAUL_SOL2_04_EXPR	80個集めると「ブレスローズボトル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_YAUL_SOL2_05_EXPR	80個集めると「第一騎士団の団章図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_YAUL_SOL2_06_EXPR	80個集めると「双剣麗将の駒図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RH_STOC_EXPR	80個集めると「エージェントスーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RH_ERUK_EXPR	80個集めると「プリンセススーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RH_ATO_EXPR	80個集めると「ワンダリングスーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_RH_RAIN01_EXPR	80個集めると「ランサーズスーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MIEL_ROD_EXPR	80個集めると「アメイジングロッド図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MIEL_HEADRIBBON_EXPR	80個集めると「パピヨンリボン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MIEL_DRESS_EXPR	80個集めると「プレシャスドレス図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MIEL_BOOTS_EXPR	80個集めると「プレシャスブーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MIEL_BOUQUET_EXPR	80個集めると「フェイバリットブーケ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MIEL_ACCE_EXPR	80個集めると「クリスタルパピヨン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ZYVA_ACC_EXPR	80個集めると「ソーンクロスバレッタ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_NOIN_BOTTLE_EXPR	80個集めると「豪酒・紅鬼図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FURY_AMULET_EXPR	80個集めると「ミカハヤヒの御守図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SEDA_RAN2_01_EXPR	80個集めると「アリーズアミュレット図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SEDA_RAN2_02_EXPR	80個集めると「アリーズヘアフェザー図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SEDA_RAN2_03_EXPR	80個集めると「アリーズファーブーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SEDA_RAN2_04_EXPR	80個集めると「アリーズティーセット図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SEDA_RAN2_05_EXPR	80個集めると「第三騎士団の団章図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SEDA_RAN2_06_EXPR	80個集めると「疾弓騎士の駒図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_TINA01_SOUBI_EXPR	80個集めると「トクスォテスの組紐図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GORM_KAI_01_EXPR	80個集めると「バッカニアーズコート図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GORM_KAI_02_EXPR	80個集めると「黒色竜骨団の海賊旗図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GORM_KAI_03_EXPR	80個集めると「大海賊の嗜好品図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GORM_KAI_04_EXPR	80個集めると「古の海図とコンパス図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GORM_KAI_05_EXPR	80個集めると「グリニング・スカル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GORM_KAI_06_EXPR	80個集めると「海に抱かれた秘宝図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_REIM_SWORD_EXPR	80個集めると「宵闇一文字図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_REIM_COSTUME_EXPR	80個集めると「深縹染装束図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_REIM_TEKKO_EXPR	80個集めると「黒漆摘手甲図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_REIM_EYEPATCH_EXPR	80個集めると「紫紺染の眼帯図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_REIM_FAN_EXPR	80個集めると「濡羽色の扇図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_REIM_KUNAI_EXPR	80個集めると「深緋刃の苦無図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MOU_GAROMANTLE_EXPR	80個集めると「餓狼のマント図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SQ_PAL_EXPR	80個集めると「パラディンメイル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SQ_PRI_EXPR	80個集めると「プリンセスメイル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SQ_DAN_EXPR	80個集めると「ダンサードレス図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_SQ_GUN01_EXPR	80個集めると「ガンナージャケット図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MAD_GLOBE_EXPR	80個集めると「マギクラリオン図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MEGISTOS_WEAPON_EXPR	80個集めると「噴進砲『ガラテア』図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MEGISTOS_COAT_EXPR	80個集めると「アーティレリーコート図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MEGISTOS_BULLET_EXPR	80個集めると「照明弾『アリス』図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MEGISTOS_FLAK_EXPR	80個集めると「高射砲『アマルテア』図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MEGISTOS_BATTERY_EXPR	80個集めると「野砲『オフィーリア』図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MEGISTOS_BOOT_EXPR	80個集めると「エアクラフトブーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MIUN_KAJ_CC_01_EXPR	80個集めると「匠・防炎袖付前掛図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MIUN_KAJ_CC_02_EXPR	80個集めると「遮光保護ゴーグル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MIUN_KAJ_CC_03_EXPR	80個集めると「鍛冶工腰袋付ベルト図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MIUN_KAJ_CC_04_EXPR	80個集めると「超耐熱仕様安全靴図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MIUN_KAJ_CC_05_EXPR	80個集めると「火熾の蛇腹ふいご図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_MIUN_KAJ_CC_06_EXPR	80個集めると「希少未知鉱石の瓶図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_PSI_HEADGEAR_EXPR	80個集めると「サイコゲイザー図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_COMMON_EXPR	素材合成時に装備図片と置き換えることが出来るアイテム（クラスチェンジの固有装備品除く）
IT_EQ_DIAGRAMPIECE_FA_EDWA01_EXPR	80個集めると「エドの服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FA_PRID01_EXPR	80個集めると「セリムの服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_HAYATE_SWORD_EXPR	80個集めると「疾風の小太刀図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_HAYATE_COSTUMES_EXPR	80個集めると「ギョウブの正装束図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_HAYATE_MANT_EXPR	80個集めると「風狸のマント図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_HAYATE_ACCE_EXPR	80個集めると「揺心の首飾り図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_HAYATE_BANDANA_EXPR	80個集めると「自制のバンダナ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_HAYATE_BOOTS_EXPR	80個集めると「ワダツミ長足袋靴図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_TEM_SHIELD_EXPR	80個集めると「ディバインシールド図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FA_ALPH01_01_EXPR	80個集めると「アルの鎧ふんどし図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FA_MAST01_EXPR	80個集めると「ロイの耐火性軍服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FA_HAWK01_EXPR	80個集めると「ホークアイの軍服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FA_WRAT01_EXPR	80個集めると「ラースの戦闘服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_FA_ENVY01_01_EXPR	80個集めると「エンヴィーの服図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ZENN_SCARF_EXPR	80個集めると「無銘の首巻図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_OTHI_WIZ_CC_01_EXPR	80個集めると「ファントムスフィア図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_OTHI_WIZ_CC_02_EXPR	80個集めると「ファントムタッセル図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_OTHI_WIZ_CC_03_EXPR	80個集めると「ファントムブーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_OTHI_WIZ_CC_04_EXPR	80個集めると「ファントムアーム図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_OTHI_WIZ_CC_05_EXPR	80個集めると「第六騎士団の団章」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_OTHI_WIZ_CC_06_EXPR	80個集めると「幻影道師の駒図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ART_EXPR	80個集めると「筒払い棒図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_POK_B_TYRH01_EXPR	80個集めると「強欲の戦装図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_WAISTCLOTH_MILOKU_EXPR	【拳聖【弥勒】の専用装備品図片】　80個集めると「弥勒の腰巻図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_WAISTCLOTH_FUDOU_EXPR	【拳聖【不動】の専用装備品図片】　80個集めると「不動の腰巻図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_WAISTCLOTH_SENJYU_EXPR	【拳聖【千手】の専用装備品図片】　80個集めると「千手の腰巻図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_WAISTCLOTH_SYURA_EXPR	【拳聖【修羅】の専用装備品図片】　80個集めると「修羅の腰巻図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ZUKIN_KIRIN_EXPR	【忍者【麒麟】の専用装備品図片】　80個集めると「麒麟ノ頭巾図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ZUKIN_GENBU_EXPR	【忍者【玄武】の専用装備品図片】　80個集めると「玄武ノ頭巾図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ZUKIN_SUZAKU_EXPR	【忍者【朱雀】の専用装備品図片】　80個集めると「朱雀ノ頭巾図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ZUKIN_BYACO_EXPR	【忍者【白虎】の専用装備品図片】　80個集めると「白虎ノ頭巾図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_ZUKIN_SEIRYU_EXPR	【忍者【青龍】の専用装備品図片】　80個集めると「青龍ノ頭巾図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DRAGON_VRITRA_EXPR	【ドラゴンナイト【ヴリトラ】の専用装備品図片】　80個集めると「ヴリトラのスフィア図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DRAGON_GARUDA_EXPR	【ドラゴンナイト【ガルダ】の専用装備品図片】　80個集めると「ガルダのスフィア図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DRAGON_RUDRA_EXPR	【ドラゴンナイト【ルドラ】の専用装備品図片】　80個集めると「ルドラのスフィア図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DENEB_GLOBE_EXPR	80個集めると「アルビレオ天球儀図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DENEB_DRESS_EXPR	80個集めると「アルビレオドレス図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DENEB_NECKLACE_EXPR	80個集めると「ベガネックレス図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DENEB_BOOTS_EXPR	80個集めると「アルタイルブーツ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DENEB_SASH_EXPR	80個集めると「アルタイルサッシュ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DENEB_HAT_EXPR	80個集めると「アルビレオハット図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GUA_TYPE_ZAYI_EXPR	【ホーリーナイト【ギア】の専用装備品図片】　80個集めると「ギアの鎧図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GUA_TYPE_ANTI_SWORD_EXPR	【ホーリーナイト【イザヤ】の専用装備品図片】　80個集めると「イザヤの鎧図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GUA_TYPE_ANTI_LANCE_EXPR	【ホーリーナイト【ポルタ】の専用装備品図片】　80個集めると「ポルタの鎧図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GUA_TYPE_ANTI_BLOW_EXPR	【ホーリーナイト【ダビデ】の専用装備品図片】　80個集めると「ダビデの鎧図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GUA_TYPE_ANTI_MAGIC_EXPR	【ホーリーナイト【マギ】の専用装備品図片】　80個集めると「マギの鎧図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GUA_TYPE_ANTI_WIDE_ATK_EXPR	【ホーリーナイト【アーク】の専用装備品図片】　80個集めると「アークの鎧図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GUA_TYPE_HEALING_EXPR	【ホーリーナイト【ピエタ】の専用装備品図片】　80個集めると「ピエタの鎧図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_GUA_TYPE_ARM_EXPR	【ホーリーナイト【カエルム】の専用装備品図片】　80個集めると「カエルムの鎧図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DOC_TYPE_HEALING_EXPR	【プロフェッサー【エイド】の専用装備品図片】　80個集めると「エイドフラスコ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DOC_TYPE_BUFF_EXPR	【プロフェッサー【マッド】の専用装備品図片】　80個集めると「マッドフラスコ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DOC_TYPE_POISON_EXPR	【プロフェッサー【バイオ】の専用装備品図片】　80個集めると「バイオフラスコ図案」を生成することが出来るアイテム
IT_EQ_DIAGRAMPIECE_DOC_TYPE_CHARM_EXPR	【プロフェッサー【ハニー】の専用装備品図片】　80個集めると「ハニーフラスコ図案」を生成することが出来るアイテム
