QE_TM_POT_LIM_LV1	ステージ効果：物攻マイナス補正、魔攻プラス補正
QE_EV_GT_RANKQUEST_LV_10	<有効な状態異常><br><br>坂田銀時：睡眠、回復無効、クロックダウン、補助行動禁止、全デバフ軽減50％<br><br>土方十四郎：回復無効、暗闇、CTダウン、補助行動禁止、全デバフ軽減50％<br><br>沖田総悟：睡眠、暗闇、回復無効、クロックダウン、補助行動禁止、全デバフ軽減50％<br><br>『坂田銀時』と『土方十四郎』は、双方が生存していると斬撃攻撃力と打撃攻撃力がアップする。また、『土方十四郎』が生存していると、『沖田総悟』の射撃攻撃力が、沖田のターンが回る度に上がっていく。
QE_EV_GT_RANKQUEST_LV_11	<有効な状態異常><br><br>坂田銀時（スクーター）：沈黙、回復無効、CTダウン、補助行動禁止、全デバフ軽減90％<br><br>坂田銀時：回復無効、睡眠、補助行動禁止、全デバフ軽減90％<br><br>神楽：睡眠、回復無効、クロックダウン、補助行動禁止、全デバフ軽減90％<br><br>神楽（覚醒）：回復無効、憤怒、補助行動禁止、全デバフ軽減90％<br><br>桂小太郎：麻痺、沈黙、移動禁止、回復無効、全デバフ軽減90％<br><br>『坂田銀時』と『神楽』は、一定のダメージを与えると撤退し、銀時はスクーターから降りて、神楽は夜兎覚醒状態で再出撃する。
QE_EV_GT_RANKQUEST_LV_12	<有効な状態異常><br><br>坂田銀時（スクーター）：沈黙、回復無効、CTダウン、補助行動禁止、全デバフ軽減90％<br><br>坂田銀時：回復無効、睡眠、補助行動禁止、全デバフ軽減90％<br><br>神楽：睡眠、回復無効、クロックダウン、補助行動禁止、全デバフ軽減90％<br><br>神楽（覚醒）：回復無効、憤怒、補助行動禁止、全デバフ軽減90％<br><br>桂小太郎：麻痺、沈黙、移動禁止、回復無効、全デバフ軽減90％<br><br>『坂田銀時』と『神楽』は、一定のダメージを与えると撤退し、銀時はスクーターから降りて、神楽は夜兎覚醒状態で再出撃する。
QE_EV_GT_RANKQUEST_LV_13	<有効な状態異常><br><br>坂田銀時（スクーター）：沈黙、回復無効、CTダウン、補助行動禁止、全デバフ軽減90％<br><br>坂田銀時：回復無効、睡眠、補助行動禁止、全デバフ軽減90％<br><br>神楽：睡眠、回復無効、クロックダウン、補助行動禁止、全デバフ軽減90％<br><br>神楽（覚醒）：回復無効、憤怒、補助行動禁止、全デバフ軽減90％<br><br>桂小太郎：麻痺、沈黙、移動禁止、回復無効、全デバフ軽減90％<br><br>『坂田銀時』と『神楽』は、一定のダメージを与えると撤退し、銀時はスクーターから降りて、神楽は夜兎覚醒状態で再出撃する。
QE_EV_GT_RANKQUEST_LV_14	<有効な状態異常><br><br>坂田銀時（スクーター）：沈黙、回復無効、CTダウン、補助行動禁止、全デバフ軽減90％<br><br>坂田銀時：回復無効、睡眠、補助行動禁止、全デバフ軽減90％<br><br>神楽：睡眠、回復無効、クロックダウン、補助行動禁止、全デバフ軽減90％<br><br>神楽（覚醒）：回復無効、憤怒、補助行動禁止、全デバフ軽減90％<br><br>桂小太郎：麻痺、沈黙、移動禁止、回復無効、全デバフ軽減90％<br><br>『坂田銀時』と『神楽』は、一定のダメージを与えると撤退し、銀時はスクーターから降りて、神楽は夜兎覚醒状態で再出撃する。<br><br>なお、マップ上のいちご牛乳は書き換えることができない。
QE_EV_GT_RANKQUEST_LV_15	<有効な状態異常><br><br>坂田銀時（スクーター）：沈黙、回復無効、CTダウン、補助行動禁止、全デバフ軽減90％<br><br>坂田銀時：回復無効、睡眠、補助行動禁止、全デバフ軽減90％<br><br>神楽：睡眠、回復無効、クロックダウン、補助行動禁止、全デバフ軽減90％<br><br>神楽（覚醒）：回復無効、憤怒、補助行動禁止、全デバフ軽減90％<br><br>桂小太郎：麻痺、沈黙、移動禁止、回復無効、全デバフ軽減90％<br><br>『坂田銀時』と『神楽』は、一定のダメージを与えると撤退し、銀時はスクーターから降りて、神楽は夜兎覚醒状態で再出撃する。<br><br>なお、マップ上のいちご牛乳は書き換えることができない。

QE_EV_GERALDNATALIE_04	NPCのジェラルドを操作して一定ターン敵の攻撃に耐えよう！<br>アイテムクリスタルは、1つ以上壊すもしくは敵を4体以上倒すとまとめて壊れるぞ！
QE_EV_GERALDNATALIE_EX	ジェラルドは一定ターン毎に非常に強力なスキルを使用してくるので、一気に倒すか有効な状態異常を活用して使用させないようにしよう！<br><有効な状態異常><br>ジェラルド以外共通：デバフ、クロックダウン<br>ジェラルド：CTダウン<br>ナタリー：スタン<br>ヴェテル：移動禁止
QE_EV_GERALDNATALIE_EX_SP	ジェラルドは一定ターン毎に非常に強力なスキルを使用してくるので、一気に倒すか有効な状態異常を活用して使用させないようにしよう！<br><有効な状態異常><br>ジェラルド以外共通：デバフ、クロックダウン<br>ジェラルド：CTダウン<br>ナタリー：スタン<br>ヴェテル：移動禁止<br>レン：鈍足<br>クロエ：暗闇
QE_EV_GERALDNATALIE_EX_SP2	ジェラルドは一定ターン毎に非常に強力なスキルを使用してくるので、一気に倒すか有効な状態異常を活用して使用させないようにしよう！<br><有効な状態異常><br>ジェラルド以外共通：デバフ、クロックダウン<br>ジェラルド：CTダウン<br>ナタリー：スタン<br>ヴェテル：移動禁止<br>レン：鈍足<br>クロエ：暗闇<br>ニーナ：魅了<br>ヴィクター：なし
QE_MULTI_GERALDNATALIE_EX	ジェラルドは一定ターン毎に非常に強力なスキルを使用してくるので、一気に倒すか有効な状態異常を活用して使用させないようにしよう！<br><有効な状態異常><br>ジェラルド以外共通：デバフ、クロックダウン<br>ジェラルド：CTダウン<br>ナタリー：スタン<br>ヴェテル：移動禁止
QE_MULTI_GERALDNATALIE_EX_SP	ジェラルドは一定ターン毎に非常に強力なスキルを使用してくるので、一気に倒すか有効な状態異常を活用して使用させないようにしよう！<br><有効な状態異常><br>ジェラルド以外共通：デバフ、クロックダウン<br>ジェラルド：CTダウン<br>ナタリー：スタン<br>ヴェテル：移動禁止<br>レン：鈍足<br>クロエ：暗闇
QE_MULTI_GERALDNATALIE_EX_SP2	ジェラルドは一定ターン毎に非常に強力なスキルを使用してくるので、一気に倒すか有効な状態異常を活用して使用させないようにしよう！<br><有効な状態異常><br>ジェラルド以外共通：デバフ、クロックダウン<br>ジェラルド：CTダウン<br>ナタリー：スタン<br>ヴェテル：移動禁止<br>レン：鈍足<br>クロエ：暗闇<br>ニーナ：魅了<br>ヴィクター：なし

QE_EV_GENESIS_0312	NPC『アドレイ』『ミナリオ』『ニムル』のうち、いずれかのHPが半分以下になると全ての『アイテムクリスタル』が破壊されます。

QE_2019WINTER_BONUS_CP_01	このステージは通常攻撃でのジュエル獲得はできないぞ！<br><br>マップに出現する敵は無区分、ジャンプ攻撃以外への非常に高い耐性を持っているぞ！<br><br>高台のグリーンリザードはジュエルを大幅に削るスキルを使用する。<br>しかし、射撃・魔法以外の通常攻撃をする事で味方全体へ3ターン特大のジュエル自動回復&HP自動回復効果と、永続で全攻撃・全防御アップ効果をかけてくれるぞ！<br>忍者、隠密、ドラゴンナイトなどのJumpの高いユニットで素早く近づいて対処しよう！

QE_EV_XMAS_2019_02	ぬいぐるみを咥えた獣は足止めの状態異常にかかりやすいので活用しよう！<br><br>敗北条件：ぬいぐるみを咥えた獣が『逃走経路』に到達
QE_EV_XMAS_2019_EX	『割れそうな氷』に乗ると大きなダメージと攻撃禁止・移動禁止効果が発生してしまう。<br>ただし敵ユニットにも有効なので、さまざまな手段を使って乗せてみよう。<br>さらに普段はダメージが通りにくい『雪だるま』を乗せた場合、全防御ダウン効果も発生するため有効活用しよう！
QE_EV_XMAS_2019_EX_SP	『割れそうな氷』に乗ると大きなダメージと攻撃禁止・移動禁止効果が発生してしまう。<br>ただし敵ユニットにも有効なので、さまざまな手段を使って乗せてみよう。<br>さらに普段はダメージが通りにくい『雪だるま』を乗せた場合、全防御ダウン効果も発生するため有効活用しよう！
QE_EV_XMAS_2019_EX_SP2	『割れそうな氷』に乗ると大きなダメージと攻撃禁止・移動禁止効果が発生してしまう。<br>ただし敵ユニットにも有効なので、さまざまな手段を使って乗せてみよう。<br>さらに普段はダメージが通りにくい『雪だるま』を乗せた場合、全防御ダウン効果も発生するため有効活用しよう！<br>また、『使い魔』は物理攻撃を受けると、自身に1ターン斬撃・刺突・打撃・射撃・ジャンプ・反撃耐性と雷属性以外の耐性がアップする『守護変換[物理]』を使い、魔法攻撃を受けると、自身に1ターン魔法・反撃耐性と雷属性以外の耐性がアップする『守護変換[魔法]』を使うぞ！
QE_MULTI_XMAS_2019_EX	『割れそうな氷』に乗ると大きなダメージと攻撃禁止・移動禁止効果が発生してしまう。<br>ただし敵ユニットにも有効なので、さまざまな手段を使って乗せてみよう。<br>さらに普段はダメージが通りにくい『雪だるま』を乗せた場合、全防御ダウン効果も発生するため有効活用しよう！
QE_MULTI_XMAS_2019_EX_SP	『割れそうな氷』に乗ると大きなダメージと攻撃禁止・移動禁止効果が発生してしまう。<br>ただし敵ユニットにも有効なので、さまざまな手段を使って乗せてみよう。<br>さらに普段はダメージが通りにくい『雪だるま』を乗せた場合、全防御ダウン効果も発生するため有効活用しよう！
QE_MULTI_XMAS_2019_EX_SP2	『割れそうな氷』に乗ると大きなダメージと攻撃禁止・移動禁止効果が発生してしまう。<br>ただし敵ユニットにも有効なので、さまざまな手段を使って乗せてみよう。<br>さらに普段はダメージが通りにくい『雪だるま』を乗せた場合、全防御ダウン効果も発生するため有効活用しよう！<br>また、『使い魔』は物理攻撃を受けると、自身に1ターン斬撃・刺突・打撃・射撃・ジャンプ・反撃耐性と雷属性以外の耐性がアップする『守護変換[物理]』を使い、魔法攻撃を受けると、自身に1ターン魔法・反撃耐性と雷属性以外の耐性がアップする『守護変換[魔法]』を使うぞ！

QE_EV_ADVANCE_ALSO_SPRACH_03_NO_02	『グリードダイク兵』は積極的に攻撃してこないので『リーファ』にダメージを与えて撤退させよう。
QE_EV_ADVANCE_ALSO_SPRACH_03_NO_04	勝利条件：『ボタン』が『逃走経路』に到達<br>敗北条件：『ボタン』(NPC)の死亡<br>『黒衣の男』は倒すことができないので注意しよう。
QE_EV_ADVANCE_ALSO_SPRACH_03_NO_05	敗北条件：『ボタン』(NPC)の死亡<br>『ボタン』は敵を攻撃しないので注意しよう。
QE_EV_ADVANCE_ALSO_SPRACH_03_NO_06	オートバトル、スキル使用不可。<br>『イカサ』は2回攻撃すると倒すことができるぞ。

QE_EV_TSP_EX_01	神鬼は非常に強力な回復スキルを使用してくるぞ。回復禁止効果に対する耐性が低いのでうまく使って対応しよう！<br>オークは味方のオークのHPを含める各ステータスをアップするサポートアビリティを持っている。倒す事で全体のオークのステータスが下がっていくので、1体ずつ確実に対処しよう！
QE_EV_TSP_EX_02	オークは味方のオークのHPを含める各ステータスをアップするサポートアビリティを持っている。倒す事で全体のオークのステータスが下がっていくので、1体ずつ確実に対処しよう！<br>マップ上に配置されているパネルは、乗る事で次の行動開始時に大きくジュエルを回復してくれるぞ。それぞれ1度しか効果が無いため、敵が使用する前に倒してしまおう！
QE_EV_TSP_EX_03	各敵ユニットは回避が高いユニットを優先的に狙ってくるぞ。<br>デビルは火属性以外のユニットに対して、必中の強力な攻撃を仕掛けてくるため、火属性のユニットを中心に編成するのがおすすめだ！
QE_EV_TSP_EX_SP_01	<有効な状態異常><br>全ユニット共通：睡眠、暗闇、クロックダウン、鈍足、憤怒、回復禁止
QE_EV_TSP_GET_ALOT	攻略のヒント：<br>・敵はパラメータをダウンさせるスキルを使う。
QE_EV_TSP_EX_04	攻略のヒント：<br>○『黒騎士』は《アルケミィクラッシュ》を付与するスキル『ソウルサクリファイス・クラッシュ』を主に使用するが、対象がクロックアップ状態の場合は『報復の刃・クロックアップ吸収』を使用することがある。<br>○『リザードマン』は毎ターンHPが完全回復し、自身が2回攻撃を受けると『ためる[3ターン物攻５倍]』を使用する。<br>○『グリーンリザード』のスキル『穿心の矢　弐式』は射程が長く「敵に防御無視の射撃攻撃&必中&浮遊特効&この攻撃でのリアクション無効」効果がある。
QE_MULTI_TSP_EX_04	攻略のヒント：<br>○『黒騎士』は《アルケミィクラッシュ》を付与するスキル『ソウルサクリファイス・クラッシュ』を主に使用するが、対象がクロックアップ状態の場合は『報復の刃・クロックアップ吸収』を使用することがある。<br>○『リザードマン』は毎ターンHPが完全回復し、自身が2回攻撃を受けると『ためる[3ターン物攻５倍]』を使用する。<br>○『グリーンリザード』のスキル『穿心の矢　弐式』は射程が長く「敵に防御無視の射撃攻撃&必中&浮遊特効&この攻撃でのリアクション無効」効果がある。
QE_EV_TSP_EX_05	攻略のヒント：<br>○『クスリバナ』は毎ターン、敵全体のHPを割合回復させる。<br>○『デビル』はジュエル自動回復状態となっており、ジュエルが150溜まると強力なスキルを使用する。
QE_MULTI_TSP_EX_05	攻略のヒント：<br>○『クスリバナ』は毎ターン、敵全体のHPを割合回復させる。<br>○『デビル』はジュエル自動回復状態となっており、ジュエルが150溜まると強力なスキルを使用する。
QE_EV_TSP_EX_06	攻略のヒント：<br>・『騎士団長』は、HPが1になったときに死の宣告効果のスキルをプレイヤーユニット全員へ使用する。<br>・『騎士団長』は致死ダメージを受けても生存する。
QE_MULTI_TSP_EX_06	攻略のヒント：<br>・『騎士団長』は、HPが1になったときに死の宣告効果のスキルをプレイヤーユニット全員へ使用する。<br>・『騎士団長』は致死ダメージを受けても生存する。
QE_EV_TSP_EX_07	攻略のヒント：<br>・このクエストでは『光の結界』が常時発動しており、「全ユニットの治癒力ダウン」・「光属性以外のユニットの全防御ダウンかつ消費ジュエル大幅増加」の効果がある。<br>・このクエストではパネルを置くことができない。
QE_MULTI_TSP_EX_07	攻略のヒント：<br>・このクエストでは『光の結界』が常時発動しており、「全ユニットの治癒力ダウン」・「光属性以外のユニットの全防御ダウンかつ消費ジュエル大幅増加」の効果がある。<br>・このクエストではパネルを置くことができない。
QE_EV_TSP_EX_SP2_01	攻略のヒント：<br>○『クスリバナ』はほとんどダメージを与えられず、他の敵を全て倒すと倒れる。毎ターン敵全体のHPを割合回復させ、攻撃するとリアクションで自身のCTをアップさせる。<br>○『黒騎士』は《アルケミィクラッシュ》を付与するスキル『ソウルサクリファイス・クラッシュ』を主に使用するが、対象がクロックアップ状態の場合は『報復の刃・クロックアップ吸収』を使用することがある。また状態異常『暗闇』になりにくい。<br>○『魔人兵・格闘型』は自身に物理ダメージを2ターンの間1回軽減する『物理バリア』と、1ターン自身の物攻を大幅に上げる『アタックチャージ』を使用して攻撃する。<br>○『魔人兵・魔法型』は自身に魔法ダメージを2ターンの間1回軽減する『魔法バリア』と、1ターン自身の魔攻を大幅に上げる『マジックチャージ』を使用して攻撃する。
QE_MULTI_TSP_EX_SP2_01	攻略のヒント：<br>○『クスリバナ』はほとんどダメージを与えられず、他の敵を全て倒すと倒れる。毎ターン敵全体のHPを割合回復させ、攻撃するとリアクションで自身のCTをアップさせる。<br>○『黒騎士』は《アルケミィクラッシュ》を付与するスキル『ソウルサクリファイス・クラッシュ』を主に使用するが、対象がクロックアップ状態の場合は『報復の刃・クロックアップ吸収』を使用することがある。また状態異常『暗闇』になりにくい。<br>○『魔人兵・格闘型』は自身に物理ダメージを2ターンの間1回軽減する『物理バリア』と、1ターン自身の物攻を大幅に上げる『アタックチャージ』を使用して攻撃する。<br>○『魔人兵・魔法型』は自身に魔法ダメージを2ターンの間1回軽減する『魔法バリア』と、1ターン自身の魔攻を大幅に上げる『マジックチャージ』を使用して攻撃する。

QE_EV_TEN_COMMAND	ヒント：<br>このクエストでは、十戒衆ユニットに対する被ダメージが軽減される。<br>■『ディアブロ』は魔法攻撃に対して強く、6回の物理完全防御バリアを張るため、連撃数が多い物理攻撃スキルで対処しよう。<br>■『デビル』はジュエル自動回復状態となっており、ジュエルが150溜まると強力なスキルを使用してくるため注意！数は多いが、特定属性の耐性が極めて低く、HPも低いため、広範囲攻撃で一掃しよう！<br>■『魔人』はHPが高く、さらに毎ターンHPを大量に回復するため、状態異常の回復無効などで対処しよう。<br>■『反撃秘石』は物理攻撃に対して強力な反撃をするため、スキルの巻き込みに注意しよう！<br><br>コンティニュー不可。

QE_EV_ADVANCE_TSP_01_NO_01_02	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)
QE_EV_ADVANCE_TSP_01_NO_02	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)
QE_EV_ADVANCE_TSP_01_NO_02_02	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)
QE_EV_ADVANCE_TSP_01_NO_03	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)
QE_EV_ADVANCE_TSP_01_NO_03_02	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)
QE_EV_ADVANCE_TSP_01_NO_04	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)
QE_EV_ADVANCE_TSP_01_NO_04_02	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)
QE_EV_ADVANCE_TSP_01_NO_05	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)
QE_EV_ADVANCE_TSP_01_HA_01	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)
QE_EV_ADVANCE_TSP_01_HA_02	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)
QE_EV_ADVANCE_TSP_01_HA_03	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)
QE_EV_ADVANCE_TSP_01_HA_04	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)
QE_EV_ADVANCE_TSP_01_HA_05	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)
QE_EV_ADVANCE_TSP_01_HA_06	-<br>【強制出撃】<br>ユニット：リムル＝テンペスト(スライムver)

QE_EV_TSP_RANKQUEST_LV_01	全ての敵ユニット：<br><有効な状態異常><br>リムル=テンペスト（スライムver）：暗闇、沈黙、移動禁止、補助行動禁止<br>ミリム・ナーヴァ：暗闇、補助行動禁止、回復無効<br>ベニマル：鈍足、回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_02	全ての敵ユニット：<br><有効な状態異常><br>リムル=テンペスト（スライムver）：暗闇、沈黙、移動禁止、補助行動禁止<br>ミリム・ナーヴァ：暗闇、補助行動禁止、回復無効<br>ベニマル：鈍足、回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_03	全ての敵ユニット：<br><有効な状態異常><br>リムル=テンペスト（スライムver）：暗闇、沈黙、移動禁止、補助行動禁止<br>ミリム・ナーヴァ：暗闇、補助行動禁止、回復無効<br>ベニマル：鈍足、回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_04	全ての敵ユニット：<br><有効な状態異常><br>リムル=テンペスト（スライムver）：暗闇、沈黙、移動禁止、補助行動禁止<br>ミリム・ナーヴァ：暗闇、補助行動禁止、回復無効<br>ベニマル：鈍足、回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_05	全ての敵ユニット：<br><有効な状態異常><br>リムル=テンペスト（スライムver）：暗闇、沈黙、移動禁止、補助行動禁止<br>ミリム・ナーヴァ：暗闇、補助行動禁止、回復無効<br>ベニマル：鈍足、回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_06	全ての敵ユニット：<br><有効な状態異常><br>リムル=テンペスト（スライムver）：暗闇、沈黙、移動禁止、補助行動禁止<br>ミリム・ナーヴァ：暗闇、補助行動禁止、回復無効<br>シズ：回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_07	全ての敵ユニット：<br><有効な状態異常><br>リムル=テンペスト（スライムver）：暗闇、沈黙、移動禁止、補助行動禁止<br>ミリム・ナーヴァ：暗闇、補助行動禁止、回復無効<br>シズ：回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_08	全ての敵ユニット：<br><有効な状態異常><br>リムル=テンペスト（スライムver）：暗闇、沈黙、移動禁止、補助行動禁止<br>ミリム・ナーヴァ：暗闇、補助行動禁止、回復無効<br>シズ：回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_09	全ての敵ユニット：<br><有効な状態異常><br>リムル=テンペスト（スライムver）：暗闇、沈黙、移動禁止、補助行動禁止<br>ミリム・ナーヴァ：暗闇、補助行動禁止、回復無効<br>シズ：回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_10	全ての敵ユニット：<br><有効な状態異常><br>リムル=テンペスト（スライムver）：暗闇、沈黙、移動禁止、補助行動禁止<br>ミリム・ナーヴァ：暗闇、補助行動禁止、回復無効<br>シズ：回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_11	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さ・運デバフ軽減50%<br>CTダウン無効<br>攻略のヒント：<br>■このバトルでは、プレイヤーユニット全員に対し『バフ効果ターン-1』『CT増加無効』の効果がある。<br>■<br><有効な状態異常><br>リムル=テンペスト：沈黙、回復無効<br>ディアブロ：移動禁止、回復無効<br>ベニマル：鈍足、回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_12	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さ・運デバフ軽減50%<br>CTダウン無効<br>攻略のヒント：<br>■このバトルでは、プレイヤーユニット全員に対し『バフ効果ターン-1』『CT増加無効』の効果がある。<br>■<br><有効な状態異常><br>リムル=テンペスト：沈黙、回復無効<br>ディアブロ：移動禁止、回復無効<br>ベニマル：鈍足、回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_13	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さ・運デバフ軽減50%<br>CTダウン無効<br>攻略のヒント：<br>■このバトルでは、プレイヤーユニット全員に対し『バフ効果ターン-1』『CT増加無効』の効果がある。<br>■<br><有効な状態異常><br>リムル=テンペスト：沈黙、回復無効<br>ディアブロ：移動禁止、回復無効<br>ベニマル：鈍足、回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_14	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さ・運デバフ軽減50%<br>CTダウン無効<br>攻略のヒント：<br>■このバトルでは、プレイヤーユニット全員に対し『バフ効果ターン-1』『CT増加無効』の効果がある。<br>■<br><有効な状態異常><br>リムル=テンペスト：沈黙、回復無効<br>ディアブロ：移動禁止、回復無効<br>ベニマル：鈍足、回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_15	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さ・運デバフ軽減50%<br>CTダウン無効<br>攻略のヒント：<br>■このバトルでは、プレイヤーユニット全員に対し『バフ効果ターン-1』『CT増加無効』の効果がある。<br>■<br><有効な状態異常><br>リムル=テンペスト：沈黙、回復無効<br>ディアブロ：移動禁止、回復無効<br>ベニマル：鈍足、回復無効<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_16	攻略のヒント：<br>・『ミリム・ナーヴァ』は「攻撃時に素早さ・クリティカル率・ジュエル自動回復アップ」のサポートアビリティを持っている。<br>・『ディアブロ』は出現時に、永続で自身に叛逆効果を付与する。<br>・『ベニマル』は常時、リアクションアビリティ『鬼緋返し』を強化した状態となっている。<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_17	攻略のヒント：<br>・『リムル＝テンペスト』は出現時に「3ターンマップ全域の味方に1回ダメージを大幅に軽減するシールドを張る(行動時にシールドは復活)」の効果があるスキルを使用する。<br>・『ミリム・ナーヴァ』は「攻撃時に素早さ・クリティカル率・ジュエル自動回復アップ」のサポートアビリティを持っている。<br>・『ディアブロ』は出現時に、永続で自身に叛逆効果を付与する。<br>・『ベニマル』は常時、リアクションアビリティ『鬼緋返し』を強化した状態となっている。<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_18	攻略のヒント：<br>・『ミリム・ナーヴァ』は「攻撃時に素早さ・クリティカル率・ジュエル自動回復アップ」のサポートアビリティを持っている。<br>・『ディアブロ』は出現時に、永続で自身に叛逆効果を付与する。<br>・『ベニマル』は常時、リアクションアビリティ『鬼緋返し』を強化した状態となっている。<br>・『ヴェルドラ＝テンペスト』は『リムル＝テンペスト（スライムver）』を倒さない限り復活する。また出現時に「2ターンマップ全域の味方に1回までダメージを半減するシールドを張る」の効果があるスキルを使用する。<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
QE_EV_TSP_RANKQUEST_LV_19	攻略のヒント：<br>・『リムル＝テンペスト』は出現時に「3ターンマップ全域の味方に1回ダメージを大幅に軽減するシールドを張る(行動時にシールドは復活)」の効果があるスキルを使用する。<br>・『ミリム・ナーヴァ』は「攻撃時に素早さ・クリティカル率・ジュエル自動回復アップ」のサポートアビリティを持っている。<br>・『ディアブロ』は出現時に、永続で自身に叛逆効果を付与する。<br>・『ベニマル』は常時、リアクションアビリティ『鬼緋返し』を強化した状態となっている。<br>・『ヴェルドラ＝テンペスト』は『リムル＝テンペスト』を倒さない限り復活する。<br>・『ヒナタ・サカグチ』は出現時に「3ターンマップ全域の光属性以外の敵の光属性耐性大幅ダウンかつ移動力-1&CTアップ・クロックアップ効果無効」の効果があるスキルを使用する。<br><br>マップ効果：プレイヤー側の転スラコラボユニットに「全攻撃大幅アップ&単体攻撃耐性・範囲攻撃耐性・命中率・回避率アップ」
