JB_BGM_0003_TITLE	分別なき欲望
JB_BGM_0035_COMPOSER	下村陽子
JB_BGM_0035_SITUATION	「悲しみ」をイメージしたBGM
JB_BGM_0036_TITLE	制御者なき混乱
JB_BGM_0036_TITLE_EN	Unbridled Chaos
JB_BGM_0036_COMPOSER	下村陽子
JB_BGM_0036_SITUATION	「緊張」をイメージしたBGM
JB_BGM_0037_TITLE	どうしてそうなるの！？
JB_BGM_0037_TITLE_EN	But Why?!
JB_BGM_0037_COMPOSER	下村陽子
JB_BGM_0037_SITUATION	「コミカル」をイメージしたBGM
JB_BGM_0038_TITLE	豊穣の道を進みて
JB_BGM_0038_TITLE_EN	Trails of Fertile
JB_BGM_0038_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0038_SITUATION	「森山草原」をイメージしたBGM
JB_BGM_0039_TITLE	太陽神と黄金の鍵　～心、さざ波立って～
JB_BGM_0039_TITLE_EN	The Sun God and the Golden Key - Ripples Rise in a Heart
JB_BGM_0039_COMPOSER	林茂樹
JB_BGM_0039_SITUATION	2017年　3タイトルコラボ『誰ガ為に姫は無く』イベントBGM
JB_BGM_0040_TITLE	久遠の森
JB_BGM_0040_TITLE_EN	Forest of Eternity
JB_BGM_0040_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0040_SITUATION	アルバ　キャラクタークエストBGM
JB_BGM_0041_TITLE	光芒に包まれて
JB_BGM_0041_TITLE_EN	The Fulfill with Hope
JB_BGM_0041_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0041_SITUATION	「希望」をイメージしたBGM
JB_BGM_0042_TITLE	その意志は未来に繋がる music box ver.
JB_BGM_0042_TITLE_EN	Determination Toward the Future～music box ver.
JB_BGM_0042_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0042_SITUATION	『その意志は未来に繋がる』オルゴールアレンジBGM
JB_BGM_0045_TITLE	時の移ろい
JB_BGM_0045_TITLE_EN	Time Flows
JB_BGM_0045_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0045_SITUATION	会話パートBGM
JB_BGM_0046_TITLE	そこにある岐路
JB_BGM_0046_TITLE_EN	You have to Choice
JB_BGM_0046_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0046_SITUATION	会話パートBGM
JB_BGM_0100_TITLE	少女とはじける水しぶき
JB_BGM_0100_TITLE_EN	Splish Splash Girls
JB_BGM_0100_COMPOSER	林茂樹
JB_BGM_0100_SITUATION	夏イベント『荒ぶる海の漢』『荒ぶる海の漢　猛装伝』海ステージBGM
JB_BGM_0101_TITLE	荒ぶる漢たちの海
JB_BGM_0101_TITLE_EN	Wet n Wild Guys
JB_BGM_0101_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0101_SITUATION	夏イベント『荒ぶる海の漢』『荒ぶる海の漢　猛装伝』海賊ステージBGM
JB_BGM_0106_TITLE	パニックパーティ！
JB_BGM_0106_TITLE_EN	Panic Party!
JB_BGM_0106_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0106_SITUATION	ハロウィンイベントBGM『ハロウィン☆シュガーラッシュ』『チューチュー★ハロウィン』『Trick or Flower!!』『ハロウィン狂騒曲～紅と闇の輪舞～』
JB_BGM_0107_TITLE	サンタクロースは誰だ？
JB_BGM_0107_TITLE_EN	Who is Santa Claus?
JB_BGM_0107_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0107_SITUATION	クリスマスイベントBGM『クリスマス・タイム・イン・バベル』『A Snow White Christmas』『雪だるまから愛をこめて』『よいこのためのクリスマス計画』
JB_BGM_0110_TITLE	メリークリスマスマールダ
JB_BGM_0110_TITLE_EN	Merry Christmas Malda
JB_BGM_0110_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0110_SITUATION	2017年　クリスマスイベント『A Snow White Christmas』BGM
JB_BGM_0120_TITLE	均衡に咲く戦火
JB_BGM_0120_TITLE_EN	Hold the Sword
JB_BGM_0120_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0120_SITUATION	ランクマッチ　TOP画面BGM
JB_BGM_0121_TITLE	紫電閃く刻
JB_BGM_0121_TITLE_EN	Sword Force Ground
JB_BGM_0121_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0121_SITUATION	ランクマッチ　バトルBGM
JB_BGM_0125_TITLE	終わりなきブルース
JB_BGM_0125_TITLE_EN	Loose Velvet Smoke
JB_BGM_0125_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0125_SITUATION	『鋼鉄のウェディングロード』テーマBGM
JB_BGM_0126_TITLE	確乎不抜リスタート
JB_BGM_0126_TITLE_EN	Little Faith Again
JB_BGM_0126_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0126_SITUATION	『鋼鉄のウェディングロード』テーマBGM
JB_BGM_0133_TITLE	脅威を破る一手を
JB_BGM_0133_TITLE_EN	Defiance Unite
JB_BGM_0133_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0133_SITUATION	レイドTOP画面BGM
JB_BGM_0134_TITLE	荒ぶる脅威
JB_BGM_0134_TITLE_EN	Threat of Disaster
JB_BGM_0134_COMPOSER	櫻木咲子
JB_BGM_0134_SITUATION	レイドボスバトルBGM
JB_BGM_0135_TITLE	討ち果たすべき脅威
JB_BGM_0135_TITLE_EN	Threat of Exterminate
JB_BGM_0135_COMPOSER	櫻木咲子
JB_BGM_0135_SITUATION	エリアレイドボスバトル用BGM
JB_BGM_0137_TITLE	エンヴィリア管弦楽団　～行進～
JB_BGM_0137_TITLE_EN	Envylia Orchestra～March～
JB_BGM_0137_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0137_SITUATION	ベルタイベントBGM（少数編成時）
JB_BGM_0138_TITLE	エンヴィリア管弦楽団　～行進、号砲高らかに～
JB_BGM_0138_TITLE_EN	Envylia Orchestra～March and Signal Gun～
JB_BGM_0138_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0138_SITUATION	ベルタイベントBGM
JB_BGM_0139_TITLE	エンヴィリア管弦楽団　～全軍突撃～
JB_BGM_0139_TITLE_EN	Envylia Orchestra～Whole army assault～
JB_BGM_0139_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0139_SITUATION	ベルタイベント　クエスト用BGM
JB_BGM_0152_TITLE	朝凪に包まれて
JB_BGM_0152_TITLE_EN	Morning Calm
JB_BGM_0152_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0152_SITUATION	会話パート・イベントTOP画面・クエストBGM
JB_BGM_1000_TITLE	Fateful Battle
JB_BGM_1000_TITLE_EN	Fateful Battle
JB_BGM_1000_COMPOSER	土屋昇平
JB_BGM_1000_SITUATION	『ファントム・オブ・キル』コラボイベントBGM
JB_BGM_1063_TITLE	白き正義の行進
JB_BGM_1063_TITLE_EN	shirokiseiginokoushin
JB_BGM_1063_COMPOSER	柏木佑（G-ROW AUDIO）
JB_BGM_1063_SITUATION	『ファントム・オブ・キル』コラボ　エンシェントキラーズテーマBGM
JB_BGM_1069_TITLE	世界樹の神徒
JB_BGM_1069_TITLE_EN	sekaijyunoshinto
JB_BGM_1069_COMPOSER	柏木佑（G-ROW AUDIO）
JB_BGM_1069_SITUATION	『ファントム・オブ・キル』コラボ
JB_BGM_1070_TITLE	Over edge
JB_BGM_1070_TITLE_EN	Over edge
JB_BGM_1070_COMPOSER	柏木佑（G-ROW AUDIO）
JB_BGM_1070_SITUATION	『ファントム・オブ・キル』コラボ
JB_BGM_1074_TITLE	Never Say Never
JB_BGM_1074_TITLE_EN	Never Say Never
JB_BGM_1074_COMPOSER	大塚政徳（G-ROW AUDIO）
JB_BGM_1074_SITUATION	『ファントム・オブ・キル』コラボ
JB_BGM_1010_TITLE	誰ガ為に姫は泣く　～記憶の欠片～
JB_BGM_1010_TITLE_EN	For Whom the Princess Weeps - Fragments of Memory
JB_BGM_1010_COMPOSER	林茂樹
JB_BGM_1010_SITUATION	3タイトルコラボ『誰ガ為に姫は泣く』通常バトルBGM
JB_BGM_1011_TITLE	誰ガ為に姫は泣く　～記憶の旅路～
JB_BGM_1011_TITLE_EN	For Whom the Princess Weeps - Journey of Memory
JB_BGM_1011_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_1011_SITUATION	3タイトルコラボ『誰ガ為に姫は泣く』ボスバトルBGM
JB_BGM_1012_TITLE	空を覆う哀しみ
JB_BGM_1012_TITLE_EN	Sky Sheathed in Sorrow
JB_BGM_1012_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_1012_SITUATION	3タイトルコラボ『誰ガ為に姫は泣く』独白シーンBGM
JB_BGM_1013_TITLE	その意志は未来に繋がる
JB_BGM_1013_TITLE_EN	Determination Toward the Future
JB_BGM_1013_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_1013_SITUATION	3タイトルコラボ『誰ガ為に姫は泣く』独白シーンBGM
JB_BGM_1028_TITLE	太陽神と黄金の鍵　～激しく、眩しく、艶やかに～
JB_BGM_1028_TITLE_EN	The Sun God and the Golden Key
JB_BGM_1028_COMPOSER	林茂樹
JB_BGM_1028_SITUATION	2017年　3タイトルコラボ『誰ガ為に姫は無く』イベントBGM
JB_BGM_1041_TITLE	氷刃告げる刻
JB_BGM_1041_TITLE_EN	hyoujintsugerutoki
JB_BGM_1041_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_1041_SITUATION	2019年　3タイトルコラボ『誰かの姫など忍びない』テーマ/ストーリーBGM
JB_BGM_1042_TITLE	暗闇に光る意志
JB_BGM_1042_TITLE_EN	kurayaminihikaruishi
JB_BGM_1042_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_1042_SITUATION	2019年　3タイトルコラボ『誰かの姫など忍びない』通常バトルBGM
JB_BGM_1044_TITLE	ちんぷんかんぷん！
JB_BGM_1044_TITLE_EN	Double Dutch
JB_BGM_1044_COMPOSER	林茂樹
JB_BGM_1044_SITUATION	2019年　3タイトルコラボ『誰かの姫など忍びない』イベントBGM
JB_BGM_1045_TITLE	ハイテンション！
JB_BGM_1045_TITLE_EN	Excited!
JB_BGM_1045_COMPOSER	林茂樹
JB_BGM_1045_SITUATION	2019年　3タイトルコラボ『誰かの姫など忍びない』イベントBGM
JB_BGM_1053_TITLE	絢爛に幕は開き
JB_BGM_1053_TITLE_EN	Battle Begins Dazzlingly
JB_BGM_1053_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_1053_SITUATION	舞台版誰ガ為のアルケミスト聖ガ剣、十ノ戒特別クエスト1BGM
JB_BGM_1054_TITLE	それぞれの正義を抱いて
JB_BGM_1054_TITLE_EN	Believe in Justice Respectively
JB_BGM_1054_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_1054_SITUATION	舞台版誰ガ為のアルケミスト聖ガ剣、十ノ戒特別クエスト2BGM
JB_BGM_1056_TITLE	水面ニ揺ラグ光
JB_BGM_1056_TITLE_EN	Lights of Waver on the Water
JB_BGM_1056_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_1056_SITUATION	舞台再現クエストメインテーマ
JB_BGM_1057_TITLE	謀略は暗転中にて
JB_BGM_1057_TITLE_EN	The Plot in the Dark
JB_BGM_1057_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_1057_SITUATION	舞台再現クエスト専用バトル
JB_BGM_1058_TITLE	交錯する、光と陰
JB_BGM_1058_TITLE_EN	Crossing of Light and Darkness
JB_BGM_1058_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_1058_SITUATION	舞台再現クエストものものしい汎用曲
JB_BGM_1059_TITLE	秩序たる白光
JB_BGM_1059_TITLE_EN	Disciplined Bright Light
JB_BGM_1059_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_1059_SITUATION	舞台再現クエストバベル聖教会
JB_BGM_1060_TITLE	真実隠す、偽りの光
JB_BGM_1060_TITLE_EN	Hidden Truth in the Fake Light
JB_BGM_1060_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_1060_SITUATION	舞台再現クエストワギナオテーマ
JB_BGM_1071_TITLE	借りてきた猫とは無縁な奴ら
JB_BGM_1071_TITLE_EN	It's Quite Lively Today
JB_BGM_1071_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_1071_SITUATION	銀魂コラボ
JB_BGM_1072_TITLE	愛憎の結実
JB_BGM_1072_TITLE_EN	Negative Empathy
JB_BGM_1072_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_1072_SITUATION	呪術廻戦コラボ
JB_BGM_0001_TITLE	誰ガ為のアルケミスト
JB_BGM_0001_TITLE_EN	For Whom the Alchemist Exists
JB_BGM_0001_COMPOSER	下村陽子
JB_BGM_0001_SITUATION	オープニングBGM
JB_BGM_0002_TITLE	誰ガ為のアルケミスト piano ver.
JB_BGM_0002_TITLE_EN	For Whom the Alchemist Exists Piano Ver.
JB_BGM_0002_COMPOSER	下村陽子
JB_BGM_0002_SITUATION	タイトルBGM
JB_BGM_0004_TITLE	バベル大陸にて
JB_BGM_0004_TITLE_EN	Babel Continent
JB_BGM_0004_COMPOSER	下村陽子
JB_BGM_0004_SITUATION	クエスト選択画面BGM
JB_BGM_0005_TITLE	馴染みの酒場
JB_BGM_0005_TITLE_EN	Our Tavern
JB_BGM_0005_COMPOSER	下村陽子
JB_BGM_0005_SITUATION	マルチ（レイド・PvP）画面BGM
JB_BGM_0006_TITLE	凱旋
JB_BGM_0006_TITLE_EN	Triumphant Return
JB_BGM_0006_COMPOSER	下村陽子
JB_BGM_0006_SITUATION	クエスト　リザルト画面BGM
JB_BGM_0007_TITLE	己が願いを貫く為に
JB_BGM_0007_TITLE_EN	Battle for My Desires
JB_BGM_0007_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0007_SITUATION	マルチプレイ（協力バトル）BGM
JB_BGM_0008_TITLE	聖戦
JB_BGM_0008_TITLE_EN	Holy War
JB_BGM_0008_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0008_SITUATION	ドラフトマッチ　ユニット選択画面BGM
JB_BGM_0115_TITLE	錬金術師たちの福音
JB_BGM_0115_TITLE_EN	Alchemist Parade
JB_BGM_0115_COMPOSER	林茂樹
JB_BGM_0115_SITUATION	2周年　ホームBGM
JB_BGM_0116_TITLE	やわらかな記憶
JB_BGM_0116_TITLE_EN	Recollection
JB_BGM_0116_COMPOSER	田中慎哉（G-ROW AUDIO）
JB_BGM_0116_SITUATION	ギャラリー　メインBGM
JB_BGM_0117_TITLE	業《カルマ》
JB_BGM_0117_TITLE_EN	Karma
JB_BGM_0117_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0117_SITUATION	異層圏カルマ　TOP画面BGM
JB_BGM_0122_TITLE	天命に翻すは反旗
JB_BGM_0122_TITLE_EN	Rise in Rebellion
JB_BGM_0122_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0122_SITUATION	異層圏カルマ　バトルBGM
JB_BGM_0142_TITLE	アルケミスト・ファンタジア！
JB_BGM_0142_TITLE_EN	Alchemist Fantasia!
JB_BGM_0142_COMPOSER	下村陽子
JB_BGM_0142_SITUATION	3周年　ホームBGM・劇場版　連動ホーム画面BGM
JB_BGM_0164_TITLE	ポート・クライシス
JB_BGM_0164_TITLE_EN	Defeat Threat with the Port
JB_BGM_0164_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0164_SITUATION	アルケミィポートレイドクエスト　ボスTOP画面BGM
JB_BGM_0204_TITLE	抜き放つ意志は銀の刃
JB_BGM_0204_TITLE_EN	The Silver Blade of a Will
JB_BGM_0204_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0204_SITUATION	汎用　バトルBGM
JB_BGM_0205_TITLE	たとえ悲願に殉ずるとも
JB_BGM_0205_TITLE_EN	Even if I am a martyr
JB_BGM_0205_COMPOSER	半沢紀雄（G-ROW AUDIO）
JB_BGM_0205_SITUATION	汎用　バトルBGM
