CARD_001_FLAVOR	俺もああなりたいなあ
TS_WRATH_MAGNUS_02_FLAVOR	飲もうぜと誘ったら、トランプが差し出された。酒も断られると思ったのに、楽しく遊ぼうとは予想外。俺はルストブルグ出身のトラブルメーカーだってのに。<br><br>「…ックク。アンタ、ジョーカー掴まされても気にしないタイプか？」<br><br>故郷で見てきた俺を探るような目ではない、適当に気軽に遠慮のない瞳。そんな奴とのトランプが俺の日常だった。<br>（ヴィルヘルムの思い出語り）
TS_LUST_ROFIA_01_FLAVOR	私の中の“何か”が叫んでいる。<br>この法衣の封印を解いて世界を守れと。<br><br>「…もう、前の生活には戻れなくても」<br><br>世界は私に甘いと思っていた。でもそれはあくまで一部でしかなかった。本の形で私に届いた世界の真実は、凍えるほど暗い。独りで戦える自信もあまりない。<br>でも、自分の中で燃えるこの“決意”があるから、私は大切な世界を守る。<br>（ロフィアの二度目の決意）
TS_SLOTH_KURAJU_01_FLAVOR	銃の大会で世界一になった、大好きな私のお父さんには、誰もが憧れる。<br>ある日は、最近有名になってきているっていう傭兵がお父さんに握手を求めていた。<br><br>「お父さん、かっこいいな…」<br><br>銃だけ置いていなくなった、大好きな私のお父さん。今度は私が腕を磨いて、有名になる。<br>だから、そしたら見つけてね、お父さん。<br>（クラージュの決心）
TS_CARAMEL_01_FLAVOR	きっぷの良い女主人は微笑みながら、私の前にグラスを静かに差し出した。<br><br>「冷えただろう？　こいつを飲めば、氷点下の空だって飛べるって噂だよ」<br><br>キャラメルイェーガー。エンヴィリアではあまりお目にかかれない飲み物。私は軽く口に含み、強いアルコールとその甘味に軽い目眩を覚えた。<br>（ミルック・ランガム『ルストブルグ探訪記用の取材メモ』より）
TS_WRATH_KLIMA_01_FLAVOR	クリスマス、雪降って、よかった。<br>幻影兵になる前から使ってた魔導具も、なんだか今日はいい調子…かも。力、落ち着いてる。待ち望んだ日にマールダ族の子と、一緒に楽しく雪だるま作り。<br><br>「そろそろパーティ始めますよー！」<br><br>キャロルにうなずいて、マールダ族の子をつれて歩き出す。まだまだ、クリスマスはこれから…だよ。<br>（クリーマのひとりごと）
TS_LUST_LAVINA_01_FLAVOR	凍りついたぼくの世界と心を溶かしてくれたのは、甘くて、優しい人たち。<br><br>「…笑った。ねえミハエル、ラヴィーナが笑ってくれた…！」<br><br>お菓子箱を受け取ったぼくより、もっと嬉しそうにロフィアさんが声をあげた。甘いお菓子と、ロフィアさんからのメッセージ、それとこの瞬間。全部しまっておきたい、ぼくの大切な宝物。<br>（お菓子箱に隠したラヴィーナのメモ）
TS_SAGA_BIRGITTA_01_FLAVOR	シュトーレン、煮込み料理、ゴシックなケーキ、ハートサラダにチーズドッグ、おにぎりとプレゼントの小箱まで…。<br>クリスマスの経験がないあたしに、幻影兵のみんなはとびきりの時間をくれた。<br><br>「賑やかで心踊るお祭りだねぇ…」<br><br>あたしが作ったクリスマスの髪飾りも喜んでくれたし、子供だけでなく大人も垣根なく楽しめる、いい文化なんだね。<br>（ビルギッタからの感謝）
TS_GREED_ORION_01_FLAVOR	粗暴に見えて緻密。その野心が力だけでは為しえないことを知っている。認めよう、この方は覇を持って進める方だと。<br><br>「クウザ、私についてくるがいい。見たことのない景色を見せてやろう」<br><br>我が上に人はおらずとうそぶいていた過去が懐かしい。組み上げた戦術展開書を同じ目線で語れる主。獅子王が覇業、この手で実現させてみるとしようか。<br>（クウザ『私本年代記「序章」』より）
TS_NORTH_RAKINA_01_FLAVOR	ロードマスターの指令、第七騎士団団長の徽章。それはそれで重たかったけど、私の思いにはあまり関係なかった。<br><br>「ねえ、わたしの声が聞こえる？　これからはずっと一緒…これも運命かな？」<br><br>“傲慢”の力が恐ろしいと思うより先にわたしは受け入れた。この隔絶された世界を、その役割を。父の守ったこの国、この世界をわたしが守る。その祈り。<br>（隔絶された世界でのラキナの呟き）
TS_LUST_OTHIMA_01_FLAVOR	カグラ団長が言っていたワダツミ式の新年の祝祭。<br>こういう格好も、こういう祝いも悪くない。<br>みんな変わらないから。<br><br>「モンゼイン団長！またそんな飲み方して！それお神酒ですよ！」<br><br>この空気が心地いい。<br>だからともにある時間を楽しむ。<br>この時がいつまでも続くように酒盃に願う。<br>さて、今年も元気に行きますかぁ。<br>（オーティマの独り言）
TS_FA_01_FLAVOR	黒闇に愚かな人間を嘲笑する声が響く。声の主は錬金術により生まれた人ならざる者たち。エドワードの研究手帳にも記されてはいない謎の存在。<br><br>「約束の日まで、<br>おとなしくしていてもらいますよ」<br><br>彼らは“お父様”の悲願を叶える為、進み続ける。彼らを生み出した“お父様”の計画の障害をただ排除し続ける。約束の日を迎えるその日まで。
TS_NORTH_TORITOH_01_FLAVOR	髪飾りに雫が落ちる。この髪飾りは花模様だけど、それに水は不要だとか、余計なことを考えていたかもしれない。<br><br>「…ありがとう。あなたたちと過ごした時間が、私は好きだ」<br><br>私の時間はもう、きっとここから動きはしない。でも、きちんとあの人と世界を想えるようになった。<br>そんな私を呼ぶ、光の音が聞こえた…。<br>（トリトーの浅い夢）
TS_TAGATAMECUP_01_FLAVOR	「小難しく考えるな。次元を超えた力をただ見せつけてやればいいんだ」<br><br>弱き者は消え去り、強き者だけが生き残る。弱肉強食の世界における戦いの鉄則は、他者の言葉を待つまでもない。<br>召喚されし幻影兵は誰か。勝負のその時に時の歯車は動き出す。<br>ただ己の錬金術の結晶を信じ、頂を目指して猛者たちが集う。<br>“タガタメカップ”の幕が上がる。勝利の栄冠を手にする者は一体…。
TS_FA_02_FLAVOR	今思えば、落書きのような錬成陣、ブリキの馬、賑やかな食卓…母親と過ごした日々。その幸せな時間を取り戻したいという幼き日の願いが悲劇を生んだ。<br><br>「もう後戻りできねえな……」<br><br>幸せの幻想は瞬く間に消え去った。純粋な願いにより支払った代償は、今も兄弟を蝕むが嘆いても救いは訪れない。ふたりは覚悟を胸に真理を追い求める。<br>すべては、交わした約束を果たす為に。
TS_WADA_KAGURA_01_FLAVOR	こんなふうにワダツミに初詣に来る日が訪れるなんて思いもしなかった。<br>自分で戒めていたのか、ただそんな気になれなかったのかは自分でも不明瞭。<br><br>「あ、ああ…、ゆ、雪降ってるし…」<br><br>かじかんだ指先がなぜか温かくなっていく。<br>不思議な人。<br>頼りないのに、すごく頼りになる。<br>カノンに伝えたいな、この人がくれた髪飾りのこと、私の想い。<br>（カグラの日記「初詣」のページより）
TS_2019_ANNIVERSARY_01_FLAVOR	タガタメ３周年おめでとうございます！<br>長い間、素敵な世界観を作り上げる仕事に携われてとても嬉しいです。これからもタガタメを何卒よろしくお願いいたします。<br>ひとりだったミズチに、寄り添える人がいてくれて本当によかったなあ…。<br><br>ILLUST:みかんあめ
TS_2019_ANNIVERSARY_02_FLAVOR	祝タガタメ３周年！　いつも育てて遊んでくださりありがとうございます！<br>パーティーの後の２次会はパメラの部屋に集合かな？<br>たくさんの人に、ハヤテやパメラを可愛がっていただけて嬉しいです！<br>これからもタガタメをよろしくお願いいたします！<br><br>ILLUST:ここあ
TS_2019_ANNIVERSARY_03_FLAVOR	タガタメ３周年おめでとうございます！あっという間に３年が過ぎて驚きです。<br>ユーザーの皆様のご愛顧あってのものと感じています。<br>これからもタガタメをよろしくお願いします。<br><br>ILLUST:大盛よしを
TS_2019_ANNIVERSARY_04_FLAVOR	タガタメ３周年おめでとうございます！<br>苦くて温かいお茶を飲みながら、今後も頑張りますのでよろしくお願いいたします！<br><br>ILLUST:トマル
TS_2019_ANNIVERSARY_05_FLAVOR	タガタメ３周年おめでとうございます!!<br>ここまで長く続けられたのも応援していただいたユーザーさんの声あってこそだと思います。<br>次の４周年に向けて今後ともよろしくお願いいたします！<br><br>ILLUST:ゆーぱ
TS_2019_ANNIVERSARY_06_FLAVOR	タガタメ３周年おめでとうございます!!<br>いつもタガタメを支えていただいているユーザーの皆様とともにここまで歩んでこられたこと誠に光栄に思います！<br>タガタメをもっと盛り上げられるよう今後も尽力いたします！　これからも何卒よろしくお願いいたします！<br><br>ILLUST:しぶ彦
TS_2019_ANNIVERSARY_07_FLAVOR	タガタメ３周年おめでとうございます!!<br>イラストチームの一員としてタガタメに携われていることが、とても嬉しく誇りに思います！<br>これからもよろしくお願いいたします！<br><br>ILLUST:FgG Art Team
TS_2019_ANNIVERSARY_08_FLAVOR	タガタメ３周年おめでとうございます！<br>これからもタガタメをよろしくお願いします！<br><br>ILLUST:FgG Art Team
TS_2019_ANNIVERSARY_09_FLAVOR	タガタメ３周年おめでとうございます！<br>そして、プレイしていただいているユーザーの皆様誠にありがとうございます!!<br>これからもタガタメを何卒よろしくお願いいたします!!<br><br>ILLUST:近藤
TS_2019_ANNIVERSARY_10_FLAVOR	タガタメ３周年おめでとうございます！<br>いつもプレイありがとうございます！<br>これからもタガタメをよろしくお願いいたします！<br><br>ILLUST:トルグーヨ
TS_2019_ANNIVERSARY_11_FLAVOR	タガタメ３周年おめでとうございます！<br>魅力的なキャラばかりなので、制作に関わることができとても嬉しいです！<br>今後とも、何卒よろしくお願いいたします！<br><br>ILLUST:あやっぺ隊長
TS_2019_ANNIVERSARY_12_FLAVOR	タガタメ３周年おめでとうございます！<br>そしてユーザーの皆様、プレイしていただきありがとうございます！<br>これからも皆様とともにタガタメを盛り上げていきたいと思います！　よろしくお願いいたします!!<br><br>ILLUST:城
TS_2019_ANNIVERSARY_13_FLAVOR	タガタメ３周年おめでとうございます！<br>杏虎太郎として様々なキャラクターを描くことができたのも、たくさん遊んでくださったユーザーの皆様のおかげだと心から感謝しております。まだまだこれからも色んなキャラクターを描いていきたいと思いますので、引き続きタガタメをよろしくお願いいたします！<br><br>ILLUST:杏虎太郎
TS_2019_ANNIVERSARY_14_FLAVOR	タガタメ３周年おめでとうございます！<br>タガタメをこれからもどうぞよろしくお願いいたします。<br><br>ILLUST:よしだ
TS_2019_ANNIVERSARY_15_FLAVOR	タガタメ３周年を迎えられたのも皆様のおかげです。いつもプレイありがとうございます！<br>これからも、どうぞよろしくお願いします！<br><br>ILLUST:香蕉
TS_2019_ANNIVERSARY_16_FLAVOR	タガタメ３周年おめでとうございます！<br>そしてユーザーの皆様、いつもゲームをプレイしていただき、ありがとうございます！<br>これからもタガタメの個性溢れるキャラクターたちをたくさん育てていただけますと幸いです！　引き続きタガタメをよろしくお願いいたします！<br><br>ILLUST:紺太
TS_2019_ANNIVERSARY_17_FLAVOR	タガタメ３周年おめでとうございます！<br>素敵な作品の節目に携われたこと、とても光栄に思っております。<br>またユーザー様方のお力もあっての３周年！　４周年に向けて今後ともタガタメをよろしくお願いいたします。<br><br>ILLUST:二色こぺ
TS_2019_ANNIVERSARY_18_FLAVOR	タガタメ３周年おめでとうございます！<br>色んな世界を描かせていただけてとてもありがたく思っています！<br>これからも皆様にタガタメを楽しんで旅していただけるよう、世界を紡いでいきたいと思います。よろしくお願いいたします！<br><br>ILLUST:おーた
TS_2019_ANNIVERSARY_19_FLAVOR	タガタメ３周年おめでとうございます！<br>いつもプレイしてくださり誠にありがとうございます!!　今後ともユーザー様と一緒に、タガタメをどんどん盛り上げていけたらと思いますので、何卒よろしくお願いいたします!!<br>イヴちゃんモアちゃん可愛い！<br><br>ILLUST:UESSA
TS_2019_ANNIVERSARY_20_FLAVOR	タガタメ３周年おめでとうございます！<br>ゲームをプレイしてくださりありがとうございます！<br>これからもよろしくお願いいたします！<br><br>ILLUST:丹
TS_2019_ANNIVERSARY_21_FLAVOR	タガタメ３周年おめでとうございます！<br>素敵なキャラクターたちを見られるだけではなく、関わることもできてとても嬉しいです!!　今後の盛り上がりも楽しみです！<br>これからもよろしくお願いいたします！<br><br>ILLUST:八塚スズメ
TS_2019_ANNIVERSARY_22_FLAVOR	タガタメ３周年おめでとうございます！<br>いつもプレイしていただきありがとうございます！<br>これからも何卒よろしくお願いいたします!!<br><br>ILLUST:清水
TS_2019_ANNIVERSARY_23_FLAVOR	タガタメ３周年おめでとうございます！<br>これまで、遊んでくださったユーザーの方々にとても感謝しております！<br>よりよい物を皆様に届けられるよう全力で取り組んでいきたいと思いますので、これからもよろしくお願いします！<br><br>ILLUST:黒木
TS_2019_ANNIVERSARY_24_FLAVOR	タガタメ３周年おめでとうございます!!<br>３・周・年!!　１年が３つ！　ここまでやってこられたのも皆さんが遊んでくれたおかげです！<br>４年目も楽しんでいただけるよう今後もタガタメをよろしくお願いします!!<br>Thank you!!<br><br>ILLUST:ななと
TS_2019_ANNIVERSARY_25_FLAVOR	３周年おめでとうございます！　色んなキャラクターを描かせていただいたこと嬉しく思います！<br>これからもタガタメを遊んでいただければとてもとても幸いです！<br><br>ILLUST:渡り棒
TS_2019_ANNIVERSARY_26_FLAVOR	タガタメ３周年おめでとうございます！<br>これまでたくさんのキャラクターを描かせていただけて感謝の気持ちでいっぱいです。<br>４年目も皆様に楽しんでいただけるような、魅力的な世界観やキャラクターを描いていけるよう頑張ります！<br><br>ILLUST:だーくろ
TS_2019_ANNIVERSARY_27_FLAVOR	タガタメ３周年おめでとうございます！<br>企画立ち上げから考えると約４年以上をタガタメとともに歩んできたことになります。その道中、様々な面で自身の成長に繋がる貴重な経験をさせていただきました。<br>これもひとえにタガタメをプレイしてくださる皆様のご愛顧のおかげです。ありがとうございます！次なる１年も更に楽しんでいただけるよう、スタッフ一同邁進して参ります！<br><br>ILLUST:RINZO
TS_2019_ANNIVERSARY_28_FLAVOR	タガタメ３周年おめでとうございます！<br>ライルさんとアンクさんは本当に素晴らしい！<br>もっともっと素敵なシナリオとキャラクターを楽しみにしてます！　よろしくお願いいたします！<br><br>ILLUST:LAN
TS_2019_ANNIVERSARY_29_FLAVOR	タガタメ３周年おめでとうございます!!<br>金髪の娘はいいですよ～。<br>今後ともよろしくお願いいたします！<br><br>ILLUST:かき
TS_2019_ANNIVERSARY_30_FLAVOR	タガタメ３周年！　おめでとうございます！<br>今年のお祝いイラストは、渡り棒さんのキャラに挑戦しました…！<br>ロフィアちゃんとヘイゼルちゃんを描かせていただきました★<br>これからも、ゲームと一緒に成長したいと思います！　よろしくお願いいたします！<br><br>ILLUST:イッコウ
TS_2019_ANNIVERSARY_31_FLAVOR	タガタメ３周年、おめでとう＆ありがとうございます！<br>お花が好きなプリシラさん、本当に可愛い！<br>今後ともよろしくお願いいたします！<br><br>ILLUST:KUBI
TS_2019_ANNIVERSARY_32_FLAVOR	タガタメ３周年おめでとうございます！<br><br>ILLUST:cola
TS_2019_ANNIVERSARY_33_FLAVOR	タガタメ３周年おめでとうございます！<br>パチパチパチ～。<br>ビルギッタを描かせていただきました。可愛いシャーマンと一緒に世界を見に行きましょう！<br><br>ILLUST:shiao
TS_2019_ANNIVERSARY_34_FLAVOR	素敵な作品に関わらせていただき大変光栄に思います。<br>いつもありがとうございます。<br>これからもよろしくお願いいたします！<br>タガタメ３周年おめでとうございます!!<br><br>ILLUST:TAKUMI
TS_2019_ANNIVERSARY_35_FLAVOR	タガタメ３周年おめでとうございます！<br><br>ILLUST:AMO
TS_2019_ANNIVERSARY_36_FLAVOR	タガタメ３周年、おめでとう＆ありがとうございます！<br><br>ILLUST:MIYA
TS_2019_ANNIVERSARY_37_FLAVOR	タガタメ３周年おめでとうございます！<br>動物好きなのでアルバと神獣の親子を描きました！<br><br>ILLUST:MANDY
TS_2019_ANNIVERSARY_38_FLAVOR	タガタメ３周年おめでとうございます!!<br>これからもよろしくお願いします。<br><br>ILLUST:MAI.E
TS_2019_ANNIVERSARY_39_FLAVOR	タガタメ３周年おめでとうございます！<br>gumi台湾イラストチームは、いつもFgGイラストチームのタガタメへのこだわりと愛を感じております。こんなに魂で精一杯制作しているゲームが、今後もっと世界に愛されますように！<br><br>ILLUST:HAN
TS_2019_ANNIVERSARY_40_FLAVOR	タガタメ３周年おめでとうございます！<br>これからもよろしくお願いします!!<br><br>ILLUST:Tony
TS_2019_ANNIVERSARY_41_FLAVOR	タガタメ３周年おめでとうございます！<br>これからもっとたくさんのプレイヤーに愛されますように！<br><br>ILLUST:Luna
TS_2019_ANNIVERSARY_42_FLAVOR	タガタメ３周年、おめでとう＆ありがとうございます！<br>これからも、どうぞよろしくお願いしますー！<br><br>ILLUST:IKU
TS_2019_ANNIVERSARY_43_FLAVOR	タガタメ３周年おめでとうございます！<br>よりよくなる将来が楽しみです。<br>今後ともよろしくお願いいたします！<br><br>ILLUST:NIL
TS_2019_ANNIVERSARY_44_FLAVOR	タガタメ３周年おめでとうございます！<br><br>ILLUST:Pe.chi
TS_2019_ANNIVERSARY_45_FLAVOR	タガタメ３周年！　おめでとうございます！ <br>素晴らしいゲームに参加できて嬉しく思います。 <br>これからも、よろしくお願いします！<br><br>ILLUST:ayi
TS_2019_ANNIVERSARY_46_FLAVOR	３周年おめでとうございます。<br><br>ILLUST:芳住和之
TS_2019_ANNIVERSARY_47_FLAVOR	タガタメ３周年おめでとうございます！<br>このように長く愛される作品に関わることができて、とても嬉しく思っております。<br>これからのより一層の発展、展開を楽しみにしています！<br><br>ILLUST:keypot
TS_2019_ANNIVERSARY_48_FLAVOR	３周年おめでとうございます。<br>これからもアミス・ジェイク・リッシュをよろしくお願いします！<br><br>ILLUST:4騎
TS_2019_ANNIVERSARY_49_FLAVOR	タガタメ３周年おめでとうございます！<br>ふたりをこれからもよろしくお願いいたします。<br><br>ILLUST:yuui
TS_2019_ANNIVERSARY_50_FLAVOR	３周年おめでとうございます！<br>たくさんの方に楽しんでいただいているタガタメで、好みの塊のような「ジャスティン」「ユート」を描かせていただけて嬉しく思います！<br>少しでも素敵なゲームの盛り上げに貢献できれば幸いです！<br><br>ILLUST:さいのすけ
TS_2019_ANNIVERSARY_51_FLAVOR	タガタメ３周年おめでとうございます！<br>久しぶりにエリザベスとミコトを描かせていただけて楽しかったです。<br>また１年１年、一緒に年を重ねていけたらと思います。これからもよろしくお願いいたします。<br><br>ILLUST:てもし
TS_LOST_THOL_01_FLAVOR	異層塔。この先にすべての答えがあるなどと思ってはいない。ただひとつの階段になる。それだけでいい。<br><br>「行くぞ。俺は空を手に入れる…」<br><br>十戒。これは俺が俺である為に、仲間とともに歩く為に決めたルール。俺の想いを知る必要などない。ただ俺の後についてくればいい。真理は俺の手で刻む。それが俺が、俺たちが生きる道だから。<br>（ソル『真理新書「太陽ノ篇」』より）
TS_TS_01_FLAVOR	王国の危機とあらば駆けつける、伝説の騎士団〈七つの大罪〉。かつて目にした悪相の指名手配書と異なり、実際の彼らは頼もしい英雄の顔つきをしている。<br><br>「諦めんな！<br>俺たち〈七つの大罪〉がいる限り！」<br><br>大罪人たちは平和を願い、王国を脅かす災いに臆せず立ち向かう。<br>富や名声には見向きもせず、騎士として己の信念を貫き通す為に。
TS_TS_02_FLAVOR	迫る脅威を迎え撃つは、正義の心を宿す大罪人たち。バロールの魔眼を手にする者が見れば、只ならぬ者が一堂に会していることは一目瞭然。とくに集団を先導する団長の実力に驚くことだろう。<br><br>「お前は俺の大切なもんを傷つけた。<br>それが…お前の罪だぜ」<br><br>憤怒の念が宿りし刃が一閃する。大切なものを守り抜く。堅く決意する彼の傍らには共に聖戦へ挑む仲間の姿があった。
TS_REALEVENT_04_FLAVOR	「３周年を迎えることができたのは誰のおかげかわかっているよな！」<br><br>Ｐの戒律を統べし太陽のような熱を受けても、ＤもＡＤもラットンも怯まない。ひとりの力ではなく全員で協力して、全力でふっくらとおもてなしをするのみ。全員の瞳に熱き焔が宿っていた。<br><br>※あくまでタガタメ運営のリアルイベント念装なので、タガタメの世界観、実在の人物の容姿とは関係はありません。
TS_TAGATAMEMOVIE_01_FLAVOR	見たことのない景色。聞いたこともない不思議な出来事。それが夢なのか、現実なのか、私にはわからない。<br><br>「自分に本当にそんな力があるのかわからないけど…わたしにできることがあるなら」<br><br>救ってと言われても、私にはその方法がわからない。でも、私にできることがこの世界にあるのなら、ここで立ち止まってなんていられないと思うから…。
TS_ENVYRIA_ZAYIN_02_FLAVOR	押し寄せる人の波を避け、人気のないバルコニーで息をつく。振り向けば、楽しそうに輝くたくさんの笑顔と、談笑する賑わい。いいパーティだと素直に思う。<br><br>「この景色を、ずっと見ていたいな…」<br><br>コートを彩る純白の花飾り。この花が意味する言葉は『笑顔』『願い』。花に誓おう。これからも笑顔に満ちた世界を守り続ける為に戦い続けることを。<br>（ザインの静かな宣誓）
TS_WADA_SETSUNA_02_FLAVOR	さっきまで帯飾りにじゃれついていた子犬が寝息を立てる。すると次は自分の番だと、もう１匹が身を乗り出す。<br>怯えさせないよう、そっと手を伸ばす。<br><br>「…あぁ。あたたかい」<br><br>見ないふりしていた記憶と一緒なんだ。<br>触れたらあたたかくて、やわらかなものと、きっとまた出会える…今はそんな未来を信じてみたいと思っている。<br>（真新しい日記の１ページ目）
TS_GREED_EMMEL_01_FLAVOR	風は、髪飾りを揺らすかのように時に優しく、大地を抉り取るかのように時に厳しい。常に表と裏の顔を持つ大自然に、人は抗うことなんてできない。<br><br>「それでもどうか…私の願いを…」<br><br>人の居場所と、愛する人たちを守る為、私は“浄化の器”として生きていく。たとえこのお役目が、自然の摂理に逆らうような罪深いことなのだとしても。<br>（エンメルの決意）
TS_GREED_KU_IENA_01_FLAVOR	叩く、磨く、研ぎ澄ます。<br>武器も人も、本質は同じだ。<br>恐らく、そんなことを思っているのは、俺とあそこの目立つ男だけだろうが。<br><br>「新しいものを敬遠するのは人の性だ。だが創造は、異端の中にこそ生まれる」<br><br>…まあ、そういうことだ。<br>常に、磨かなければならない。鍛冶の道具も、鉱物も、人も。<br>（イエナの焦げたメモの切れ端）
TS_WADA_SUZUKA_01_FLAVOR	壮絶な戦いだった。歪に変形したもの、岩のように硬いもの、ただの液体…。そこからただ一つだけが勝ち残った。<br><br>「スズカさんすごい！　それだけ想いの入ったチョコなら誰でも喜びますよ！」<br><br>そうか、これは人に渡す物であった。しかしせっかくの初陣の成果、助けてくれたみんなと確かめたい。長きに渡る“女子力”の道も、まだ終わりそうにない。<br>（スズカの女子力探求帳）
TS_WADA_ITSUKI_01_FLAVOR	黄百合の髪飾りを揺らしながら、イツキちゃんが激辛チョコを堪能している。少し味見したら、すごい辛かったのに…。<br><br>「でも、そういうのもあり…なのかも」<br><br>色んな人がいるように、色んなチョコがあっても楽しいかも。やっと出してくれたイツキちゃんの影のない笑顔をもっと見たいけど、あたしの視界が涙で霞む。<br>ああ、イツキちゃんってすごいなぁ…。<br>（イヴのチョコレシピに書かれたメモ）
TS_LOST_ACHAD_03_FLAVOR	愛用のマグカップに口をつけ、ほっと一息。どこまでも続く青は掴めそうなほど近いのに、なんだか物足りない。<br><br>「みんなと一緒に見たい空だな…なんて言ったらまたからかわれちゃうか…」<br><br>その呟きに答えるかのように小鳥たちが囀り、私のもとへ飛んでくる。愛らしい歌声は心地良い。気付かなかった。私、ひとりじゃなかったみたい。<br>（アハトのひとりごと） 

TS_SAGA_MOCA_01_FLAVOR	魂を分かつ片割れとの別れの時。自分の選んだ道に後悔はなくとも、時々顔を覗かせる不安が、手にした槍を震わせる。<br><br>「大丈夫。私たちには、手を差し伸べてくれる人がいるでしょう？」<br><br>タミスの手から、温かい想いが伝わる。<br>自分には友がいて、仲間がいて、帰りを待つ家族がいる。そうだ、前に進もう。早く“ただいま”と言えるように。<br>（旅立つモカが走り書きしたメモ）
TS_BF_01_FLAVOR	「私は涙も後悔も全部背負って進む」<br><br>大切な人との別離、自身の無力さによって生まれた深い悲しみ。それらすべてを力に変えて、ルナリスは前を見据える。<br>彼女の意志の強さを表すかのように、髪飾りが陽光を受け眩い輝きを放つ。<br>その輝きに負けぬ気高き意志を持つふたりの英雄も、己の戦いに挑もうとしていた。三者の目的は違えども、たとえ道が交わらずとも、彼らの胸には道を切り開かんとする同じ意志がある。
TS_GLUTTONY_JUURIA_01_FLAVOR	私にはエンメル様の願いを叶えることはできはしない。願いとはそういうものだと思うから。それでもふと微笑むことができる瞬間を、ささやかでも癒しを、<br><br>「これも私の願いなのですよ、エンメル」<br><br>里の為に穢れを祓い、いつの日か己の身をも代償として差し出す定め。斧を振るい、彼女の盾としかなれぬ身なれど、この想いは誰にも負けない純粋な一輪。<br>（ジューリアの想い）
TS_OTHER_WAGINAO_01_FLAVOR	なぜだろうか。心が安らぐ。<br>いや、俺はセフィラの里の戦士団の長。この子たちを強くする為の訓練。<br><br>「はははっ、きちんと構えて打ち込まないと意味がないぞ」<br><br>人には失ってはならない対象が存在するもの。たとえその為に自分がこの子たちをその盾とすると決断を下すとしても、この時間は嫌いじゃない。<br>（ワギナオの独白）
TS_ENVYRIA_GINO_01_FLAVOR	黙ってればかっこいいとジーノのことをイヴ殿が言ってたっけ。いつか素直に褒められる騎士になってくれるだろうか。<br><br>「なあ、あん…じゃない兄さん。こんな呑気にうろついてていいわけ？」<br><br>変化がないようで変化している。大人しく揃いのアクセを着けたのはモア殿のおかげかな。でも…まだ私の手のかかる弟でいて欲しい、なんてお前は怒るかな。<br>（フレイズの胸中）
TS_LUST_MORE_01_FLAVOR	なんでしょう、この緊張感。でもこのワクワクドキドキがたまらないんです。<br><br>「さあ、そこです！　もうひと押し！　ああ、じれったい…ここはワタシが…」<br><br>仲睦まじい男女。でも一手間違えるとすべては台無しに。ミトンにこもる力も強まる一方というものです。でも大丈夫、いざとなったらこの狂気のキューピッドの出番。すべてお任せください！<br>（モアのキューピッド日誌）
TS_WRATH_KEVIN_01_FLAVOR	グローブをはめた腕で帽子を直し静かに去る。伝えきれてない思いを花に込め。<br><br>「お礼はいらない。ただアナタが微笑んでくれれば、オレは満足なのさ…」<br><br>ダリアの花言葉は感謝。その言葉が届くだろうか。オレがオレらしく生きる言葉をくれた人。ただひとり、オレが単純な笑顔だけを求めない唯一の人。ああ、でも宝石は買いませんのでご容赦を。<br>（ケヴィンの独り言）
TS_LOST_ZWEI_01_FLAVOR	人って色んな種類があるみたい。でも簡単なのは、虐げる側と虐げられる側。それを覆す理想がある。残り少ない命、せめてあなたの為に。おそとなんて考えもしなかったわたしに全部あなたがくれた。<br><br>「おいで、クロ…行こう！」<br><br>縛る鎖が外れたわたしは戦い続ける。<br>だってあなたが信じてくれるから。<br>戦って…見えない空に、いつか。<br>（ネズミごろしからの言伝）
TS_LOST_NOIN_01_FLAVOR	クソッタレの肥溜め。ただ俺はここにいて、正しくもない、でも間違ってもいない道を歩く、マントを着けた裸の王様。<br><br>「そうだ、俺がルールだ。文句があるなら、またいつでもかかってこいよ」<br><br>俺がルールになる。人の命を喰らえば、人から遠ざかるだと。誰にも認められやしないなら、俺が何者でも何ひとつ変わりはしない。ただ力で認めさせるまで。<br>（ナインデッドの胸中）
TS_APRILFOOL_01_FLAVOR	わたしにとっては優しくて、とっても頼りになる大事な、大好きなお兄ちゃん。<br><br>「お兄ちゃん、キノコ嫌いだったっけ？　うーん、変なお兄ちゃん」<br><br>変な夢を見た気がするけど、嬉しいこともあった。そっか、お兄ちゃんの本当の優しさ、たくさんの人にわかってもらえるかもしれないんだ。<br>この本のおかげかなぁ…<br>（うたた寝するユフィの独り言）
TS_GLUTTONY_NEICA_01_FLAVOR	杖一本で囮になりますなんて、ガラにもないことをなぜしてしまったのか…。<br><br>「ふええ…ハントするなら、エッグにしてくださいよおおお!!」<br><br>追いかけ回されるのは嫌って、心から思うのです。ああ、パメラさんの真似をしてる場合ではない…。テオナさんの素敵な勇姿が見れるって邪な思いを抱いた自分が悪いんです。もうお家帰るううう。<br>（ネイカの秘密の帰りたい日誌より）
TS_GLUTTONY_TEONA_01_FLAVOR	いつも私の胸にある言葉。”期待に応えた分だけ、笑顔が返ってくる”<br><br>「兄さん…見えますか？　いつかちゃんと褒めてくださいね」<br><br>太陽の破片のように煌めく金貨に呟く。今ならもう一度、兄さんに会えるかもしれないって思える。それもちゃんと胸を張って。だって私も笑顔を作ることができたみたいだから。<br>（兄に向けたテオナの独白）
