MAIL_LOGIN_REWARD	Login Bonus
MAIL_LNY_DAY_12	Lunar New Year Login Bonus Day 12
MAIL_LNY_DAY_13	Lunar New Year Login Bonus Day 13
MAIL_LNY_DAY_14	Lunar New Year Login Bonus Day 14
MAIL_WHITEDAY_DAY_1	White Day Login Bonus Day 1
MAIL_WHITEDAY_DAY_2	White Day Login Bonus Day 2
MAIL_WHITEDAY_DAY_3	White Day Login Bonus Day 3
MAIL_WHITEDAY_DAY_4	White Day Login Bonus Day 4
MAIL_WHITEDAY_DAY_5	White Day Login Bonus Day 5
MAIL_WHITEDAY_DAY_6	White Day Login Bonus Day 6
MAIL_WHITEDAY_DAY_7	White Day Login Bonus Day 7
MAIL_WHITEDAY_DAY_8	White Day Login Bonus Day 8
MAIL_APRFOOLS_DAY_1	April Fools Login Bonus Day 1
MAIL_APRFOOLS_DAY_2	April Fools Login Bonus Day 2
MAIL_APRFOOLS_DAY_3	April Fools Login Bonus Day 3
MAIL_APRFOOLS_DAY_4	April Fools Login Bonus Day 4
MAIL_APRFOOLS_DAY_5	April Fools Login Bonus Day 5
MAIL_APRFOOLS_DAY_6	April Fools Login Bonus Day 6
MAIL_APRFOOLS_DAY_7	April Fools Login Bonus Day 7
MAIL_DANMACHI_DAY_1	Collaboration Celebration Login Bonus Day 1
MAIL_DANMACHI_DAY_2	Collaboration Celebration Login Bonus Day 2
MAIL_DANMACHI_DAY_3	Collaboration Celebration Login Bonus Day 3
MAIL_DANMACHI_DAY_4	Collaboration Celebration Login Bonus Day 4
MAIL_DANMACHI_DAY_5	Collaboration Celebration Login Bonus Day 5
MAIL_DANMACHI_DAY_6	Collaboration Celebration Login Bonus Day 6
MAIL_DANMACHI_DAY_7	Collaboration Celebration Login Bonus Day 7
MAIL_PORTRAID_DAY_1	Port Raid Login Bonus Day 1
MAIL_PORTRAID_DAY_2	Port Raid Login Bonus Day 2
MAIL_PORTRAID_DAY_3	Port Raid Login Bonus Day 3
MAIL_PORTRAID_DAY_4	Port Raid Login Bonus Day 4
MAIL_PORTRAID_DAY_5	Port Raid Login Bonus Day 5
MAIL_PORTRAID_DAY_6	Port Raid Login Bonus Day 6
MAIL_PORTRAID_DAY_7	Port Raid Login Bonus Day 7
MAIL_DRAGONGOD_CELEBRATION_DAY_1	Ancient Dragon God Release Login Bonus Day 1
MAIL_DRAGONGOD_CELEBRATION_DAY_2	Ancient Dragon God Release Login Bonus Day 2
MAIL_DRAGONGOD_CELEBRATION_DAY_3	Ancient Dragon God Release Login Bonus Day 3
MAIL_DRAGONGOD_CELEBRATION_DAY_4	Ancient Dragon God Release Login Bonus Day 4
MAIL_DRAGONGOD_CELEBRATION_DAY_5	Ancient Dragon God Release Login Bonus Day 5
MAIL_DRAGONGOD_CELEBRATION_DAY_6	Ancient Dragon God Release Login Bonus Day 6
MAIL_DRAGONGOD_CELEBRATION_DAY_7	Ancient Dragon God Release Login Bonus Day 7
MAIL_1250_CELEBRATION_DAY_1	12.5M World Wide Download Celebration Login Bonus Day 1
MAIL_1250_CELEBRATION_DAY_2	12.5M World Wide Download Celebration Login Bonus Day 2
MAIL_1250_CELEBRATION_DAY_3	12.5M World Wide Download Celebration Login Bonus Day 3
MAIL_1250_CELEBRATION_DAY_4	12.5M World Wide Download Celebration Login Bonus Day 4
MAIL_1250_CELEBRATION_DAY_5	12.5M World Wide Download Celebration Login Bonus Day 5
MAIL_1250_CELEBRATION_DAY_6	12.5M World Wide Download Celebration Login Bonus Day 6
MAIL_1250_CELEBRATION_DAY_7	12.5M World Wide Download Celebration Login Bonus Day 7
MAIL_1250_CELEBRATION_DAY_8	12.5M World Wide Download Celebration Login Bonus Day 8
MAIL_1250_CELEBRATION_DAY_9	12.5M World Wide Download Celebration Login Bonus Day 9
MAIL_1250_CELEBRATION_DAY_10	12.5M World Wide Download Celebration Login Bonus Day 10
MAIL_PORTBATTLE_DAY_1	Port Battle Login Bonus Day 1
MAIL_PORTBATTLE_DAY_2	Port Battle Login Bonus Day 2
MAIL_PORTBATTLE_DAY_3	Port Battle Login Bonus Day 3
MAIL_PORTBATTLE_DAY_4	Port Battle Login Bonus Day 4
MAIL_PORTBATTLE_DAY_5	Port Battle Login Bonus Day 5
MAIL_PORTBATTLE_DAY_6	Port Battle Login Bonus Day 6
MAIL_PORTBATTLE_DAY_7	Port Battle Login Bonus Day 7
MAIL_SUMMER_FESTIVAL_DAY_1	Summer Festival Login Bonus Day 1
MAIL_SUMMER_FESTIVAL_DAY_2	Summer Festival Login Bonus Day 2
MAIL_SUMMER_FESTIVAL_DAY_3	Summer Festival Login Bonus Day 3
MAIL_SUMMER_FESTIVAL_DAY_4	Summer Festival Login Bonus Day 4
MAIL_SUMMER_FESTIVAL_DAY_5	Summer Festival Login Bonus Day 5
MAIL_SUMMER_FESTIVAL_DAY_6	Summer Festival Login Bonus Day 6
MAIL_SUMMER_FESTIVAL_DAY_7	Summer Festival Login Bonus Day 7
MAIL_SUMMER_FESTIVAL_DAY_8	Summer Festival Login Bonus Day 8
MAIL_SUMMER_FESTIVAL_DAY_9	Summer Festival Login Bonus Day 9
MAIL_SUMMER_FESTIVAL_DAY_10	Summer Festival Login Bonus Day 10
MAIL_DRAGONGOD0102_CELEBRATION_DAY_1	Ancient Dragon God Login Bonus Day 1
MAIL_DRAGONGOD0102_CELEBRATION_DAY_2	Ancient Dragon God Login Bonus Day 2
MAIL_DRAGONGOD0102_CELEBRATION_DAY_3	Ancient Dragon God Login Bonus Day 3
MAIL_DRAGONGOD0102_CELEBRATION_DAY_4	Ancient Dragon God Login Bonus Day 4
MAIL_DRAGONGOD0102_CELEBRATION_DAY_5	Ancient Dragon God Login Bonus Day 5
MAIL_DRAGONGOD0102_CELEBRATION_DAY_6	Ancient Dragon God Login Bonus Day 6
MAIL_DRAGONGOD0102_CELEBRATION_DAY_7	Ancient Dragon God Login Bonus Day 7
MAIL_WELCOME_BACK_DAY_1	Welcome & Come Back Login Bonus Day 1
MAIL_WELCOME_BACK_DAY_2	Welcome & Come Back Login Bonus Day 2
MAIL_WELCOME_BACK_DAY_3	Welcome & Come Back Login Bonus Day 3
MAIL_WELCOME_BACK_DAY_4	Welcome & Come Back Login Bonus Day 4
MAIL_WELCOME_BACK_DAY_5	Welcome & Come Back Login Bonus Day 5
MAIL_WELCOME_BACK_DAY_6	Welcome & Come Back Login Bonus Day 6
MAIL_WELCOME_BACK_DAY_7	Welcome & Come Back Login Bonus Day 7
MAIL_AUTUMN_6_PRESENT	Autumn Login Bonus Day 6
MAIL_AUTUMN_7_PRESENT	Autumn Login Bonus Day 7
MAIL_GENESIS9P1_DAY_1	Genesis Login Bonus Day 1
MAIL_GENESIS9P1_DAY_2	Genesis Login Bonus Day 2
MAIL_GENESIS9P1_DAY_3	Genesis Login Bonus Day 3
MAIL_GENESIS9P1_DAY_4	Genesis Login Bonus Day 4
MAIL_GENESIS9P1_DAY_5	Genesis Login Bonus Day 5
MAIL_GENESIS9P1_DAY_6	Genesis Login Bonus Day 6
MAIL_GENESIS9P1_DAY_7	Genesis Login Bonus Day 7
MAIL_SHINOBI_1_PRESENT	Shinobi Collab Login Bonus Day 1
MAIL_SHINOBI_2_PRESENT	Shinobi Collab Login Bonus Day 2
MAIL_SHINOBI_3_PRESENT	Shinobi Collab Login Bonus Day 3
MAIL_SHINOBI_4_PRESENT	Shinobi Collab Login Bonus Day 4
MAIL_SHINOBI_5_PRESENT	Shinobi Collab Login Bonus Day 5
MAIL_SHINOBI_6_PRESENT	Shinobi Collab Login Bonus Day 6
MAIL_SPECIAL_DAY_1	Special Login Bonus Day 1
MAIL_SPECIAL_DAY_2	Special Login Bonus Day 2
MAIL_SPECIAL_DAY_3	Special Login Bonus Day 3
MAIL_SPECIAL_DAY_4	Special Login Bonus Day 4
MAIL_SPECIAL_DAY_5	Special Login Bonus Day 5
MAIL_SPECIAL_DAY_6	Special Login Bonus Day 6
MAIL_SPECIAL_DAY_7	Special Login Bonus Day 7
MAIL_PREANNIVERSARY_1_PRESENT	Pre-Anniversary Campaign Countdown Login Day 1
MAIL_PREANNIVERSARY_2_PRESENT	Pre-Anniversary Campaign Countdown Login Day 2
MAIL_PREANNIVERSARY_3_PRESENT	Pre-Anniversary Campaign Countdown Login Day 3
MAIL_PREANNIVERSARY_4_PRESENT	Pre-Anniversary Campaign Countdown Login Day 4
MAIL_PREANNIVERSARY_5_PRESENT	Pre-Anniversary Campaign Countdown Login Day 5
MAIL_PREANNIVERSARY_6_PRESENT	Pre-Anniversary Campaign Countdown Login Day 6
MAIL_HALLOWEEN_1_PRESENT	Halloween Login Bonus Day 1
MAIL_HALLOWEEN_2_PRESENT	Halloween Login Bonus Day 2
MAIL_HALLOWEEN_3_PRESENT	Halloween Login Bonus Day 3
MAIL_HALLOWEEN_4_PRESENT	Halloween Login Bonus Day 4
MAIL_HALLOWEEN_5_PRESENT	Halloween Login Bonus Day 5
MAIL_PREANNI_DAY_1	Pre-Anniversary Login Bonus Day 1
MAIL_PREANNI_DAY_2	Pre-Anniversary Login Bonus Day 2
MAIL_PREANNI_DAY_3	Pre-Anniversary Login Bonus Day 3
MAIL_PREANNI_DAY_4	Pre-Anniversary Login Bonus Day 4
MAIL_PREANNI_DAY_5	Pre-Anniversary Login Bonus Day 5
MAIL_PREANNI_DAY_6	Pre-Anniversary Login Bonus Day 6
MAIL_PREANNI_DAY_7	Pre-Anniversary Login Bonus Day 7
MAIL_MATHIASTIC_1_PRESENT	Matia Ticket Login Bonus Day 1
MAIL_MATHIASTIC_2_PRESENT	Matia Ticket Login Bonus Day 2
MAIL_MATHIASTIC_3_PRESENT	Matia Ticket Login Bonus Day 3
MAIL_MATHIASTIC_4_PRESENT	Matia Ticket Login Bonus Day 4
MAIL_MATHIASTIC_5_PRESENT	Matia Ticket Login Bonus Day 5
MAIL_MATHIAS_1_PRESENT	Matia Login Bonus Day 1
MAIL_MATHIAS_2_PRESENT	Matia Login Bonus Day 2
MAIL_MATHIAS_3_PRESENT	Matia Login Bonus Day 3
MAIL_MATHIAS_4_PRESENT	Matia Login Bonus Day 4
MAIL_MATHIAS_5_PRESENT	Matia Login Bonus Day 5
MAIL_MATHIAS_6_PRESENT	Matia Login Bonus Day 6
MAIL_MATHIAS_7_PRESENT	Matia Login Bonus Day 7
MAIL_PRE_ANNI_DAY_1	Pre-Anniversary Campaign Login Bonus Day 1
MAIL_PRE_ANNI_DAY_2	Pre-Anniversary Campaign Login Bonus Day 2
MAIL_PRE_ANNI_DAY_3	Pre-Anniversary Campaign Login Bonus Day 3
MAIL_PRE_ANNI_DAY_4	Pre-Anniversary Campaign Login Bonus Day 4
MAIL_PRE_ANNI_DAY_5	Pre-Anniversary Campaign Login Bonus Day 5
MAIL_PRE_ANNI_DAY_6	Pre-Anniversary Campaign Login Bonus Day 6
MAIL_SCHTICKET_1_PRESENT	Schmeier Ticket Login Bonus Day 1
MAIL_SCHTICKET_2_PRESENT	Schmeier Ticket Login Bonus Day 2
MAIL_SCHTICKET_3_PRESENT	Schmeier Ticket Login Bonus Day 3
MAIL_SCHTICKET_4_PRESENT	Schmeier Ticket Login Bonus Day 4
MAIL_SCHTICKET_5_PRESENT	Schmeier Ticket Login Bonus Day 5
MAIL_5THANNI_DAY_1	5th Anniversary Login Bonus Day 1
MAIL_5THANNI_DAY_2	5th Anniversary Login Bonus Day 2
MAIL_5THANNI_DAY_3	5th Anniversary Login Bonus Day 3
MAIL_5THANNI_DAY_4	5th Anniversary Login Bonus Day 4
MAIL_5THANNI_DAY_5	5th Anniversary Login Bonus Day 5
MAIL_COLLABCOUNT_DAY_1	Collab Countdown Login Bonus Day 1
MAIL_COLLABCOUNT_DAY_2	Collab Countdown Login Bonus Day 2
MAIL_COLLABCOUNT_DAY_3	Collab Countdown Login Bonus Day 3
MAIL_SHIELD_DAY_1	Shield Hero Collab Login Bonus Day 1
MAIL_SHIELD_DAY_2	Shield Hero Collab Login Bonus Day 2
MAIL_SHIELD_DAY_3	Shield Hero Collab Login Bonus Day 3
MAIL_SHIELD_DAY_4	Shield Hero Collab Login Bonus Day 4
MAIL_SHIELD_DAY_5	Shield Hero Collab Login Bonus Day 5
MAIL_SHIELD_DAY_6	Shield Hero Collab Login Bonus Day 6
MAIL_SHIELD_DAY_7	Shield Hero Collab Login Bonus Day 7
MAIL_UROB_1_PRESENT	Ouroboros Ticket Login Bonus Day 1
MAIL_UROB_2_PRESENT	Ouroboros Ticket Login Bonus Day 2
MAIL_UROB_3_PRESENT	Ouroboros Ticket Login Bonus Day 3
MAIL_UROB_4_PRESENT	Ouroboros Ticket Login Bonus Day 4
MAIL_UROB_5_PRESENT	Ouroboros Ticket Login Bonus Day 5
MAIL_NEWYR_DAY_1	Happy New Year Login Bonus Day 1
MAIL_NEWYR_DAY_2	Happy New Year Login Bonus Day 2
MAIL_NEWYR_DAY_3	Happy New Year Login Bonus Day 3
MAIL_NEWYR_DAY_4	Happy New Year Login Bonus Day 4
MAIL_NEWYR_DAY_5	Happy New Year Login Bonus Day 5
MAIL_NYEAR_DAY_1	Happy New Year Login Bonus Day 1
MAIL_NYEAR_DAY_2	Happy New Year Login Bonus Day 2
MAIL_NYEAR_DAY_3	Happy New Year Login Bonus Day 3
MAIL_NYEAR_DAY_4	Happy New Year Login Bonus Day 4
MAIL_NYEAR_DAY_5	Happy New Year Login Bonus Day 5
MAIL_ENL_DAY_1	Login Bonus Day 1
MAIL_ENL_DAY_2	Login Bonus Day 2
MAIL_ENL_DAY_3	Login Bonus Day 3
MAIL_ENL_DAY_4	Login Bonus Day 4
MAIL_ENL_DAY_5	Login Bonus Day 5
MAIL_ENL_DAY_6	Login Bonus Day 6
MAIL_ENL_DAY_7	Login Bonus Day 7
