IT_US_FATE_TAIYAKI_EXPR	Casts Quicken status on user for three turns.
IT_SU_2017FEB_TICKET_EXPR	Use this ticket to summon one unit (Vivi, Mei Fang, Miuna, Furcas, Sakura, Shekinah, Sita, Laevateinn, or Albea) of your choice.
IT_US_2017FEB_20PERTICKET_EXPR	Use this ticket to summon a unit with a 20% chance of it being a new unit.
IT_US_2017FEB_COLLABO_20PERTICKET_EXPR	Use this ticket to summon a unit with a 20% chance of it being either Sakura, Dark Princess Yomi, Furcas, Bashosen, Laevateinn, Sita, or Shekinah.
IT_US_POLLIN_TICKET_EXPR	Use this ticket to summon one Polin unit.
IT_SU_1ST_BOX_TICKET_EXPR	Use this ticket to summon one Rare Summon unit, limited-time unit (Balt, Mielikki, Eve, Fraise, or Lucretia), Sacred Stone Memories unit, or Phantom of the Kill unit of your choice.
IT_SU_2017_1ST_TICKET_EXPR	Use this ticket to summon one Rare Summon unit or limited-time unit (Balt, Mielikki, Eve, Fraise, or Lucretia) of your choice. (Does not include Sacred Stone Memories or Phantom of the Kill collab units.)
IT_SA_2017_1ST_BUGU_TICKET_EXPR	Use this ticket to summon one 3★ or 4★ unit of your choice. (Includes limited-time units and Phantom of the Kill collab units.)
IT_SI_2017_1ST_PI_TICKET_EXPR	Use this ticket to summon 50 Soul Shards for one 4★, 4-5★, or 5★ unit of your choice. (Includes limited-time units and Phantom of the Kill collab units.)
IT_SI_2017_1ST_5ITEM_TICKET_EXPR	Use this ticket to summon one 5★ equipment item of your choice.
IT_SU_2017_FgG_TICKET01_EXPR	Use this ticket to summon one collab unit (Furcas, Sakura, Shekinah, Sita, or Laevateinn) of your choice.
IT_SU_SEISEKI03_TICKET_EXPR	Use this ticket to summon one Sacred Stone unit (Cadanova, Kudanstein, Seida, Monzein, Yauras, Zain, Othima, or Miuna.)
IT_SA_S4_BUGU_TICKET02_EXPR	Use this ticket to summon one 4★ piece of gear.
IT_SU_2017_FgG_TICKET02_EXPR	Use this ticket to summon one collab unit (Bashosen, Dark Princess Yomi, Furcas, Sakura, Shekinah, Sita, or Laevateinn) of your choice.
IT_SU_2017FEB_TICKET02_EXPR	Use this ticket to summon one unit (Vivi, Mei Fang, Eve, Balt, or Mielikki) of your choice.
IT_SU_2017FEB_TICKET03_EXPR	Use this ticket to summon one unit (Mikoto, Margaret, Eve, Albea, Rahu, Sakura, Furcas, Dark Princess Yomi, Bashosen, Sita, Shekinah, or Laevateinn) of your choice.
IT_SI_EQ_SOUL_TICKET_2017_01_EXPR	Use this ticket to summon six of a job change token of your choice (Applicable jobs: Knight, Holy Knight, Dark Knight, Spearman, Holy Cavalier, Dark Cavalier, Dragon Knight, Dragon Cavalier, Pirate, Valkyrie, Warrior, Necromancer, Magic Swordsman, Twin-Blade Swordsman, Bride/Bridegroom, and Martial Master)
IT_SI_EQ_SOUL_TICKET_2017_02_EXPR	Use this ticket to summon six of a job change token of your choice (Applicable jobs: Martial Artist, Holy Brawler, Thief, Ninja, Bard, Dancer, Beast Tamer, Merchant, Assassin, Samurai, Blademaster, Spy, Hunter, Ranger, Gunner, Sniper, Crafter, Machinist, Magia Gunslinger, and Wild Beast Tamer)
IT_SI_EQ_SOUL_TICKET_2017_03_EXPR	Use this ticket to summon six of a job change token of your choice (Applicable jobs: Mage, Priest, Bishop, Chronomancer, Enchanter, Shrine Maiden, Chemist, Professor, Sage, Astrologer, Summoner, Battle Mage, Priestess, Diviner, Geomancer, and Telekinetic Artist)
IT_SI_2017_FEB_PI_TICKET_EXPR	Use this ticket to summon 50 Soul Shards for one 3★, 4★, 4-5★, or 5★ unit of your choice. (Does not include limited-time or Phantom of the Kill collab units.)
IT_SU_2017_MAR_TICKET_150_EXPR	Use this ticket to summon one 3★, 4★, 4-5★, or 5★ Rare Summon unit of your choice. (Units released on or before 3/1 only. Does not include limited-time or Phantom of the Kill collab units.)
IT_SU_2017_MAR_TICKET_01_EXPR	Use this ticket to summon one unit (Neica, Yunagi, Mirianne, or Basheeny) of your choice.
IT_SA_2017_MAR_BUGU_TICKET_EXPR	Use this ticket to summon one 3★ or 4★ piece of gear of your choice. (Includes limited-time gear.)
IT_SU_SEISEKI04_TICKET_EXPR	Use this ticket to summon one Sacred Stone unit (Cadanova, Kudanstein, Seida, Monzein, Yauras, Zain, Othima, Miuna, or Basheeny.) [2017/3 units available]
IT_US_SEISEKI_TICKET04_EXPR	Use this ticket to summon one Sacred Stone Memories unit.
IT_SA_S4_BUGU_TICKET03_EXPR	Use this ticket to summon one 4★ piece of gear.
IT_US_2017MAR_20PERTICKET_EXPR	Use this ticket to summon a unit with a 20% chance of it being a new unit.
IT_US_2017MAR_COLLABO_TICKET_EXPR	Use this ticket to summon one guaranteed Disgaea collab unit.
IT_SU_DIS_TICKET_EXPR	Use this ticket to summon one Disgaea Collab unit (Killia, Seraphina, Red Magnus, or Rin) of your choice.
IT_SA_S4_BUGU_TICKET04_EXPR	Use this ticket to summon one 4★ piece of gear.
IT_US_2017MAR_COLLABO_20PERTICKET_EXPR	Use this ticket to summon a unit with a 20% chance of it being a Disgaea collab unit.
IT_US_2017MAR_PICKUP_AF_30PERTICKET_EXPR	Use this ticket to summon a piece of gear with a 30% chance of it being a featured one.
IT_US_2017APR_COLLABO_TICKET_EXPR	Use this ticket to summon one guaranteed Disgaea collab unit.
IT_US_2017APR_SEISEKI_TICKET_EXPR	Use this ticket to summon one Sacred Stone Memories unit.
IT_SU_2017APR_TICKET_EXPR	Use this ticket to summon one unit (Laharl, Etna, Almira [Disgaea ver.], Rosa [Disgaea ver.], Daisy, or Nasario) of your choice.
IT_SA_S4_BUGU_TICKET05_EXPR	Use this ticket to summon one 4★ piece of gear.
IT_US_DIS_PICKUP_TICKET02_EXPR	Use this ticket to summon one rare unit from a fixed pool of units including featured ones from Disgaea.
IT_US_2017APR_COLLABO_20PERTICKET_EXPR	Use this ticket to summon a unit with a 20% chance of it being a Disgaea collab unit.
IT_US_2017APR_20PERTICKET_EXPR	Use this ticket to summon a unit with a 20% chance of it being a new unit.
IT_SU_2017_MAY_TICKET_01_EXPR	Use this ticket to summon one unit (Jin, Zofia, or Noah) of your choice.
IT_SA_S4_BUGU_TICKET06_EXPR	Use this ticket to summon one 4★ piece of gear.
IT_US_2017MAY_PICKUP_20PERTICKET_EXPR	Use this ticket to summon either one featured unit (20% chance) or a 3-5★, 4★, or 4-5★ unit.
IT_US_2017MAY_PICKUP_20PERTICKET02_EXPR	Use this ticket to summon either one featured unit (20% chance) or a 3-5★, 4★, or 4-5★ unit.
IT_US_DIS_PICKUP_TICKET_EXPR	Use this ticket to summon one rare unit from a fixed pool of units including featured ones from Disgaea.
IT_SA_BUGU_BUKI_TICKET01_EXPR	Use this ticket to summon one handheld weapon-type gear item of your choice.
IT_SA_BUGU_AKUSE_TICKET01_EXPR	Use this ticket to summon one armor-type gear item of your choice.
IT_SA_BUGU_BOUGU_TICKET01_EXPR	Use this ticket to summon one accessory-type gear item of your choice.
IT_SU_DIS_TICKET02_EXPR	Use this ticket to summon one Disgaea Collab unit (Laharl, Etna, Rosa, Almira, Killia, Seraphina, Red Magnus, or Rin) of your choice.
IT_SI_DIS_PI_TICKET_EXPR	Use this ticket to summon 50 Soul Shards for the Disgaea Collab unit of your choice (Laharl, Etna, Rosa, Almira, Killia, Seraphina, Red Magnus, or Rin).
IT_US_VOTE_BUGU_TICKET01_EXPR	Use this ticket to summon guaranteed recommended gear for the unit Setsuna.
IT_US_VOTE_BUGU_TICKET02_EXPR	Use this ticket to summon guaranteed recommended gear for the unit Yomi.
IT_US_VOTE_BUGU_TICKET03_EXPR	Use this ticket to summon guaranteed recommended gear for the unit Shayna.
IT_US_ARTIFACT_SWD_TICKET_EXPR	Use this ticket to summon one guaranteed Sword-type weapon.
IT_SA_2017_APR_BUGU_TICKET_EXPR	Use this ticket to summon one 3★ or 4★ piece of gear of your choice. (Includes limited-time gear, but does not include collab gear.)
IT_SI_2017_APR_PI_TICKET_EXPR	Use this ticket to summon 50 Soul Shards for one 4★, 4-5★, or 5★ unit of your choice. (Includes Sacred Stone Memories and limited-time units, but does not include collab units.)
IT_US_VOTE_BUGU_TICKET04_EXPR	Use this ticket to summon guaranteed recommended gear for the units Zain and Vettel.
IT_SU_2017_CC_TICKET01_EXPR	Use this ticket to summon one class-change unit (Lamia, Caris, Lofia, Dilga, Anastasia, Flamel, Balt, Mia, Michael, Chihaya, Rahu, Lucian, Freed, or Arkil) of your choice.
IT_US_VOTE_BUGU_TICKET05_EXPR	Use this ticket to summon guaranteed recommended gear for the units Othima and Magnus.
IT_US_VOTE_BUGU_TICKET06_EXPR	Use this ticket to summon guaranteed recommended gear for the unit Balt.
IT_SA_2017_MAY_BUGU_TICKET_EXPR	Use this ticket to summon one 3★ or 4★ piece of gear of your choice. (Includes limited-time gear, but does not include collab gear.)
IT_SI_2017_MAY_PI_TICKET_EXPR	Use this ticket to summon 50 Soul Shards for one 4★, 4-5★, or 5★ unit of your choice. (Includes Sacred Stone Memories and limited-time units, but does not include collab units.)
IT_SI_2017_LIGHT_PI_TICKET01_EXPR	Use this ticket to summon 5 Soul Shards for one 5★ Light unit (Zain, Mielikki, Fraise, Olga, Neica, Margaret, Ryle, Spica, Suzuka, or Chloe) of your choice. Can be purchased using Paid Gems.
IT_SI_2017_DARK_PI_TICKET01_EXPR	Use this ticket to summon 5 Soul Shards for one 5★ Dark unit (Kudan, Basheeny, Jin, Aswald, Gormalas, Zahar, Albea, Anastasia, or Rosa) of your choice. Can be purchased using Paid Gems.
IT_SI_2017_FIRE_PI_TICKET01_EXPR	Use this ticket to summon 5 Soul Shards for one 5★ Fire unit (Cadanova, Miuna, Eve, Noah, Daisy, Vivi, Hazel, Dorothea, Lupinus, Reimei, or Vettel) of your choice. Can be purchased using Paid Gems.
IT_SI_2017_WIND_PI_TICKET01_EXPR	Use this ticket to summon 5 Soul Shards for one 5★ Wind unit (Seida, Balt, Setsuna, Ramses, Tamamo, Flamel, Yomi, or Nasario) of your choice. Can be purchased using Paid Gems.
IT_SI_2017_THUNDER_PI_TICKET01_EXPR	Use this ticket to summon 5 Soul Shards for one 5★ Thunder unit (Monzein, Lucretia, Zofia, Chao, Mei Fang, Eizan, Teona, Aruba, Deneb, or Magnus) of your choice. Can be purchased using Paid Gems.
IT_SI_2017_WATER_PI_TICKET01_EXPR	Use this ticket to summon 5 Soul Shards for one 5★ Water unit (Othima, Yauras, Ravina, Yunagi, Mikoto, Sophia, Shayna, Shenmei, Elizabeth, or Fung Liu) of your choice. Can be purchased using Paid Gems.
IT_SA_BUGU_BIGGINER_TICKET01_EXPR	Use this ticket to summon one item of your choice, out of the following: Charming Blade, Faustian Greatsword, Ogre Slaying Blade, Tiger Kris, Magia Pistols, Serenity Chakram, Green Rod of Wisdom, Techno Flask, Valhalla Lance, Roaring Slash, Giga Blaze Buster, Vorpal Geo Blades, Tuuli Kantele, Golden Jade Tarot, or Rod of Blessing.
IT_US_FF15_SOULTICKET_EXPR	Use this ticket to summon Soul Shards for one FFXV Collab unit.
IT_US_FF15_SOULTICKET02_EXPR	Use this ticket to summon Soul Shards for one FFXV Collab unit.
IT_US_2017JUNE_COLLABO_TICKET_EXPR	Use this ticket to summon one guaranteed FFXV collab unit.
IT_SU_FF15_TICKET_EXPR	Use this ticket to summon one FFXV Collab unit (Noctis, Ignis, Gladiolus, or Aranea) of your choice.
IT_SA_S4_BUGU_TICKET07_EXPR	Use this ticket to summon one 4★ piece of gear.
IT_SI_2017_JUNE_PI_TICKET_EXPR	Use this ticket to summon 50 Soul Shards for one 3★, 4★, 4-5★, or 5★ Rare Summon unit of your choice. (Units released on or before 6/1 only. Includes Sacred Stone Memories and limited-time units [Balt, Mielikki, Eve, Fraise, and Lucretia], but does not include collab units.)
IT_US_FF15_SOULTICKET_25_EXPR	Use this ticket to summon 25 Soul Shards for one FFXV Collab unit.
IT_US_FF15_SOULTICKET_50_EXPR	Use this ticket to summon 50 Soul Shards for one FFXV Collab unit.
IT_US_FF15_PICKUP_TICKET_EXPR	Use this ticket to summon one rare unit from a fixed pool of units including featured ones from FFXV.
IT_US_FF15_PICKUP_10PERTICKET_EXPR	Use this ticket to summon either one FFXV Collab unit (10% chance) or a 3-5★, 4★, or 4-5★ unit.
IT_US_FF15_SOULTICKET_10-30_EXPR	Use this ticket for a chance to obtain 10-30 Soul Shards for one FFXV Collab unit.
IT_US_FF15_SOULTICKET_20-40_EXPR	Use this ticket for a chance to obtain 20-40 Soul Shards for one FFXV Collab unit.
IT_US_FF15_SOULTICKET_30-50SP_EXPR	Use this ticket for a chance to obtain 30-50 Soul Shards for one FFXV Collab unit, or Rainbow Soul Shards.
IT_US_SOULTICKET_25_EXPR	Use this ticket to summon 25 Soul Shards for one new unit.
IT_US_SOULTICKET_50_EXPR	Use this ticket to summon 50 Soul Shards for one new unit.
IT_US_2017JUNE_SEISEKI_TICKET_EXPR	Use this ticket to summon one Sacred Stone Memories unit.
IT_SA_S4_BUGU_TICKET08_EXPR	Use this ticket to summon one 4★ piece of gear.
IT_SU_2017JUNE_TICKET_EXPR	Use this ticket to summon one unit (Acht, Vier, Fairily, or Edwin) of your choice.
IT_US_POK_SOULTICKET_EXPR	Use this ticket to summon one Soul Shard for a Phantom of the Kill unit.
IT_US_SEISEKI_SOULTICKET_EXPR	Use this ticket to summon one Soul Shard for a Sacred Stone unit.
IT_US_POK_SOULTICKET_25_EXPR	Use this ticket to summon 25 Soul Shards for one Phantom of the Kill unit.
IT_US_POK_SOULTICKET_50_EXPR	Use this ticket to summon 50 Soul Shards for one Phantom of the Kill unit.
IT_SU_2017_CM_TICKET_EXPR	Use this ticket to summon one Rare Summon unit, Sacred Stone Memories unit, or limited-time unit (Balt, Mielikki, Eve, Fraise, or Lucretia) of your choice. (Units released on or before 6/1 only. Does not include collab units.)
IT_SA_2017_CM_BUGU_TICKET_EXPR	Use this ticket to summon one 3★ or 4★ piece of gear of your choice. (Gear available from Gear Summon and released on or before 6/1 only. Includes limited-time gear [Crowley Sword and Dirk of Projection], but does not include collab gear.)
IT_US_2017_CM_RARE5EV_TICKET_EXPR	Use this ticket to summon one guaranteed 5★ Rare Summon unit or 4-5★ unit. (Units released on or before 6/1 only.)
IT_SI_2017_FF15_PI_TICKET_EXPR	Use this ticket to summon 50 Soul Shards for the FFXV Collab unit of your choice (Noctis, Ignis, Gladiolus, or Aranea.)
IT_SI_SEISEKI_2017_JUNE_PI_TICKET_EXPR	Use this ticket to summon 50 Soul Shards for one Sacred Stone Memories unit (Vier, Acht, Cadanova, Kudanstein, Seida, Monzein, Yauras, Zain, Othima, Miuna, or Basheeny) of your choice.
IT_SI_FANKILL_PI_TICKET01_EXPR	Use this ticket to summon 50 Soul Shards for one Phantom of the Kill collab unit (Laevateinn, Sita, Shekinah, Furcas, or Bashosen) of your choice.
IT_SU_2017JUNE_PICKUP_TICKET_EXPR	Use this ticket to summon one Phantom of the Kill unit (Laevateinn, Shekinah, Sita, Furcas, or Bashosen) of your choice.
IT_US_RH_SOULTICKET_25_EXPR	 
IT_US_RH_SOULTICKET_50_EXPR	 
IT_US_2017JULY_COLLABO_TICKET_EXPR	Use this ticket to summon one guaranteed Radiant Historia collab unit.
IT_SA_S4_BUGU_TICKET09_EXPR	Use this ticket to summon one 4★ piece of gear.
IT_SU_2017JULY_TICKET_EXPR	Use this ticket to summon one unit (Stocke, Eruca, Aht, Annika, or Hugo) of your choice.
IT_US_2017JULY_COLLABO_SOULTICKET_25_EXPR	Use this ticket to summon 25 Soul Shards for one collab unit.
IT_US_2017JULY_COLLABO_TICKET02_EXPR	Use this ticket to summon one FgG collab unit of your choice.
IT_SA_S4_BUGU_TICKET10_EXPR	Use this ticket to summon one 4★ piece of gear.
IT_SI_2017_FgG_SOUL_TICKET_EXPR	Use this ticket to summon 25 Soul Shards for one FgG collab unit (Eros, Yuri, Laevateinn, Shekinah, Sita, Furcas, Bashosen, Sakura, or Dark Princess Yomi) of your choice.
IT_SU_2017_FgG_TICKET03_EXPR	Use this ticket to summon one FgG collab unit (Eros, Yuri, Laevateinn, Shekinah, Sita, Furcas, Bashosen, Sakura, or Dark Princess Yomi) of your choice.
IT_US_FgG_SOULTICKET_EXPR	Use this ticket to summon one Soul Shard for a FgG collab unit (Eros, Yuri, Laevateinn, Shekinah, Sita, Furcas, Bashosen, Sakura, or Dark Princess Yomi).
IT_US_RH_SOULTICKET_EXPR	 
IT_US_RH_PICKUP_TICKET_EXPR	 
IT_US_2017AUG_PICKUP_SOULTICKET_25_EXPR	Use this ticket to summon 25 Soul Shards for one featured unit.
IT_US_2017AUG_PICKUP_SOULTICKET_50_EXPR	Use this ticket to summon 50 Soul Shards for one featured unit.
IT_SI_2017AUG_SEISEKI_SOULTICKET_25_EXPR	Use this ticket to summon 25 Soul Shards for one featured unit (Neun, Acht, Zain, Miuna, Kudanstein, Monzein, or Cadanova) of your choice.
IT_SI_2017AUG_SEISEKI_SOULTICKET_25_02_EXPR	Use this ticket to summon 25 Soul Shards for one featured unit (Sieba, Füry, Vier, Basheeny, Othima, Yauras, or Seida) of your choice.
IT_US_2017AUG_SEISEKI_TICKET_EXPR	Use this ticket to summon one Sacred Stone Memories unit.
IT_SA_S4_BUGU_TICKET11_EXPR	Use this ticket to summon one 4★ piece of gear.
IT_SU_2017AUG_TICKET_EXPR	Use this ticket to summon one unit (Sieba, Neun, Füry, Seida, Teona, Shenmei, or Tamamo) of your choice.
IT_US_SOULTICKET_25_02_EXPR	Use this ticket to summon Soul Shards for one 3+★ unit.
IT_SI_2017AUG_SOULTICKET_25_EXPR	Use this ticket to summon 25 Soul Shards for one Rare Summon unit of your choice. (Units released on or before 7/31 only. Does not include Templar units [Sieba, Neun, Füry, Acht, and Vier] or collab units.)
IT_SU_2017AUG_RARE5_TICKET_EXPR	Use this ticket to summon one Rare Summon unit of your choice.
IT_SI_2017AUG_PICKUP_SOULTICKET_25_EXPR	Use this ticket to summon 25 Soul Shards for one featured unit (Protector, Harbinger, Shaman, Dragoon, or Chloe) of your choice.
IT_SU_SQ_TICKET_EXPR	 
IT_US_2017SEP_PICKUP_SOULTICKET_25_EXPR	Use this ticket to summon 25 Soul Shards for one featured unit.
IT_US_2017SEP_PICKUP_SOULTICKET_50_EXPR	Use this ticket to summon 50 Soul Shards for one featured unit.
IT_US_2017SEP_PICKUP_TICKET_EXPR	Use this ticket to summon one guaranteed featured unit.
IT_US_2017SEP_COLLABO_20PERTICKET_EXPR	Use this ticket to summon a unit with a 20% chance of it being a Etrian Odyssey collab unit.
IT_US_SQ_PICKUP_TICKET_EXPR	 
IT_US_SQ_SOULTICKET_EXPR	 
IT_US_SQ_PICKUP_10PERTICKET_EXPR	 
IT_SA_S4_BUGU_TICKET12_EXPR	Use this ticket to summon one 4★ piece of gear.
IT_SU_2017SEP_TICKET_EXPR	Use this ticket to summon one unit (Sovereign, Dancer Shenmei, Protector, Lucia, Emma, or Hisham) of your choice.
IT_SI_2017_SQ_SOULTICKET_25_EXPR	 
IT_SI_2017_SQ_SOULTICKET_35_EXPR	 
IT_SI_2017_SQ_SOULTICKET_50_EXPR	 
IT_SU_SQ_TICKET02_EXPR	
IT_SU_SQ_TICKET02_FLAVOR	
IT_SI_2017SEP_SOULTICKET_25_EXPR	Use this ticket to summon 25 Soul Shards for one featured unit (Reido, Izayoi, Rosa, or Jin) of your choice.
IT_US_2017OCT_PICKUP_SOULTICKET_25_EXPR	Use this ticket to summon 25 Soul Shards for one featured unit.
IT_US_2017OCT_PICKUP_SOULTICKET_50_EXPR	Use this ticket to summon 50 Soul Shards for one featured unit.
IT_US_2017OCT_PICKUP_TICKET_EXPR	Use this ticket to summon one guaranteed featured unit.
IT_SA_S4_BUGU_TICKET13_EXPR	Use this ticket to summon one 4★ piece of gear.
IT_SU_2017OCT_TICKET_EXPR	Use this ticket to summon one unit (Uzuma, Won, Ines, Neica, or Miuna) of your choice.
IT_SI_2017OCT_SEISEKI_SOULTICKET_50_EXPR	Use this ticket to summon 50 Soul Shards for one Templar unit (Acht, Vier, Neun, Sieba, or Füry) of your choice.
IT_US_2017OCT_ARTIFACT_PIECE_TICKET_EXPR	Use this ticket to summon one Gear Shard available from the October Gear Projection Hard Quest
IT_SI_180_PI_TICKET01_EXPR	Use this ticket to summon 50 Soul Shards for one 3-5★ Rare Summon unit of your choice. (Units released on or before 6/30 only. Does not include Sacred Stone Memories units [Acht, Vier, Cadanova, Kudanstein, Seida, Monzein, Yauras, Zain, Othima, Miuna, and Basheeny], July units [Annika and Hugo], or collab units.)
IT_SU_180_TICKET_EXPR	Use this ticket to summon one 3-5★ Rare Summon unit of your choice. (Units released on or before 6/30 only. Does not include Sacred Stone Memories units [Acht, Vier, Cadanova, Kudanstein, Seida, Monzein, Yauras, Zain, Othima, Miuna, and Basheeny], July units [Annika and Hugo], or collab units.)
IT_SU_RH_TICKET_EXPR	 
IT_SA_180_BUGU_TICKET_EXPR	Use this ticket to summon one 3★ or 4★ piece of gear of your choice. (Includes limited-time gear [Crowley Sword and Dirk of Projection], but does not include "Black Flame Ring" or collab gear.)
IT_SI_RH_PI_TICKET_EXPR	 
IT_SI_2017_FgG_PI_TICKET01_EXPR	Use this ticket to summon 50 Soul Shards for one FgG collab unit (Eros, Yuri, Laevateinn, Shekinah, Sita, Furcas, Bashosen, Sakura, or Dark Princess Yomi) of your choice.
IT_SU_SEISEKI05_TICKET_EXPR	Use this ticket to summon one Sacred Stone unit (Sieba, Neun, Füry, Acht, Vier, Cadanova, Kudanstein, Seida, Monzein, Zain, Yauras, Othima, Miuna, or Basheeny) of your choice.
IT_SI_200_PI_TICKET_EXPR	Use this ticket to summon 50 Soul Shards for one Rare Summon unit of your choice. (Units released on or before 7/31 only. Does not include Templar units [Sieba, Neun, Füry, Acht, and Vier] or collab units.)
IT_SU_200_TICKET_EXPR	Use this ticket to summon one Rare Summon unit of your choice. (Units released on or before 7/31 only. Does not include Templar units [Sieba, Neun, Füry, Acht, and Vier] or collab units.)
IT_SA_200_BUGU_TICKET_EXPR	Use this ticket to summon one 3★ or 4★ piece of gear of your choice. (Gear available from Gear Summon and released on or before 7/31 only. Includes limited-time gear [Crowley Sword and Dirk of Projection], but does not include "Black Flame Ring" or collab gear.)
IT_US_200_RARE5EV_TICKET_EXPR	Use this ticket to summon one guaranteed 5★ Rare Summon unit or 4-5★ unit. (Units released on or before 7/31 only. Does not include Templar units [Sieba, Neun, and Füry], limited-time units [Balt, Mielikki, Eve, Lucretia, and Fraise], or collab units.)
IT_US_200_RARE5EV_TICKET_FLAVOR	(Does not include Templar units [Sieba, Neun, and Füry], limited-time units [Balt, Mielikki, Eve, Lucretia, and Fraise], or collab units.)
IT_SI_JUKKAI_PI_TICKET01_EXPR	Use this ticket to summon 50 Soul Shards for one Templar unit (Vier, Acht, Sieba, Neun, or Füry) of your choice.
IT_SI_2017_AUG_PI_TICKET_EXPR	Use this ticket to summon 50 Soul Shards for one 3★, 4★, 4-5★, or 5★ Rare Summon unit of your choice. (Units released on or before 8/17 only. Includes Sacred Stone Memories and Templar units, but does not include collab units.)
IT_US_VOTE_BUGU_TICKET07_EXPR	Use this ticket to summon guaranteed recommended gear for the unit Aswald.
IT_US_VOTE_BUGU_TICKET08_EXPR	Use this ticket to summon guaranteed recommended gear for the unit Ryle.
IT_US_VOTE_BUGU_TICKET09_EXPR	Use this ticket to summon guaranteed recommended gear for the unit Rosa.
IT_SI_SQ_PI_TICKET_EXPR	 
IT_SU_DILGA_TICKET_EXPR	Use this ticket to summon one Dilga unit. (You will receive the same Dilga unit regardless of which one you choose.)
IT_US_2017SEPT_SUMMONCOIN_TICKET01_EXPR	Use this special 10-summon ticket to get one guaranteed Reido unit.
IT_US_2017SEPT_SUMMONCOIN_TICKET02_EXPR	Use this special 10-summon ticket to get one guaranteed Izayoi unit.
IT_US_2017SEPT_SUMMONCOIN_TICKET03_EXPR	Use this special 10-summon ticket to get one guaranteed featured unit (Reido, Izayoi, Jin, or Rosa.)
IT_US_2017SEPT_SUMMONCOIN_TICKET04_EXPR	Use this special 10-summon ticket to get one guaranteed "effective" unit (Vier, Lucia, Klima, Annika, Mei Fang, or Othima.)
IT_US_2017SEPT_SUMMONCOIN_TICKET05_EXPR	Use this special 10-summon ticket to get one guaranteed "effective" unit (Füry, Ravina, Chao, Nasario, or Neica.)
IT_US_2017SEPT_SUMMONCOIN_TICKET06_EXPR	Use this special 10-summon ticket to get one guaranteed "effective" unit (Yauras, Basheeny, Sieba, Hazel, or Setsuna.)
IT_US_2017SEPT_SUMMONCOIN_TICKET07_EXPR	Use this special 10-summon ticket to get one guaranteed Uzuma unit.
IT_US_2017SEPT_SUMMONCOIN_TICKET08_EXPR	Use this special 10-summon ticket to get one guaranteed Won unit.
IT_US_2017SEPT_SUMMONCOIN_TICKET09_EXPR	Use this special 10-summon ticket to get one guaranteed Ines unit.
IT_US_2017SEPT_SUMMONCOIN_TICKET10_EXPR	Use this special 10-summon ticket to get one guaranteed featured unit (Uzuma, Won, Ines, Deneb, Lupinus, Neica, or Miuna.)
IT_SI_2017_SEPT_PI_TICKET_EXPR	Use this ticket to summon 50 Soul Shards for one 3★, 4★, 4-5★, or 5★ Rare Summon unit of your choice. (Units released on or before 9/14 only. Includes Sacred Stone Memories and Templar units, but does not include collab units.)
IT_US_HAGA_SOULTICKET_1_EXPR	Use this ticket to summon one Soul Shard for a Fullmetal Alchemist collab unit.
IT_US_HAGA_SOULTICKET_2_EXPR	Use this ticket to summon one Soul Shard for a Fullmetal Alchemist collab unit.
IT_US_FA_PICKUP_TICKET_EXPR	Use this ticket to summon one unit from a fixed pool of units including featured ones from FMA.
IT_US_FA_PICKUP_TICKET02_EXPR	Use this ticket to summon ten units from a fixed pool of units including featured ones from FMA.
IT_US_FA_PICKUP_TICKET03_EXPR	Use this ticket to summon one unit from a fixed pool of units including featured ones from FMA.
IT_SI_ENCHANT_JOBITEM_TICKET01_EXPR	Use this ticket to summon three of a Dark Cavalier or Martial Master enchanted job equipment item of your choice.
IT_SI_EQ_SOUL_ENCHANT_TICKET_01_EXPR	Use this ticket to summon six of an enchanted job change token of your choice. (Applicable jobs: Martial Master [Beast-Destroyer/Man-Breaker/Mech-Crusher] and Dark Cavalier [Espion/Guernica/Faust/Zeele/Jaeger].)
IT_SI_ENCHANT_JOBITEM_TICKET02_EXPR	Use this ticket to summon three of a Holy Cavalier, Professor, or Ranger enchanted job equipment item of your choice.
IT_SI_EQ_SOUL_ENCHANT_TICKET_02_EXPR	Use this ticket to summon six of a Holy Cavalier, Professor, or Ranger enchanted job change token of your choice. (Applicable jobs: Holy Cavalier [Isaiah/Porta/David], Professor [Aid/Mad/Bio], and Ranger [Falcon/Serpent/Lupus].)
IT_US_FA_COIN_SPECIAL_TICKET_EXPR	Use this ticket to summon Alphonse Soul Shards, Stable Transmutation Circle Shards, State Alchemist Pocket Watch Shards or Alkahestric Apples, with a rare chance to obtain Edward Soul Shards.
IT_SU_20171026_SINOBINA_TICKET_EXPR	Use this ticket to summon one Shinobi Nightmare unit (Sakura, Yuri, or Yomi) of your choice.
IT_US_NEICA_TICKET_EXPR	Use this ticket to summon one guaranteed Neica unit.
IT_US_FA_SOULTICKET_25_EXPR	Use this ticket to summon 25 Soul Shards for one FMA collab unit.
IT_US_FA_SOULTICKET_50_EXPR	Use this ticket to summon 50 Soul Shards for one FMA collab unit.
IT_US_2017NOV_COLLABO_TICKET_EXPR	Use this ticket to summon one guaranteed Fullmetal Alchemist collab unit.
IT_SA_S4_BUGU_TICKET14_EXPR	Use this ticket to summon one 4★ piece of gear.
IT_SU_FA_TICKET_EXPR	Use this ticket to summon one FMA collab unit (Edward, Roy Mustang, Riza Hawkeye) of your choice.
