BUNDLE_NAME_ENUM_001	Commencement Bundle
BUNDLE_DESC_ENUM_PREANNI2020_STEP1a	A special offer to show our appreciation for your continued support! Unlock a better deal after purchasing this bundle!<br>Use Recommended Limited 5★ Unit Summon Ticket to summon one 5★ unit (Sol / Orion / Zwei / Drei / Dark Othima / Dark Setsuna / Dark Chloe / Dark Zain). Owned 5★ units will be converted to 100 shards.<br>*Tap the item icon to show details.
BUNDLE_DESC_ENUM_PREANNI2020_STEP1b	A special offer to show our appreciation for your continued support! Unlock a better deal after purchasing this bundle!<br>Use Recommended Limited 5★ Unit Summon Ticket to summon one 5★ unit (Sol / Orion / Zwei / Drei / Dark Othima / Dark Setsuna / Dark Chloe / Dark Zain).<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_PREANNI2020_STEP2	Pre-Anniversary Celebration Step Up Bundle (Step 2)
BUNDLE_DESC_ENUM_PREANNI2020_STEP2	A special offer to show our appreciation for your continued support! Unlock a better deal after purchasing this bundle!<br>Use Recommended 5★ Memento Selector to summon one 5★ memento of your choice. *Tap the item icon to show details.
BUNDLE_NAME_ENUM_PREANNI2020_STEP3	Pre-Anniversary Celebration Step Up Bundle (Step 3)
BUNDLE_DESC_ENUM_PREANNI2020_STEP3a	A special offer to show our appreciation for your continued support!<br>Use Recommended Limited 5★ Unit Selector to summon one 5★ unit of your choice (Sol / Orion / Zwei / Drei / Dark Othima / Dark Setsuna / Dark Chloe / Dark Zain). Owned 5★ units will be converted to 100 shards.<br>*Tap the item icon to show details.
BUNDLE_DESC_ENUM_PREANNI2020_STEP3b	A special offer to show our appreciation for your continued support!<br>Use Recommended Limited 5★ Unit Selector to summon one 5★ unit of your choice (Sol / Orion / Zwei / Drei / Dark Othima / Dark Setsuna / Dark Chloe / Dark Zain)<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_EXPASS_01	EX Premium Pass
BUNDLE_DESC_ENUM_EXPASS_01	★Includes 450 Paid Gems★<br>Purchasing this will unlock additional rewards for the current Season.
BUNDLE_NAME_ENUM_3NDANNI_01	[3rd Anniversary Celebration] Bundle
BUNDLE_DESC_ENUM_3NDANNI_01	★3rd Anniversary Exclusive Offer!★<br>A special offer to commemorate our 3rd Anniversary.
BUNDLE_NAME_ENUM_3NDANNI_02	[3rd Anniversary Celebration] Deluxe Bundle
BUNDLE_DESC_ENUM_3NDANNI_02	★3rd Anniversary Exclusive Offer!★<br>A special offer to commemorate our 3rd Anniversary.<br>Use Limited 5★ Unit with 100 Shards Summon Ticket to summon a 5★ unit and 100 shards of that unit.
BUNDLE_NAME_ENUM_BLKFRI2020_01	Black Friday Ruby Bundle
BUNDLE_DESC_ENUM_BLKFRI2020_01	★Black Friday Special Offer!★<br>An exclusive bundle to make your favorite units even stronger!<br>Use Community's Choice Vouchers to exchange for a set in the Community's Choice Voucher Exchange Shop. *Community's Choice Voucher is valid until Jan 6, 2021.
BUNDLE_NAME_ENUM_CYBERMON2020_01	Cyber Monday Bundle
BUNDLE_DESC_ENUM_CYBERMON2020_01	★Cyber Monday Special Offer!★<br>An incredible crate of treasures for any renowned master!
BUNDLE_NAME_ENUM_COLLAB_01	Collab Celebration Bundle
BUNDLE_NAME_ENUM_NEWY2021_01	[New Year's Celebration!] Deluxe Bundle
BUNDLE_DESC_ENUM_NEWY2021_01	★Happy New Year!★<br>A special offer to welcome 2021.<br>Use Limited 5★ Unit with 100 Shards Summon Ticket to summon a 5★ unit and 100 shards of that unit.
BUNDLE_NAME_ENUM_CNY2021_01	Lunar New Year Celebration Bundle
BUNDLE_DESC_ENUM_CNY2021_01	★Happy Lunar New Year!★<br>Ring in the Year of the Ox with this special offer.
BUNDLE_NAME_ENUM_V9	Global v9.0 Celebration Bundle
BUNDLE_DESC_ENUM_V9	A special gift to commemorate our Global Version 9.0 Celebration Bundle. Thank you for your continued support!<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_MYSTIC_01	Mystic Town Nigredo Celebration Bundle
BUNDLE_NAME_ENUM_COLLAB_02	Collab Celebration Bundle
BUNDLE_NAME_ENUM_SWIM_NESHA	Nesha's Poolside Tryst
BUNDLE_DESC_ENUM_SWIM_NESHA	★Summer Celebration Exclusive Offer!★<br>Beat the heat with a refreshing dip in her private pool!
BUNDLE_NAME_ENUM_V10	Global v10.0 Celebration Bundle
BUNDLE_DESC_ENUM_V10	A special gift to commemorate our Global Version 10.0 Celebration Bundle. Thank you for your continued support!<br>*Tap the item icon to show details.
BUNDLE_NAME_ENUM_PORT_01	Port Battle Support Bundle
BUNDLE_NAME_ENUM_PREANNI2021_01	Pre-Anniversary Daily Pack
BUNDLE_DESC_ENUM_PREANNI2021_01	Counting down to our Anniversary with this special offer! Bundle will reset daily!
BUNDLE_NAME_ENUM_HALLO_RED6	Red VI's Trick-or-Treat Bag
BUNDLE_NAME_ENUM_HALLO_EMRYS	Emrys's Trick-or-Treat Bag
BUNDLE_NAME_ENUM_HALLO_ZHENGYI	Zheng Yi's Trick-or-Treat Bag
BUNDLE_NAME_ENUM_HALLO_ROXANNE	Roxanne's Trick-or-Treat Bag
BUNDLE_NAME_ENUM_PREANNI2021_02	Pre-Anniversary Special Pack
BUNDLE_DESC_ENUM_PREANNI2021_02	Final Spurt! Counting down to our Anniversary with this special offer!
BUNDLE_NAME_ENUM_4THANNI_DAILY_FREE	[4th Anniversary Celebration] Daily Celebration Gift
BUNDLE_DESC_ENUM_4THANNI_DAILY_FREE	A special gift to commemorate our 4th Anniversary. Refresh daily!
BUNDLE_NAME_ENUM_4THANNI_01	[4th Anniversary Celebration] Bundle
BUNDLE_DESC_ENUM_4THANNI_01	★4th Anniversary Exclusive Offer!★<br>A special offer to commemorate our 4th Anniversary.
BUNDLE_NAME_ENUM_4THANNI_02	[4th Anniversary Celebration] Deluxe Bundle
BUNDLE_DESC_ENUM_4THANNI_02	★4th Anniversary Exclusive Offer!★<br>A special offer to commemorate our 4th Anniversary. Thank you for your continued support!
BUNDLE_NAME_ENUM_MONTHLY_01c	Monthly Dedication Bundle II
BUNDLE_NAME_ENUM_SEASON2021_01	4th Anniversary Season Pass
BUNDLE_DESC_ENUM_SEASON2021_01	★Includes 1250 Paid Gems★<br>Purchasing this will unlock additional rewards for the current Season.
BUNDLE_NAME_ENUM_BLKFRI2021_01	Black Friday Mega Bundle
BUNDLE_DESC_ENUM_BLKFRI2021_01	★Black Friday Special Offer!★<br>An exclusive bundle to make your favourite units even stronger!<br>Use Community's Choice Voucher to exchange for a set in Community's Choice Voucher Exchange Shop. *Community's Choice Voucher is valid until Jan 5, 2022.
BUNDLE_NAME_ENUM_COLLAB_03	Collab Celebration Box
BUNDLE_NAME_ENUM_XMAS2021_01	Winter Holiday Premium Box
BUNDLE_DESC_ENUM_XMAS2021_01	★Winter Holiday Exclusive Offer!★<br>A sack of presents to celebrate this winter festive season.
BUNDLE_NAME_ENUM_HOLIDAYS2021_01	The Holidays Daily Pack
BUNDLE_DESC_ENUM_HOLIDAYS2021_01	A delightful bit of this joyful season to warm your heart. Bundle will reset daily!
BUNDLE_NAME_ENUM_NEWY2022_01	[Happy New Year 2022!] Mega Bundle
BUNDLE_DESC_ENUM_NEWY2022_01	★Happy New Year!★<br>A special offer to welcome 2022.
BUNDLE_NAME_ENUM_NEWY2022_02	New Year 2022 Coin Special Pack
BUNDLE_DESC_ENUM_NEWY2022_02	A special offer to say good-bye to 2021 and welcome 2022.
BUNDLE_NAME_ENUM_0020a	Ouroboros's Tiara
BUNDLE_NAME_ENUM_HOLIDAYS2021_02	The Holidays Special Pack
BUNDLE_DESC_ENUM_HOLIDAYS2021_02	Final Spurt! A delightful bit of this joyful season to warm your heart.
BUNDLE_NAME_ENUM_CNY2022_01	Lunar New Year Celebration Bundle
BUNDLE_DESC_ENUM_CNY2022_01	★Happy Lunar New Year!★<br>Ring in the Year of the Tiger with this special offer.
BUNDLE_NAME_ENUM_SEASON2022_01	Global Special Season Pass
BUNDLE_DESC_ENUM_SEASON2022_01	★Includes 1250 Paid Gems★<br>Purchasing this will unlock additional rewards for the current Season.
BUNDLE_NAME_ENUM_SPRING2022_01	Spring Festival Daily Pack
BUNDLE_DESC_ENUM_SPRING2022_01	Celebrate this blooming Spring Season with a special offer. Bundle will reset daily!
BUNDLE_NAME_ENUM_SPRING2022_02	Spring Festival Special Pack
BUNDLE_DESC_ENUM_SPRING2022_02	Final Spurt! An exclusive offer to celebrate this blooming Spring Season!
BUNDLE_NAME_ENUM_HOTDEAL_01	Hot Deal
BUNDLE_DESC_ENUM_HOTDEAL_01	★Limited Time Offer!★<br>A surprise that Ouroboros has prepared for you to unleash the true potential of your units.
BUNDLE_NAME_ENUM_PORT_02	[Port Battle Preparations!] Mega Bundle
BUNDLE_DESC_ENUM_PORT_02	★Limited Time Offer!★<br>An exclusive bundle to make your strongest units even stronger!
BUNDLE_NAME_ENUM_HOTDEAL_02	Hot Deal
BUNDLE_NAME_ENUM_SEASON_EMMEL_01	Premium Pass - Emmel's Invitation
BUNDLE_DESC_ENUM_SEASON_EMMEL_01	★Includes 1250 Paid Gems★<br>Purchasing this will unlock additional rewards for the current Season.
BUNDLE_NAME_ENUM_STORY_01	[Story Release Celebration] Bundle
BUNDLE_DESC_ENUM_STORY_01	★Story Release Exclusive Offer!★<br>A special offer to commemorate the release of a new episode!
BUNDLE_NAME_ENUM_WB2022_01	[Welcome & Come Back Summon Ticket] Bundle
BUNDLE_DESC_ENUM_WB2022_01	★Welcome & Come Back!★<br>An exclusive bundle with a ticket for a special summon and additional goodies!
BUNDLE_NAME_ENUM_WB2022_02	[Welcome & Come Back Celebration] Bundle
BUNDLE_DESC_ENUM_WB2022_02	★Welcome & Come Back!★<br>A wonderful bundle with materials for unlocking your units' potential!
BUNDLE_NAME_ENUM_PREANNI2022US_01	[Pre-Anniversary] Unit Summon Ticket Bundle
BUNDLE_DESC_ENUM_PREANNI2022US_01	An exclusive bundle with a Pre-Anniversary special Unit Summon Ticket. Bundle Resets Daily.
BUNDLE_NAME_ENUM_ANNI2022US_01	[5th Anniversary] Unit Summon Tickets Bundle
BUNDLE_DESC_ENUM_ANNI2022US_01	An exclusive bundle with three 5th Anniversary special Unit Summon Tickets. Bundle Resets Daily.
BUNDLE_NAME_ENUM_5THANNI_01	[5th Anniversary Celebration] Bundle
BUNDLE_DESC_ENUM_5THANNI_01	★5th Anniversary Exclusive Offer!★<br>A special offer to commemorate our 5th Anniversary.
BUNDLE_NAME_ENUM_5THANNI_02	[5th Anniversary Celebration] Deluxe Bundle
BUNDLE_DESC_ENUM_5THANNI_02	★5th Anniversary Exclusive Offer!★<br>A special offer to commemorate our 5th Anniversary.
BUNDLE_NAME_ENUM_BLKFRI2022_01	Black Friday Mega Bundle
BUNDLE_DESC_ENUM_BLKFRI2022_01	★Black Friday Special Offer!★<br>An exclusive bundle to make your favorite units even stronger!
BUNDLE_NAME_ENUM_NOV2022US_01	Unit Summon Ticket Bundle
BUNDLE_DESC_ENUM_NOV2022US_01	An exclusive bundle with a special Unit Summon Ticket. Bundle Resets Daily.
BUNDLE_NAME_ENUM_CYBERMON2022_01	Cyber Monday Mega Bundle
BUNDLE_DESC_ENUM_CYBERMON2022_01	★Cyber Monday Special Offer!★<br>An exclusive bundle to make your favorite units even stronger!
BUNDLE_NAME_ENUM_NEWY2023_01	[Happy New Year 2023!] Mega Bundle
BUNDLE_DESC_ENUM_NEWY2023_01	★Happy New Year!★<br>A special offer to welcome 2023.
BUNDLE_NAME_ENUM_NEWY2023_02	New Year 2023 Coin Special Pack
BUNDLE_DESC_ENUM_NEWY2023_02	A special offer to say good-bye to 2022 and welcome 2023.
