IT_US_FATE_TAIYAKI_EXPR	3回合內，帶有加速效果
IT_SET_222_PI_TICKET_EXPR	2月22日為止稀有召喚登場的★3-★5英靈的魂之碎片X50的召喚禮券。※十戒英靈、巴貝爾戰記英靈（、限定英靈、以及各種聯動英靈的碎片不在其中。點擊物品圖示即可打開詳情。可以使用有償幻晶石購買。※購買後的禮券會放入禮品箱中。
IT_SET_LETI_01_EXPR	蕾迪亞成長必備的稀有裝備品套裝（職業：水精靈彩師·商人·神殿騎士）
IT_SET_IRA_01_EXPR	伊拉成長必備的稀有裝備品套裝（職業：魔彈操作師·忍者·魔銃士）
IT_SET_HENC_01_EXPR	職業“精靈彩師”所必須的裝備品套裝
IT_SET_LUCL_UNIQUE_EXPR	英靈『露莎』專用的替換Skin。想要使用替換Skin就要先擁有『露莎』。
IT_SET_SOUL_TEM_01_EXPR	神殿騎士職業解放必備的6張證，全部備齊
IT_SI_2018_0228_PI_TICKET_01_EXPR	可以選擇1只真理開眼英靈(扎哈爾/絲碧卡/傑拉德/娜塔莉/維特爾/克羅伊/卡達諾巴/伊莉莎白/拉米亞/維克塔/迪爾加/瓦妮琪斯/戴賽爾）的魂之碎片X50個的召喚禮券。
IT_SET_SI_2018_0228_PI_TICKET_01_EXPR	升級紀念！可以選擇1只真理開眼英靈(扎哈爾/絲碧卡/傑拉德/娜塔莉/維特爾/克羅伊/卡達諾巴/伊莉莎白/拉米亞/維克塔/迪爾加/瓦妮琪斯/戴賽爾）的魂之碎片X50個的召喚禮券。點擊物品圖示即可打開詳情。可以使用有償幻晶石購買。※購買後的禮券會放入禮品箱中。
IT_SU_2018_0228_TICKET_01_EXPR	可以選擇1只真理開眼英靈(扎哈爾/絲碧卡/傑拉德/娜塔莉/維特爾/克羅伊/卡達諾巴/伊莉莎白/拉米亞/維克塔/迪爾加/瓦妮琪斯/戴賽爾）的召喚禮券。
IT_SET_SU_2018_0228_TICKET_01_EXPR	升級紀念！可以選擇1只真理開眼英靈(扎哈爾/絲碧卡/傑拉德/娜塔莉/維特爾/克羅伊/卡達諾巴/伊莉莎白/拉米亞/維克塔/迪爾加/瓦妮琪斯/戴賽爾）的召喚禮券。點擊物品圖示即可打開詳情。可以使用有償幻晶石購買。※購買後的禮券會放入禮品箱中。
IT_SET_TS_VISION_02_EXPR	真理念裝升級紀念！可以提升真理念裝的鍊金境界值的『梅卡妮卡幻象』以紀念價格促銷！通過召喚禮券來召喚的話可以得到道具。
IT_SET_TS_EXP_03_EXPR	真理念裝升級紀念！強化用念裝的『拉特恩的幸福』×100以紀念價格促銷！通過召喚禮券來召喚的話可以得到道具。
IT_SET_APUP_01_EXPR	升級紀念！在任意時機可以回復60點AP的『鍊金水滴』組合。
IT_SET_APUP_02_EXPR	升級紀念！在任意時機可以回復120點AP的『鍊金之水』組合。
IT_SI_ENCHANT_JOBITEM_TICKET06_EXPR	可以選擇3月1日的附魔職業裝備中的1種：3個組合來召喚的禮券
IT_SET_SI_ENCHANT_JOBITEM_TICKET06_EXPR	可以選擇3月1日的附魔職業裝備中的1種：3個組合來召喚的禮券
IT_SET_SU_20171227_TICKET01_EXPR	可以選擇1只FF15聯動英靈「諾克提斯、伊格尼斯、格拉迪歐藍斯、艾拉妮亞」的召喚禮券。※購買僅限1次。購買後的禮券顯示在禮品箱中。點擊物品圖示即可打開詳情。
IT_SET_SU_2018_0101_TICKET01_EXPR	可以選擇1只FF15聯動英靈「雷吉斯、柯爾、伊利斯、諾克提斯、伊格尼斯、格拉迪歐藍斯、艾拉妮亞」的召喚禮券
IT_SET_SU_2018_0101_TICKET02_EXPR	可以選擇PICK UP英靈(特來沙、西爾瑪、克雷特、阿斯瓦朵、剎那、永山)其中一隻的召喚禮券
IT_SU_20171227_TICKET01_EXPR	可以選擇1只FF15聯動英靈「諾克提斯、伊格尼斯、格拉迪歐藍斯、艾拉妮亞」的召喚禮券
IT_SU_2018_0101_TICKET01_EXPR	可以選擇1只FF15聯動英靈「雷吉斯、柯爾、伊利斯、諾克提斯、伊格尼斯、格拉迪歐藍斯、艾拉妮亞」的召喚禮券
IT_SU_2018_0101_TICKET02_EXPR	可以選擇PICK UP英靈(特來沙、西爾瑪、克雷特、阿斯瓦朵、剎那、永山)其中一隻的召喚禮券
IT_SET_EQ_PIECE_COMMON_10_EXPR	素材合成時可以和裝備片置換的道具（除去進階的固有裝備）的10個組合。※購買僅限10次。
IT_SET_EQ_DIAGRAMPIECE_COMMON_10_EXPR	素材合成時可以和裝備圖片置換的道具（除去進階的固有裝備）的10個組合。※購買僅限10次。
IT_SET_SU_2018_0111_TICKET01_EXPR	可以選擇PICK UP英靈(特來沙、西爾瑪、克雷特、阿斯瓦朵、克莉瑪、索菲亞)其中一隻的召喚禮券
IT_SU_2018_0111_TICKET01_EXPR	可以選擇PICK UP英靈(特來沙、西爾瑪、克雷特、阿斯瓦朵、克莉瑪、索菲亞)其中一隻的召喚禮券
IT_SET_SU_2018_0118_TICKET01_EXPR	可以選擇PICK UP英靈（雷瓦汀【黑色殺欲】?帕拉蘇?弗萊庫格爾?月夜見?提爾鋒【黑色殺欲】?阿爾忒彌斯?朗基努斯?厄洛斯?芙奧卡斯?芭蕉扇?舍金納?雷瓦汀?百合?櫻?黃泉）其中一隻的召喚禮券
IT_SU_2018_0118_TICKET01_EXPR	可以選擇PICK UP英靈（雷瓦汀【黑色殺欲】?帕拉蘇?弗萊庫格爾?月夜見?提爾鋒【黑色殺欲】?阿爾忒彌斯?朗基努斯?厄洛斯?芙奧卡斯?芭蕉扇?舍金納?雷瓦汀?百合?櫻?黃泉）其中一隻的召喚禮券
IT_SI_2018_FgG_SOUL_TICKET_EXPR	可以選擇FgG聯動英靈(厄洛斯、百合、雷瓦汀、舍金納、西塔、芙奧卡斯、芭蕉扇、櫻、深淵冥姬黃泉、【黒】雷瓦汀、弗萊庫格爾、帕拉蘇、月夜見）的魂之碎片25個的召喚禮券
IT_SI_2018_Enchantment_SOUL_TICKET_EXPR	1/18日為止的，可以選擇迷人的★5英靈的魂之碎片25個的召喚禮券
IT_SI_EQ_SOUL_ENCHANT_TICKET_04_EXPR	可以選擇1月18日的附魔職業證明中的1種：6個組合來召喚的禮券
IT_SET_SU_2018_0128_TICKET01_EXPR	可以選擇1只魔界戰記聯動英靈（拉哈爾、艾特娜、蘿莎、阿爾彌拉、奇力亞、雪拉菲娜、火紅瑪格納斯、雪拉菲娜、鈴）的召喚禮券
IT_SU_2018_0128_TICKET01_EXPR	可以選擇1只魔界戰記聯動英靈（拉哈爾、艾特娜、蘿莎、阿爾彌拉、奇力亞、雪拉菲娜、火紅瑪格納斯、雪拉菲娜、鈴）的召喚禮券
IT_SET_SU_2018_0131_TICKET01_EXPR	可以在PICK UP召喚的英靈、以及真理念裝的物件英靈中選擇1只召喚的禮券。對象英靈【PICK UP】傑拉德/娜塔莉/克羅伊/維特爾/(黒)雷瓦汀/月夜見/帕拉蘇/弗萊庫格爾/(黒)提爾鋒/朗基努斯/阿爾忒彌斯/厄洛斯/芙奧卡斯/芭蕉扇/舍金納/西塔/雷瓦汀/百合/櫻/深淵冥姬黃泉【真理念裝對象】迪爾加/戴賽爾/艾蓮/艾琉
IT_SU_2018_0131_TICKET01_EXPR	可以在PICK UP召喚的英靈、以及真理念裝的物件英靈中選擇1只召喚的禮券。對象英靈【PICK UP】傑拉德/娜塔莉/克羅伊/維特爾/(黒)雷瓦汀/月夜見/帕拉蘇/弗萊庫格爾/(黒)提爾鋒/朗基努斯/阿爾忒彌斯/厄洛斯/芙奧卡斯/芭蕉扇/舍金納/西塔/雷瓦汀/百合/櫻/深淵冥姬黃泉【真理念裝對象】迪爾加/戴賽爾/艾蓮/艾琉
IT_SET_SU_2018_0208_TICKET01_EXPR	可以在PICK UP召喚的英靈、以及真理念裝的物件英靈中選擇1只召喚的禮券。對象英靈【PICK UP】傑拉德/娜塔莉/克羅伊/維特爾/艾瑪/諾雅/伊娃/阿爾貝爾/拉芙【真理念裝對象】迪爾加/戴賽爾/艾蓮/艾琉
IT_SU_2018_0208_TICKET01_EXPR	可以在PICK UP召喚的英靈、以及真理念裝的物件英靈中選擇1只召喚的禮券。對象英靈【PICK UP】傑拉德/娜塔莉/克羅伊/維特爾/艾瑪/諾雅/伊娃/阿爾貝爾/拉芙【真理念裝對象】迪爾加?/戴賽爾/艾蓮/艾琉
IT_SET_TB_KAKUSEI01_EXPR	可以限定兌換真理開眼所必要的道具“大罪的免罪符”！
IT_SET_SU_2018_0215_TICKET01_EXPR	可以在稀有PICK UP召喚的英靈、以及真理念裝的物件英靈中選擇1只召喚的禮券。對象英靈【PICK UP】妮娜/卡達諾巴/維克塔/黎明/伊莉莎白/艾瑪/諾雅/【真理念裝對象】傑拉德/娜塔莉/克羅伊/維特爾/迪爾加/戴賽爾/艾蓮/艾琉※『索爾』不在其中。
IT_SU_2018_0215_TICKET01_EXPR	可以在稀有PICK UP召喚的英靈、以及真理念裝的物件英靈中選擇1只召喚的禮券。對象英靈【PICK UP】妮娜/卡達諾巴/維克塔/黎明/伊莉莎白/艾瑪/諾雅/【真理念裝對象】傑拉德/娜塔莉/克羅伊/維特爾/迪爾加/戴賽爾/艾蓮/艾琉※『索爾』不在其中。
IT_SET_SU_2018_0222_TICKET01_EXPR	可以在稀有PICK UP召喚的英靈、以及真理念裝的物件英靈中選擇1只召喚的禮券。對象英靈【PICK UP】娜塔莉/阿哈特/烏茲瑪/雷歐尼婭/西爾瑪/拉美賽斯/傑拉德/梅芳/露莎/菲亞/蒼雷/索菲/特來沙/貝爾塔/碧爾吉塔/雷德/諾因/巴西尼/妮娜/特裡特/艾夏/托瑪斯/茲柏/克羅伊/卡達諾巴/克雷特/艾瑪/芙尤麗/維特爾/魯比娜斯/澤恩/五木/勝美/歐提瑪/凱溫/克莉瑪【真理念裝対象】維克塔/迪爾加/戴賽爾/艾蓮/艾琉　※『索爾』不在其中。
IT_SU_2018_0222_TICKET01_EXPR	可以選擇1只英靈召喚的禮券。對象英靈【PICK UP】娜塔莉/阿哈特/烏茲瑪/雷歐尼婭/西爾瑪/拉美賽斯/傑拉德/梅芳/露莎/菲亞/蒼雷/索菲/特來沙/貝爾塔/碧爾吉塔/雷德/諾因/巴西尼/妮娜/特裡特/艾夏/托瑪斯/茲柏/克羅伊/卡達諾巴/克雷特/艾瑪/芙尤麗/維特爾/魯比娜斯/澤恩/五木/勝美/歐提瑪/凱溫/克莉瑪【真理念裝対象】維克塔/迪爾加/戴賽爾/艾蓮/艾琉　※『索爾』不在其中。
IT_SET_TS_VISION_01_EXPR	可以提升真理念裝的鍊金境界值的『梅卡妮卡幻象』限定兌換！通過召喚禮券來召喚的話可以得到道具。
IT_SET_STS_2018_0228_TICKET01_EXPR	可以選擇3月1日為止真理念裝召喚登場的、★3～★5真理念裝的其中之一的禮券。聯動的真理念裝和強化真理念裝、鍊金境界值強化用真理念裝不在其中。
IT_STS_2018_0228_TICKET01_EXPR	可以選擇3月1日為止真理念裝召喚登場的、★3～★5真理念裝的其中之一的禮券。聯動的真理念裝和強化真理念裝、鍊金境界值強化用真理念裝不在其中。
IT_SET_SU_2018_0228_TICKET01_EXPR	可以在稀有PICK UP召喚的英靈、以及真理念裝的物件英靈中選擇1只召喚的禮券。對象英靈【PICK UP】蕾迪亞/伊拉/扎哈爾/絲碧卡/露莎【真理念裝對象】羅莎/迪爾加/戴賽爾/艾蓮/艾琉
IT_SU_2018_0228_TICKET01_EXPR	可以在英靈中選擇1只召喚的禮券。對象英靈【PICK UP】蕾迪亞/伊拉/扎哈爾/絲碧卡/露莎【真理念裝對象】羅莎/迪爾加/戴賽爾/艾蓮/艾琉
IT_SET_SU_2018_0228_TICKET02_EXPR	可以選擇『聖石的追憶』英靈的其中之一的召喚禮券。對象英靈【十戒】澤恩/菲亞/芙尤麗/諾因/茲柏/阿哈特【聖教騎士團】卡達諾巴/庫達恩修坦/賽達/蒙澤因/歐提瑪/亞烏拉斯/扎因/繆娜/巴西尼※『索爾』不在其中。
IT_SU_2018_0228_TICKET02_EXPR	可以選擇『聖石的追憶』英靈的其中之一的召喚禮券。對象英靈【十戒】澤恩/菲亞/芙尤麗/諾因/茲柏/阿哈特【聖教騎士團】卡達諾巴/庫達恩修坦/賽達/蒙澤因/歐提瑪/亞烏拉斯/扎因/繆娜/巴西尼※『索爾』不在其中。
IT_APUP_01_EXPR	在任意時機可以回復AP（小）
IT_APUP_01_FLAVOR	從彙集了鍊金的精靈樹上採集的水滴。會聚集水滴的嫩葉是很稀有的，每一滴都有保存的價值。含在嘴裡體內的鍊金就會活性化，具備恢復少許疲勞的效果。
IT_APUP_02_EXPR	在任意時機可以回復AP（大）
IT_APUP_02_FLAVOR	從彙集了鍊金的精靈樹上採集的水滴。會聚集水滴的三葉是很稀有的，是聚集了不少水滴的稀有品。只要接觸到這種水，體內的鍊金就會活性化，具備驚人的疲勞恢復的效果。
IT_TB_UNLOCK_FIRE_EXPR	真理開眼所必要的道具
IT_TB_UNLOCK_FIRE_FLAVOR	用特殊的技法，將燃燒的火焰變換成鍊金粒子並使其結晶的寶珠。因為是把自然現象直接鍊金化了，所有有著強大的力量。但是沒有親和性的話根本無法碰觸。
IT_TB_UNLOCK_WATER_EXPR	真理開眼所必要的道具
IT_TB_UNLOCK_WATER_FLAVOR	用特殊的技法，將激流變換成鍊金粒子並使其結晶的寶珠。因為是把自然現象直接鍊金化了，所有有著強大的力量。但是沒有親和性的話根本無法碰觸。
IT_TB_UNLOCK_THUNDER_EXPR	真理開眼所必要的道具
IT_TB_UNLOCK_THUNDER_FLAVOR	用特殊的技法，將轟鳴的雷電變換成鍊金粒子並使其結晶的寶珠。因為是把自然現象直接鍊金化了，所有有著強大的力量。但是沒有親和性的話根本無法碰觸。
IT_TB_UNLOCK_WIND_EXPR	真理開眼所必要的道具
IT_TB_UNLOCK_WIND_FLAVOR	用特殊的技法，將暴風變換成鍊金粒子並使其結晶的寶珠。因為是把自然現象直接鍊金化了，所有有著強大的力量。但是沒有親和性的話根本無法碰觸。
IT_TB_UNLOCK_LIGHT_EXPR	真理開眼所必要的道具
IT_TB_UNLOCK_LIGHT_FLAVOR	用特殊的技法，將炫目的光芒變換成鍊金粒子並使其結晶的寶珠。因為是把自然現象直接鍊金化了，所有有著強大的力量。但是沒有親和性的話根本無法碰觸。
IT_TB_UNLOCK_DARK_EXPR	真理開眼所必要的道具
IT_TB_UNLOCK_DARK_FLAVOR	用特殊的技法，將暗影變換成鍊金粒子並使其結晶的寶珠。因為是把自然現象直接鍊金化了，所有有著強大的力量。但是沒有親和性的話根本無法碰觸。
IT_TB_BIRTH_ENV_EXPR	真理開眼所必要的道具
IT_TB_BIRTH_ENV_FLAVOR	繪有安比利亞古老相傳的紋章的旗幟。包含著祈禱國家發展和國民心願的祝福。因此對其他國家的人毫無作用，但是本國的人卻能發揮強大力量。
IT_TB_BIRTH_GLU_EXPR	真理開眼所必要的道具
IT_TB_BIRTH_GLU_FLAVOR	繪有格拉特尼古老相傳的紋章的旗幟。包含著祈禱國家發展和國民心願的祝福。因此對其他國家的人毫無作用，但是本國的人卻能發揮強大力量。
IT_TB_BIRTH_GRE_EXPR	真理開眼所必要的道具
IT_TB_BIRTH_GRE_FLAVOR	繪有格裡特達伊克古老相傳的紋章的旗幟。包含著祈禱國家發展和國民心願的祝福。因此對其他國家的人毫無作用，但是本國的人卻能發揮強大力量。
IT_TB_BIRTH_SLO_EXPR	真理開眼所必要的道具
IT_TB_BIRTH_SLO_FLAVOR	繪有斯洛斯修坦古老相傳的紋章的旗幟。包含著祈禱國家發展和國民心願的祝福。因此對其他國家的人毫無作用，但是本國的人卻能發揮強大力量。
IT_TB_BIRTH_NOZ_EXPR	真理開眼所必要的道具
IT_TB_BIRTH_NOZ_FLAVOR	繪有諾森布萊特古老相傳的紋章的旗幟。包含著祈禱國家發展和國民心願的祝福。因此對其他國家的人毫無作用，但是本國的人卻能發揮強大力量。
IT_TB_BIRTH_WRA_EXPR	真理開眼所必要的道具
IT_TB_BIRTH_WRA_FLAVOR	繪有拉斯特里斯古老相傳的紋章的旗幟。包含著祈禱國家發展和國民心願的祝福。因此對其他國家的人毫無作用，但是本國的人卻能發揮強大力量。
IT_TB_BIRTH_LUS_EXPR	真理開眼所必要的道具
IT_TB_BIRTH_LUS_FLAVOR	繪有路斯特布魯格古老相傳的紋章的旗幟。包含著祈禱國家發展和國民心願的祝福。因此對其他國家的人毫無作用，但是本國的人卻能發揮強大力量。
IT_TB_BIRTH_SAG_EXPR	真理開眼所必要的道具
IT_TB_BIRTH_SAG_FLAVOR	繪有撒加古老相傳的紋章的旗幟。包含著祈禱種族的發展和國民心願的祝福。因此對其他國家的人毫無作用，但是本國的人卻能發揮強大力量。
IT_TB_BIRTH_WAD_EXPR	真理開眼所必要的道具
IT_TB_BIRTH_WAD_FLAVOR	繪有綿津見古老相傳的紋章的旗幟。包含著祈禱國家發展和國民心願的祝福。因此對其他國家的人毫無作用，但是本國的人卻能發揮強大力量。
IT_TB_BIRTH_DES_EXPR	真理開眼所必要的道具
IT_TB_BIRTH_DES_FLAVOR	繪有沙漠之民古老相傳的紋章的旗幟。包含著祈禱地區的發展和國民心願的祝福。因此對其他國家的人毫無作用，但是本國的人卻能發揮強大力量。
IT_TB_BIRTH_LOS_EXPR	真理開眼所必要的道具
IT_TB_BIRTH_LOS_FLAVOR	繪有路斯特布魯的住民古老相傳的紋章的旗幟。包含著祈禱地區的發展和國民心願的祝福。因此對其他國家的人毫無作用，但是本國的人卻能發揮強大力量。
IT_TB_SIN_ENV_EXPR	真理開眼所必要的道具
IT_TB_SIN_ENV_FLAVOR	是人們內心名為嫉妒的大罪具象化後的蛇像。能強烈感應持有者的情緒，解放內在的力量。內心脆弱的人使用的話會被嫉妒吞噬，只有鍛煉到極致的人才能使用。
IT_TB_SIN_SLO_EXPR	真理開眼所必要的道具
IT_TB_SIN_SLO_FLAVOR	是人們內心名為懶惰的大罪具象化後的熊像。能強烈感應持有者的情緒，解放內在的力量。內心脆弱的人使用的話會被懶惰吞噬，只有鍛煉到極致的人才能使用。
IT_TB_SIN_LUS_EXPR	真理開眼所必要的道具
IT_TB_SIN_LUS_FLAVOR	是人們內心名為色欲的大罪具象化後的山羊像。能強烈感應持有者的情緒，解放內在的力量。內心脆弱的人使用的話會被色欲吞噬，只有鍛煉到極致的人才能使用。
IT_TB_SIN_GLU_EXPR	真理開眼所必要的道具
IT_TB_SIN_GLU_FLAVOR	是人們內心名為暴食的大罪具象化後的豬像。能強烈感應持有者的情緒，解放內在的力量。內心脆弱的人使用的話會被暴食吞噬，只有鍛煉到極致的人才能使用。
IT_TB_SIN_WRA_EXPR	真理開眼所必要的道具
IT_TB_SIN_WRA_FLAVOR	是人們內心名為憤怒的大罪具象化後的一角獸像。能強烈感應持有者的情緒，解放內在的力量。內心脆弱的人使用的話會被憤怒吞噬，只有鍛煉到極致的人才能使用。
IT_TB_SIN_GRE_EXPR	真理開眼所必要的道具
IT_TB_SIN_GRE_FLAVOR	是人們內心名為貪婪的大罪具象化後的狐狸像。能強烈感應持有者的情緒，解放內在的力量。內心脆弱的人使用的話會被貪欲吞噬，只有鍛煉到極致的人才能使用。
IT_TB_SIN_PRI_EXPR	真理開眼所必要的道具
IT_TB_SIN_PRI_FLAVOR	是人們內心名為傲慢的大罪具象化後的獅鷲像。能強烈感應持有者的情緒，解放內在的力量。內心脆弱的人使用的話會被傲慢吞噬，只有鍛煉到極致的人才能使用。
IT_TB_UNLOCK_LV3_EXPR	真理開眼所必要的道具
IT_TB_UNLOCK_LV3_FLAVOR	引發內在的力量，引導向真理，能讓人感覺到不同尋常事物的存在。讓蘊含強大力量的人發動其潛力，打開更進一步的深淵之門。
IT_TB_UNLOCK_LV4_EXPR	真理開眼所必要的道具
IT_TB_UNLOCK_LV4_FLAVOR	引發內在的力量，引導向真理，能讓人感覺到不同尋常事物的存在。讓蘊含強大力量的人發動其潛力，打開更進一步的深淵之門。
IT_TB_UNLOCK_LV5_EXPR	真理開眼所必要的道具
IT_TB_UNLOCK_LV5_FLAVOR	引發內在的力量，引導向真理，能讓人感覺到不同尋常事物的存在。讓蘊含強大力量的人發動其潛力，打開更進一步的深淵之門。
IT_TB_KAKUSEI_EXPR	真理開眼所必要的道具
IT_TB_KAKUSEI_FLAVOR	可以和巴貝爾大陸所誕生的靈魂產生呼應，具有引導向沉睡中的真理的力量。能給巴貝爾大陸出身的所有人以影響，無論出身的國度和門第如何，都一視同仁。
IT_US_JOB_COIN_EXPR	　
IT_US_JOB_COIN_FLAVOR	附魔幣兌換所中可以使用的錢幣
IT_EVENT_FRIEND_COIN_EXPR	　
IT_EVENT_FRIEND_COIN_FLAVOR	好友商店裡可以使用的幣
IT_EVENT_SPORTS_COIN_EXPR	　
IT_EVENT_SPORTS_COIN_FLAVOR	大運動會中可以獲得的幣
IT_OR_MEDAL_01_EXPR	通關副本『挑戰自我 極限降臨』即可獲得此榮譽稱號
IT_OR_MEDAL_02_EXPR	通關副本『魔人消滅戰』即可獲得此榮譽稱號
IT_LETTER_01_ALAI_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_01_ALAI_FLAVOR	2周年啦，恭喜哦！為了慶祝，我們就做了一首曲子。我會全力以赴的，一定要聽哦。約定了！那麼我先去練歌咯！
IT_LETTER_02_ALFR_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_02_ALFR_FLAVOR	太棒了！在這個特別的日子裡送你玫瑰吧！作為2周年的慶祝。以後也要給所有的女孩子帶去希望和幸福哦！
IT_LETTER_03_ELAI_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_03_ELAI_FLAVOR	恭喜2周年咯~！作為慶祝我也準備了新的帽子哦?　想和你一起戴呢…開玩笑哈！以後也拜託了！
IT_LETTER_04_CLOE_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_04_CLOE_FLAVOR	不斷修行的話，2周年就是一眨眼的事情呢。在大家的聲援下我也變強了呢！雖然有時候也會大意，但我以後會繼續努力的！
IT_LETTER_05_DILG_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_05_DILG_FLAVOR	節日不管在哪個世界都很棒呢！為了讓這種好日子持續下去，我也必須變強呢。那麼今天的修煉就加倍吧！
IT_LETTER_06_DECE_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_06_DECE_FLAVOR	哼，2周年嗎。這是日積月累鍛煉的成果嗎？先表示祝賀了。以後也讓我看看你的活躍吧。
IT_LETTER_07_PATT_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_07_PATT_FLAVOR	祝！　２周年～!!嘿嘿，今天的服裝也是我和孟德爾松一起準備的！在盛裝遊行的時候獻給你哦☆
IT_LETTER_08_RUNB_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_08_RUNB_FLAVOR	已經2年了嗎。作為流浪者的我居然會在一個地方這麼久。總之先祝賀你了！以後也拜託你啊？
IT_LETTER_09_RIGA_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_09_RIGA_FLAVOR	哇， 已經2周年了。要感謝我們的相遇啊。對了！有家店雖然小但是晚餐很棒呢。今晚一起嗎？
IT_LETTER_10_MIAN_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_10_MIAN_FLAVOR	啊!?　已經2周年了!?　我距離大魔道士還遠著啊…。恩、但是你能聲援我已經很高興了！差不多要讓你看看我的真本領咯!!
IT_LETTER_11_VETT_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_11_VETT_FLAVOR	2周年恭喜了！2年時間好快啊。這兩年時間我們創造了很多歷史呢。為了明年也要締造新的篇章，一起朝著未來奮進吧！
IT_LETTER_12_GAYN_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_12_GAYN_FLAVOR	哎呀呀…和殿下您相遇都已經兩年了呢。今後也想和您保持著良好的關係。接下來也拜託咯。
IT_LETTER_13_ELIZ_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_13_ELIZ_FLAVOR	啊~已經2年了？額…我和你的關係也已經進入第三年了啊。以後也會在一起吧?（當然是讓你做我的實驗品啦?）
IT_LETTER_14_FRAI_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_14_FRAI_FLAVOR	2周年，恭喜啦！能和你一起迎接這個日子我很高興。今後也要作為你的劍，作為守護人們的騎士而盡我的努力！
IT_LETTER_15_LUCR_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_15_LUCR_FLAVOR	和你相遇以來差不多2年了嗎？真是無比開心的日子呀。作為心意我想做一個蛋糕。一定要來嘗嘗哦！
IT_LETTER_16_SHAY_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_16_SHAY_FLAVOR	恭賀兩周年！這麼難得的日子能和大家一起迎接真開心?我也會繼續努力的?我也變的更強更可愛☆要好好看著我哦！
IT_LETTER_17_VICT_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_17_VICT_FLAVOR	2周年！恭喜恭喜！為了成為維特爾大人那樣有名的騎士我在努力鍛煉著，以後也要看著我的騎士道啊！
IT_LETTER_18_ERUR_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_18_ERUR_FLAVOR	恭喜2周年了！我準備了許多紀念品和特別的情報，要來店裡看看哦。今後也要多照顧我呢！為了讓明天更美好，我們一起努力吧！
IT_LETTER_19_MARG_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_19_MARG_FLAVOR	恭喜2周年啦！你能收到我戀愛商人瑪格麗特的祝福，真是幸運呢?我一會兒和伊莉莎白姐姐約好了一起慶祝呢…不許打擾哦☆
IT_LETTER_20_LEON_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_20_LEON_FLAVOR	哎呀，終於到了2周年啊！無限歡喜啊！今後也要為了眾多女性的笑容和和平，和我這個“純白的獅子“一起前行吧！
IT_LETTER_21_FAIR_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_21_FAIR_FLAVOR	2周年快樂啊~?我也很開心呢~。努貝君也在一起慶祝哦！巴拉巴拉~?以後也多指教喲！
IT_LETTER_22_PRIS_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_22_PRIS_FLAVOR	這次可以選一下喜歡的花朵嗎？作為2周年慶祝想送給你呢。嘻嘻，很期待你選擇哪一種花。
IT_LETTER_23_DART_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_23_DART_FLAVOR	2周年恭喜咯！因為是2周年嘛，吃兩倍的肉也不會挨駡吧？我會好好鍛煉來回報的！哢哧！
IT_LETTER_24_BLIT_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_24_BLIT_FLAVOR	2周年嗎？看到大家的笑容就很開心呢！以後也要為了大家的笑容而不斷努力，看著吧！對吧！
IT_LETTER_25_BELT_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
IT_LETTER_25_BELT_FLAVOR	2周年恭喜咯！用我的魔臼炮發射絢爛的煙花吧！我也拜託人演奏了。和安比利亞樂團的大家一起歡樂吧！
IT_LETTER_160_CANO_EXPR	『為了誰的鍊金術師』2周年紀念！來自幻影們的信。
